model,panel,mask_seed,supported,samples,patients,oof_auroc,fold_auroc_mean,fold_auroc_std,fold_f1_mean,fold_balanced_accuracy_mean
Txn_Jatin,2_cancer,20260723,True,1163,1019,0.9994388327721662,0.9995421328088898,0.0006490881773553,0.996698060024021,0.9830905936108904
Txn_Jatin,5_cancer,20260723,True,3481,3116,0.9966852645424072,0.9969346540425548,0.0038923241940929,0.9959304057636932,0.9654561103110186
Txn_Jatin,2_cancer,20260724,True,1163,1019,0.999438832772166,0.9994754649990412,0.0009524086522905,0.9966875265096462,0.984656286917809
Txn_Jatin,5_cancer,20260724,True,3481,3116,0.9960806567949424,0.9961249564277074,0.0059137908180893,0.996238436290876,0.9700824306001083
Txn_Jatin,2_cancer,20260725,True,1163,1019,0.9995596995596996,0.9994435915122116,0.0008262314790835,0.9976425876764006,0.990041644669106
Txn_Jatin,5_cancer,20260725,True,3481,3116,0.9955492384063812,0.9954527096180078,0.0061247037327009,0.9962405624202916,0.9686518337922811
BRIDGE,2_cancer,20260723,True,1163,1019,0.9994042994042994,0.9994572868641928,0.0007596851375297,0.9971578153913976,0.9880905936108902
BRIDGE,5_cancer,20260723,True,3481,3116,0.995558254486826,0.9959815565479716,0.0052984628044435,0.9957732971567927,0.9637017243461063
BRIDGE,2_cancer,20260724,True,1163,1019,0.9993697660364328,0.9993919600165772,0.0009253132269047,0.9971537115983204,0.9892017414632636
BRIDGE,5_cancer,20260724,True,3481,3116,0.9960138317281174,0.9964030411582752,0.0040511809883142,0.9957685654613831,0.9680443178314212
BRIDGE,2_cancer,20260725,True,1163,1019,0.999387032720366,0.9994284909032924,0.0009175988714824,0.99715832617519,0.9895585528816664
BRIDGE,5_cancer,20260725,True,3481,3116,0.9965738894310324,0.996555320726038,0.0042160711104272,0.9962405624202916,0.9686518337922811
BulkFormer_37M,2_cancer,20260723,True,1163,1019,0.9992920659587328,0.9994177923934188,0.0008290455212246,0.996698060024021,0.9830905936108904
BulkFormer_37M,5_cancer,20260723,True,3481,3116,0.9970750774322203,0.9974315823382746,0.0031390228686186,0.9954575968044498,0.9633865153245212
BulkFormer_37M,2_cancer,20260724,True,1163,1019,0.9994819994819992,0.9994358774517992,0.0008315735237309,0.9962055941603408,0.9803084608308524
BulkFormer_37M,5_cancer,20260724,True,3481,3116,0.9962991641563068,0.9964729534686938,0.0037736241913154,0.995929358255603,0.9651252167779972
BulkFormer_37M,2_cancer,20260725,True,1163,1019,0.9993697660364328,0.9993094560971786,0.0009179264049188,0.99715832617519,0.9895585528816664
BulkFormer_37M,5_cancer,20260725,True,3481,3116,0.9957666850523992,0.9957226552690032,0.0059908287422528,0.9960827121483148,0.9684941050856568
