"path","bytes","modified_utc","link_type"
"benchmark.log","77183","2026-06-21T23.48.03Z","HardLink"
"benchmark.status","2","2026-06-21T23.48.04Z","HardLink"
"BENCHMARK_STORY.md","1451","2026-06-21T23.54.19Z",
"BENCHMARK_SUMMARY.md","4500","2026-06-21T23.51.45Z","HardLink"
"COMPLETION_AUDIT.md","1630","2026-06-21T23.53.35Z",
"context.md","2897","2026-06-21T23.53.35Z",
"DYNAMIC_BENCHMARK_SUMMARY.md","4500","2026-06-21T23.51.45Z","HardLink"
"dynamic_embedding_audit.json","6797","2026-06-21T23.47.49Z","HardLink"
"dynamic_run_configuration.json","763","2026-06-21T23.46.38Z","HardLink"
"dynamic_smoke_batch96.log","10603","2026-06-20T21.43.26Z",
"embeddings/BRIDGE__gene_benchmark__symbol.npz","27726437","2026-06-21T23.47.05Z","HardLink"
"embeddings/BulkFormer_127M__gene_benchmark__symbol.npz","36914003","2026-06-21T23.47.38Z","HardLink"
"embeddings/BulkFormer_147M__gene_benchmark__symbol.npz","36958335","2026-06-21T23.46.50Z","HardLink"
"embeddings/BulkFormer_37M__gene_benchmark__symbol.npz","7427803","2026-06-21T23.47.48Z","HardLink"
"embeddings/BulkFormer_50M__gene_benchmark__symbol.npz","14818470","2026-06-21T23.47.21Z","HardLink"
"embeddings/BulkFormer_93M__gene_benchmark__symbol.npz","29602850","2026-06-21T23.47.28Z","HardLink"
"embeddings/Geneformer__gene_benchmark__symbol.npz","44371642","2026-06-21T23.47.17Z","HardLink"
"embeddings/scGPT__gene_benchmark__symbol.npz","30097737","2026-06-21T23.46.58Z","HardLink"
"embeddings/Txn_Jatin__gene_benchmark__symbol.npz","30314512","2026-06-21T23.47.46Z","HardLink"
"figures/cross_species_corr.png","284554","2026-06-21T23.46.39Z","HardLink"
"figures/dynamic_story_01_landscape.pdf","33683","2026-06-21T23.56.33Z",
"figures/dynamic_story_01_landscape.png","125374","2026-06-21T23.56.32Z",
"figures/dynamic_story_02_gain_vs_static.pdf","30337","2026-06-21T23.56.33Z",
"figures/dynamic_story_02_gain_vs_static.png","91224","2026-06-21T23.56.33Z",
"figures/dynamic_story_03_txn_vs_bridge.pdf","28266","2026-06-21T23.56.33Z",
"figures/dynamic_story_03_txn_vs_bridge.png","89191","2026-06-21T23.56.33Z",
"figures/dynamic_story_04_similarity.pdf","25705","2026-06-21T23.56.34Z",
"figures/dynamic_story_04_similarity.png","82499","2026-06-21T23.56.33Z",
"figures/dynamic_story_dashboard.pdf","45690","2026-06-21T23.56.35Z",
"figures/dynamic_story_dashboard.png","414991","2026-06-21T23.56.34Z",
"figures/intermodel_similarity.png","193325","2026-06-21T23.46.41Z","HardLink"
"figures/leaderboard.png","76819","2026-06-21T23.46.39Z","HardLink"
"figures/performance_correlation.png","125308","2026-06-21T23.46.40Z","HardLink"
"figures/sample_benchmark.png","64915","2026-06-21T23.46.40Z","HardLink"
"GRAPHS_AND_RESULTS.md","1837","2026-06-21T23.54.41Z",
"plot_dynamic_benchmark_story.py","10285","2026-06-21T23.56.23Z",
"README.md","1339","2026-06-21T23.53.35Z",
"remote_original/dynamic_embedding_audit.json","6797","2026-06-21T23.47.49Z","HardLink"
"remote_original/dynamic_run_configuration.json","763","2026-06-21T23.46.38Z","HardLink"
"remote_original/embeddings/BRIDGE__gene_benchmark__symbol.npz","27726437","2026-06-21T23.47.05Z","HardLink"
"remote_original/embeddings/BulkFormer_127M__gene_benchmark__symbol.npz","36914003","2026-06-21T23.47.38Z","HardLink"
"remote_original/embeddings/BulkFormer_147M__gene_benchmark__symbol.npz","36958335","2026-06-21T23.46.50Z","HardLink"
"remote_original/embeddings/BulkFormer_37M__gene_benchmark__symbol.npz","7427803","2026-06-21T23.47.48Z","HardLink"
"remote_original/embeddings/BulkFormer_50M__gene_benchmark__symbol.npz","14818470","2026-06-21T23.47.21Z","HardLink"
"remote_original/embeddings/BulkFormer_93M__gene_benchmark__symbol.npz","29602850","2026-06-21T23.47.28Z","HardLink"
"remote_original/embeddings/Geneformer__gene_benchmark__symbol.npz","44371642","2026-06-21T23.47.17Z","HardLink"
"remote_original/embeddings/scGPT__gene_benchmark__symbol.npz","30097737","2026-06-21T23.46.58Z","HardLink"
"remote_original/embeddings/Txn_Jatin__gene_benchmark__symbol.npz","30314512","2026-06-21T23.47.46Z","HardLink"
"remote_original/figures/cross_species_corr.png","284554","2026-06-21T23.46.39Z","HardLink"
"remote_original/figures/intermodel_similarity.png","193325","2026-06-21T23.46.41Z","HardLink"
"remote_original/figures/leaderboard.png","76819","2026-06-21T23.46.39Z","HardLink"
"remote_original/figures/performance_correlation.png","125308","2026-06-21T23.46.40Z","HardLink"
"remote_original/figures/sample_benchmark.png","64915","2026-06-21T23.46.40Z","HardLink"
"remote_original/tables/council_ledger.csv","8343","2026-06-21T23.46.37Z","HardLink"
"remote_original/tables/gene_scores.csv","245948","2026-06-21T23.46.36Z","HardLink"
"remote_original/tables/intermodel_cca.csv","679","2026-06-21T23.46.38Z","HardLink"
"remote_original/tables/intermodel_cosine.csv","679","2026-06-21T23.46.35Z","HardLink"
"remote_original/tables/leaderboard_gene_tracks.csv","768","2026-06-21T23.46.36Z","HardLink"
"remote_original/tables/master_summary.csv","7890","2026-06-21T23.46.38Z","HardLink"
"remote_original/tables/paired_scores.csv","4807","2026-06-21T23.46.34Z","HardLink"
"remote_original/tables/paired_supplement_summary.json","12501","2026-06-21T23.46.37Z","HardLink"
"remote_original/tables/performance_correlation.csv","683","2026-06-21T23.46.35Z","HardLink"
"remote_original/tables/sample_scores.csv","2724","2026-06-21T23.46.35Z","HardLink"
"remote_original/tables/trrust.tsv","297659","2026-06-21T23.46.37Z","HardLink"
"remote_original/txn_jatin_dynamic_paired_supplement.log","14479","2026-06-21T23.48.06Z","HardLink"
"remote_original/txn_jatin_dynamic_paired_supplement.status","2","2026-06-21T23.48.08Z","HardLink"
"remote_original/txn_jatin_dynamic_vs_all_benchmark.log","77183","2026-06-21T23.48.03Z","HardLink"
"remote_original/txn_jatin_dynamic_vs_all_benchmark.status","2","2026-06-21T23.48.04Z","HardLink"
"remote_original/txn_jatin_dynamic_watchdog.log","94","2026-06-21T23.48.09Z","HardLink"
"remote_original/txn_jatin_dynamic_watchdog.retries","2","2026-06-21T23.48.11Z","HardLink"
"REMOTE_SHA256SUMS.txt","3489","2026-06-21T23.52.28Z",
"reproduction/adapters.py","52411","2026-06-20T21.46.01Z",
"reproduction/run_all.py","8633","2026-06-20T21.28.29Z",
"reproduction/run_dynamic_paired_supplement.py","4373","2026-06-20T21.29.56Z",
"reproduction/run_txn_jatin_dynamic_benchmark.py","6884","2026-06-20T21.46.01Z",
"reproduction/run_txn_jatin_dynamic_benchmark_remote.sh","1633","2026-06-20T21.46.01Z",
"reproduction/smoke_dynamic_embeddings.py","4670","2026-06-20T21.33.02Z",
"reproduction/watch_txn_jatin_dynamic_remote.sh","2769","2026-06-20T21.58.49Z",
"summarize_dynamic_benchmark.py","10925","2026-06-21T23.51.38Z",
"tables/council_ledger.csv","8343","2026-06-21T23.46.37Z","HardLink"
"tables/dynamic_embedding_provenance.csv","1307","2026-06-21T23.51.45Z",
"tables/dynamic_full_track_summary.csv","258","2026-06-21T23.51.45Z",
"tables/dynamic_overall_ranking.csv","614","2026-06-21T23.51.45Z",
"tables/dynamic_sample_logistic_summary.csv","1385","2026-06-21T23.51.45Z",
"tables/gene_scores.csv","245948","2026-06-21T23.46.36Z","HardLink"
"tables/intermodel_cca.csv","679","2026-06-21T23.46.38Z","HardLink"
"tables/intermodel_cosine.csv","679","2026-06-21T23.46.35Z","HardLink"
"tables/leaderboard_gene_tracks.csv","768","2026-06-21T23.46.36Z","HardLink"
"tables/master_summary.csv","7890","2026-06-21T23.46.38Z","HardLink"
"tables/paired_scores.csv","4807","2026-06-21T23.46.34Z","HardLink"
"tables/paired_supplement_summary.json","12501","2026-06-21T23.46.37Z","HardLink"
"tables/performance_correlation.csv","683","2026-06-21T23.46.35Z","HardLink"
"tables/sample_scores.csv","2724","2026-06-21T23.46.35Z","HardLink"
"tables/static_vs_dynamic_cca_delta.csv","1049","2026-06-21T23.51.45Z",
"tables/static_vs_dynamic_gene_scores.csv","4558","2026-06-21T23.51.45Z",
"tables/trrust.tsv","297659","2026-06-21T23.46.37Z","HardLink"
"txn_jatin_dynamic_paired_supplement.log","14479","2026-06-21T23.48.06Z","HardLink"
"txn_jatin_dynamic_paired_supplement.status","2","2026-06-21T23.48.08Z","HardLink"
"txn_jatin_dynamic_vs_all_benchmark.log","77183","2026-06-21T23.48.03Z","HardLink"
"txn_jatin_dynamic_vs_all_benchmark.status","2","2026-06-21T23.48.04Z","HardLink"
"txn_jatin_dynamic_watchdog.log","94","2026-06-21T23.48.09Z","HardLink"
"txn_jatin_dynamic_watchdog.retries","2","2026-06-21T23.48.11Z","HardLink"
"verify_dynamic_benchmark.py","7449","2026-06-21T23.54.53Z",
