model,task,op,auroc,auprc,n_pos,variant,is_fallback,track
BRIDGE,TRRUST-TF,concat,0.72645503125,0.6615089368912956,4000,common,False,paired
BRIDGE,TRRUST-TF,hadamard,0.585547,0.5834136084962354,4000,common,False,paired
BRIDGE,TRRUST-TF,sum,0.43751375,0.45285217068766687,4000,common,False,paired
BulkFormer_127M,TRRUST-TF,concat,0.632210375,0.6052092975181331,4000,common,False,paired
BulkFormer_127M,TRRUST-TF,hadamard,0.5535675625,0.5460743875747934,4000,common,False,paired
BulkFormer_127M,TRRUST-TF,sum,0.50260884375,0.506048006514546,4000,common,False,paired
BulkFormer_147M,TRRUST-TF,concat,0.6231925625,0.5929553455481396,4000,common,False,paired
BulkFormer_147M,TRRUST-TF,hadamard,0.5558518125,0.548714355892925,4000,common,False,paired
BulkFormer_147M,TRRUST-TF,sum,0.5036986875,0.5072018483185764,4000,common,False,paired
BulkFormer_37M,TRRUST-TF,concat,0.649747625,0.6255553210300624,4000,common,False,paired
BulkFormer_37M,TRRUST-TF,hadamard,0.55774709375,0.5461474713734552,4000,common,False,paired
BulkFormer_37M,TRRUST-TF,sum,0.49900109375,0.5016543611798076,4000,common,False,paired
BulkFormer_50M,TRRUST-TF,concat,0.6549379375,0.620832865737155,4000,common,False,paired
BulkFormer_50M,TRRUST-TF,hadamard,0.55589059375,0.5432251752752748,4000,common,False,paired
BulkFormer_50M,TRRUST-TF,sum,0.49245562500000006,0.49237994224184306,4000,common,False,paired
BulkFormer_93M,TRRUST-TF,concat,0.61298253125,0.5922392042439528,4000,common,False,paired
BulkFormer_93M,TRRUST-TF,hadamard,0.55280446875,0.5451505184184897,4000,common,False,paired
BulkFormer_93M,TRRUST-TF,sum,0.4931295,0.49634667628976487,4000,common,False,paired
Geneformer,TRRUST-TF,concat,0.7199176875,0.6520916982605729,4000,common,False,paired
Geneformer,TRRUST-TF,hadamard,0.5648204375,0.5671717566715071,4000,common,False,paired
Geneformer,TRRUST-TF,sum,0.39728278125000005,0.43541405752580775,4000,common,False,paired
Txn_Jatin,TRRUST-TF,concat,0.7246836875,0.6572073333178472,4000,common,False,paired
Txn_Jatin,TRRUST-TF,hadamard,0.5730763125,0.569662173833465,4000,common,False,paired
Txn_Jatin,TRRUST-TF,sum,0.4317440625,0.4519529364620298,4000,common,False,paired
scGPT,TRRUST-TF,concat,0.7289315000000001,0.6562245890970622,4000,common,False,paired
scGPT,TRRUST-TF,hadamard,0.560074875,0.5633586745579925,4000,common,False,paired
scGPT,TRRUST-TF,sum,0.42655637500000004,0.4502439010910504,4000,common,False,paired
BRIDGE,TRRUST-TF,concat,0.7412561273329867,0.6702120597138376,3754,full,False,paired
BRIDGE,TRRUST-TF,hadamard,0.5860561050809525,0.5937394415548716,3754,full,False,paired
BRIDGE,TRRUST-TF,sum,0.43916982082119993,0.4575835990327903,3754,full,False,paired
BulkFormer_127M,TRRUST-TF,concat,0.629234406654408,0.6089731281063494,3989,full,False,paired
BulkFormer_127M,TRRUST-TF,hadamard,0.5366032919515629,0.5304654455344835,3989,full,False,paired
BulkFormer_127M,TRRUST-TF,sum,0.5062139916867675,0.506191929203218,3989,full,False,paired
BulkFormer_147M,TRRUST-TF,concat,0.6342982633033218,0.6071562004328714,3989,full,False,paired
BulkFormer_147M,TRRUST-TF,hadamard,0.5448886142005862,0.5436155714717287,3989,full,False,paired
BulkFormer_147M,TRRUST-TF,sum,0.49704817636665327,0.5011113626016415,3989,full,False,paired
BulkFormer_37M,TRRUST-TF,concat,0.6540145631177815,0.6144876643710662,3989,full,False,paired
BulkFormer_37M,TRRUST-TF,hadamard,0.5541314341621002,0.5508427621868218,3989,full,False,paired
BulkFormer_37M,TRRUST-TF,sum,0.5003117273605726,0.4981665765824886,3989,full,False,paired
BulkFormer_50M,TRRUST-TF,concat,0.6619320546246409,0.6224864977043858,3989,full,False,paired
BulkFormer_50M,TRRUST-TF,hadamard,0.5465637323099909,0.5428835470056119,3989,full,False,paired
BulkFormer_50M,TRRUST-TF,sum,0.4967424836555292,0.4980150968626545,3989,full,False,paired
BulkFormer_93M,TRRUST-TF,concat,0.6328105022010126,0.609168883431214,3989,full,False,paired
BulkFormer_93M,TRRUST-TF,hadamard,0.5374579491797027,0.5316828634466154,3989,full,False,paired
BulkFormer_93M,TRRUST-TF,sum,0.5034251664494612,0.5071867590872483,3989,full,False,paired
Geneformer,TRRUST-TF,concat,0.7392709620264147,0.664939375102381,3994,full,False,paired
Geneformer,TRRUST-TF,hadamard,0.5617654072495825,0.5629132913451931,3994,full,False,paired
Geneformer,TRRUST-TF,sum,0.4138566387387792,0.4429730592756992,3994,full,False,paired
Txn_Jatin,TRRUST-TF,concat,0.7448153750000001,0.6820616335231559,4000,full,False,paired
Txn_Jatin,TRRUST-TF,hadamard,0.5731085625,0.5699732804285493,4000,full,False,paired
Txn_Jatin,TRRUST-TF,sum,0.4408065,0.4588549640615126,4000,full,False,paired
scGPT,TRRUST-TF,concat,0.7473727187499999,0.668441270427186,4000,full,False,paired
scGPT,TRRUST-TF,hadamard,0.5748931875000001,0.5758916104096248,4000,full,False,paired
scGPT,TRRUST-TF,sum,0.43773575,0.45903968676735213,4000,full,False,paired
