level,role,claim,detail
INFO,ReproEng,paths,BENCH_ROOT=/home/exouser/benchmarking_run/Benchmarking WALTER=/home/exouser/benchmarking_run/Benchmarking/RNA Walter
INFO,ReproEng,config,quick=False threads=32 tcga_max=0 osdr_max_acc=0 bench_max_genes=200000
PASS,CompBio,TCGA loaded,<ExprBundle TCGA[human] | 3481 samples x 15165 genes | id_type=symbol>
INFO,Statistician,TCGA label balance,"{'TCGA-BRCA': 1231, 'TCGA-LUAD': 601, 'TCGA-SKCM': 473, 'TCGA-KIRC': 614, 'TCGA-LUSC': 562}"
INFO,ReproEng,provenance: TCGA X,"df hash=0a4801009f9e shape=(3481, 15165)"
PASS,CompBio,OSDR loaded (Mus musculus),<ExprBundle OSDR[Mus musculus] | 2106 samples x 51929 genes | id_type=ensembl_mouse>
INFO,Statistician,OSDR label balance,"{'flight': 775, 'ground': 1331}"
PASS,Methodologist,OSDR has >=2 study groups for GroupKFold,70 study accessions
INFO,ReproEng,provenance: OSDR[Mus musculus] X,"df hash=019185c63a8c shape=(2106, 51929)"
PASS,CompBio,HUMAN/TCGA: no all-NaN samples,
PASS,Statistician,HUMAN/TCGA: median library size positive,"value=776107.625 expected in [1.0, 1000000000000.0]"
PASS,CompBio,MOUSE/OSDR: no all-NaN samples,
PASS,Statistician,MOUSE/OSDR: median library size positive,"value=38932536.0 expected in [1.0, 1000000000000.0]"
INFO,ReproEng,HUMAN/TCGA: QC,"genes 15165->15102, samples 3481->3481 (0 dropped <14000 genes), norm=log1p_tpm"
PASS,Methodologist,HUMAN/TCGA: no NaNs after preprocessing,
INFO,ReproEng,provenance: HUMAN/TCGA normalised X,"df hash=02feb97476e9 shape=(3481, 15102)"
INFO,ReproEng,MOUSE/OSDR: QC,"genes 51929->51305, samples 2106->2099 (7 dropped <14000 genes), norm=log1p_cpm(mouse counts; GENCODE exon-length TPM unavailable)"
PASS,Methodologist,MOUSE/OSDR: no NaNs after preprocessing,
INFO,ReproEng,provenance: MOUSE/OSDR normalised X,"df hash=631565dbeb0b shape=(2099, 51305)"
PASS,CompBio,MGI orthologs loaded,24584 pairs (17092 one-to-one)
PASS,CompBio,mouse Ensembl->human symbol map,16406 entries
PASS,CompBio,mouse->human symbol projection,15832 human-symbol genes
PASS,Statistician,cross-species expression Spearman r,n=13678 orthologs
PASS,ReproEng,canonical gene dictionary <- canonical_genes.csv,16057 genes
INFO,CompBio,benchmark gene vocabulary,15916 symbols
PASS,ReproEng,canonical gene dictionary <- canonical_genes.csv,16057 genes
PASS,ReproEng,canonical gene dictionary <- canonical_genes.csv,16057 genes
PASS,ReproEng,Txn_Jatin model loaded,"epoch_00.pt, dim=512, genes=16057, device=cuda"
PASS,CompBio,Txn_Jatin contextual gene embeddings,"978212 context samples across 863 files, dim=512, elapsed=762.4 min"
PASS,CompBio,Txn_Jatin gene embeddings,"15916/15916 covered, dim=512"
INFO,CompBio,Txn_Jatin: gene coverage,15916/15916  dim=512 
PASS,ReproEng,BRIDGE model loaded,"best_model.pt, dim=512, genes=15165, device=cuda"
PASS,CompBio,BRIDGE contextual gene embeddings,"978212 context samples across 863 files, dim=512, elapsed=691.7 min"
PASS,CompBio,BRIDGE gene embeddings,"14567/15916 covered, dim=512"
INFO,CompBio,BRIDGE: gene coverage,14567/15916  dim=512 
INFO,CompBio,scGPT: gene coverage,15841/15916  dim=512 
INFO,CompBio,Geneformer: gene coverage,15532/15916  dim=768 
INFO,CompBio,BulkFormer_37M: gene coverage,15529/15916  dim=128 
INFO,CompBio,BulkFormer_50M: gene coverage,15529/15916  dim=256 
