dataset,feature,probe,scheme,f1_mean,f1_std,auroc_mean,auroc_std,n,n_classes
TCGA-cancer-type,raw_log1p_TPM,Logistic,stratified,0.9716,0.0052,0.9979,0.0009,3481,5
TCGA-cancer-type,raw_log1p_TPM,Logistic,group,0.9715,0.0047,0.9978,0.0008,3481,5
TCGA-cancer-type,PCA-64,Logistic,stratified,0.9669,0.0039,0.9976,0.0008,3481,5
TCGA-cancer-type,PCA-64,Logistic,group,0.9655,0.0049,0.9976,0.0008,3481,5
TCGA-cancer-type,Txn_Jatin-emb,Logistic,stratified,0.959,0.0048,0.9971,0.0007,3481,5
TCGA-cancer-type,Txn_Jatin-emb,Logistic,group,0.9601,0.0067,0.9969,0.0005,3481,5
TCGA-cancer-type,BRIDGE-emb,Logistic,stratified,0.9565,0.003,0.997,0.0005,3481,5
TCGA-cancer-type,BRIDGE-emb,Logistic,group,0.9527,0.0087,0.9964,0.0007,3481,5
OSDR-spaceflight,raw_log1p_TPM,Logistic,stratified,0.8167,0.0204,0.8932,0.0159,2099,2
OSDR-spaceflight,raw_log1p_TPM,Logistic,group,0.6559,0.0713,0.7056,0.0958,2099,2
OSDR-spaceflight,PCA-64,Logistic,stratified,0.6553,0.0152,0.7202,0.0227,2099,2
OSDR-spaceflight,PCA-64,Logistic,group,0.5819,0.0172,0.6459,0.0687,2099,2
OSDR-spaceflight,Txn_Jatin-emb,Logistic,stratified,0.7032,0.0109,0.778,0.0205,2099,2
OSDR-spaceflight,Txn_Jatin-emb,Logistic,group,0.5765,0.0378,0.6189,0.0465,2099,2
OSDR-spaceflight,BRIDGE-emb,Logistic,stratified,0.6794,0.0172,0.7511,0.0192,2099,2
OSDR-spaceflight,BRIDGE-emb,Logistic,group,0.5632,0.046,0.5888,0.0482,2099,2
