model,variant,GO_terms,mean_AUROC,mean_AUPRC,AUROC_rank
Txn_Jatin,common,40,0.649199,0.080324,9
BRIDGE,common,40,0.669672,0.089928,2
scGPT,common,40,0.662787,0.088734,3
Geneformer,common,40,0.661005,0.096832,5
BulkFormer_37M,common,40,0.653789,0.070151,8
BulkFormer_50M,common,40,0.661703,0.073183,4
BulkFormer_93M,common,40,0.658263,0.069450,7
BulkFormer_127M,common,40,0.659132,0.069469,6
BulkFormer_147M,common,40,0.679051,0.077339,1
Txn_Jatin,full,40,0.657004,0.080542,8
BRIDGE,full,40,0.669767,0.090414,2
scGPT,full,40,0.668981,0.089436,3
Geneformer,full,40,0.665424,0.098326,4
BulkFormer_37M,full,40,0.655952,0.069375,9
BulkFormer_50M,full,40,0.663560,0.072776,5
BulkFormer_93M,full,40,0.662429,0.069058,6
BulkFormer_127M,full,40,0.661380,0.068758,7
BulkFormer_147M,full,40,0.681008,0.076443,1
