term,n_positive_genes,Txn_Jatin,BRIDGE,scGPT,Geneformer,BulkFormer_37M,BulkFormer_50M,BulkFormer_93M,BulkFormer_127M,BulkFormer_147M
cellular protein metabolic process (GO:0044267),333,0.091153,0.117373,0.141356,0.212360,0.071511,0.085137,0.073370,0.080018,0.075057
cellular protein modification process (GO:0006464),935,0.080030,0.089818,0.094365,0.096223,0.090861,0.092688,0.084974,0.088417,0.095212
cellular response to cytokine stimulus (GO:0071345),364,0.066200,0.085276,0.094626,0.075936,0.064263,0.072926,0.062131,0.062547,0.075231
cytokine-mediated signaling pathway (GO:0019221),456,0.110546,0.134934,0.132467,0.149715,0.094099,0.094914,0.086288,0.079070,0.097837
negative regulation of apoptotic process (GO:0043066),410,0.046922,0.046066,0.045655,0.048510,0.061976,0.062599,0.060467,0.058509,0.065654
negative regulation of cell population proliferation (GO:0008285),325,0.033713,0.034384,0.032086,0.033332,0.041730,0.034903,0.033002,0.032956,0.037058
negative regulation of cellular macromolecule biosynthetic process (GO:2000113),471,0.056664,0.072870,0.059831,0.072680,0.048536,0.056896,0.056687,0.057602,0.066436
negative regulation of cellular process (GO:0048523),481,0.046202,0.045567,0.040271,0.048791,0.054585,0.053013,0.049934,0.046650,0.052025
negative regulation of nucleic acid-templated transcription (GO:1903507),397,0.053081,0.074919,0.063484,0.067136,0.041808,0.049204,0.047028,0.048606,0.061056
negative regulation of programmed cell death (GO:0043069),329,0.042126,0.040464,0.038348,0.037317,0.050980,0.050280,0.048966,0.053153,0.051273
negative regulation of transcription by RNA polymerase II (GO:0000122),538,0.085609,0.105352,0.089605,0.109790,0.065035,0.071281,0.069777,0.073731,0.078936
"negative regulation of transcription, DNA-templated (GO:0045892)",762,0.114213,0.143497,0.125747,0.136744,0.080274,0.089110,0.091860,0.094140,0.110938
nervous system development (GO:0007399),408,0.057951,0.069270,0.055759,0.065700,0.058879,0.055307,0.056208,0.054283,0.057343
neutrophil activation involved in immune response (GO:0002283),372,0.145994,0.142559,0.186078,0.175851,0.127795,0.134575,0.127989,0.118742,0.131538
neutrophil degranulation (GO:0043312),369,0.135562,0.140355,0.183414,0.175821,0.126734,0.130968,0.123804,0.109265,0.125948
neutrophil mediated immunity (GO:0002446),375,0.160673,0.138786,0.189480,0.203301,0.127604,0.134505,0.131905,0.112554,0.134636
organelle assembly (GO:0070925),365,0.040014,0.050063,0.050404,0.050960,0.038797,0.042351,0.040077,0.044672,0.044971
organelle organization (GO:0006996),362,0.033837,0.031580,0.035717,0.035678,0.043232,0.040496,0.042063,0.042395,0.042203
phosphorylation (GO:0016310),377,0.039903,0.047519,0.048043,0.043106,0.055387,0.058189,0.047290,0.047500,0.059466
positive regulation of cell population proliferation (GO:0008284),409,0.052153,0.055173,0.050617,0.048256,0.051619,0.049006,0.045866,0.047523,0.047781
positive regulation of cellular process (GO:0048522),537,0.062361,0.064585,0.050631,0.058357,0.062011,0.058985,0.057757,0.061029,0.058891
positive regulation of gene expression (GO:0010628),414,0.042476,0.041911,0.041971,0.042937,0.044420,0.043617,0.044052,0.045315,0.051790
positive regulation of intracellular signal transduction (GO:1902533),472,0.050515,0.050478,0.049778,0.052033,0.053816,0.053430,0.050429,0.048771,0.056582
positive regulation of macromolecule metabolic process (GO:0010604),330,0.032205,0.046489,0.032938,0.033209,0.037012,0.035839,0.035758,0.032458,0.036622
positive regulation of nucleic acid-templated transcription (GO:1903508),457,0.061361,0.081898,0.075234,0.075936,0.053050,0.054559,0.053658,0.050876,0.063169
positive regulation of protein phosphorylation (GO:0001934),330,0.035363,0.039730,0.033331,0.036825,0.040731,0.039745,0.033044,0.036837,0.043105
positive regulation of transcription by RNA polymerase II (GO:0045944),815,0.120487,0.147106,0.139764,0.148177,0.098097,0.097434,0.089407,0.090487,0.104172
"positive regulation of transcription, DNA-templated (GO:0045893)",1048,0.147220,0.185652,0.177801,0.188191,0.118028,0.117384,0.111746,0.115716,0.136400
protein modification by small protein conjugation (GO:0032446),344,0.031920,0.038887,0.043465,0.051316,0.039506,0.044332,0.046357,0.043861,0.051121
protein phosphorylation (GO:0006468),471,0.056222,0.056998,0.051631,0.052641,0.063383,0.066887,0.059416,0.054593,0.070507
protein ubiquitination (GO:0016567),455,0.055172,0.056135,0.067270,0.075609,0.054343,0.068994,0.064323,0.065189,0.064451
regulation of apoptotic process (GO:0042981),628,0.070825,0.067193,0.064374,0.061768,0.084021,0.080031,0.080561,0.079168,0.082213
regulation of cell migration (GO:0030334),356,0.052419,0.056984,0.054350,0.056341,0.053072,0.054521,0.048119,0.050740,0.052803
regulation of cell population proliferation (GO:0042127),655,0.069650,0.078101,0.063990,0.066109,0.072025,0.069599,0.067850,0.069053,0.077406
regulation of cellular macromolecule biosynthetic process (GO:2000112),345,0.041051,0.041431,0.041199,0.048214,0.031004,0.032491,0.034512,0.041655,0.039226
regulation of gene expression (GO:0010468),849,0.091355,0.101405,0.096908,0.106119,0.082576,0.091888,0.083704,0.093077,0.093228
regulation of intracellular signal transduction (GO:1902531),397,0.041035,0.044722,0.044077,0.045715,0.039448,0.044627,0.041812,0.042725,0.043494
regulation of transcription by RNA polymerase II (GO:0006357),1608,0.314253,0.354364,0.298441,0.363151,0.171515,0.182934,0.179978,0.188529,0.207561
"regulation of transcription, DNA-templated (GO:0006355)",1576,0.300750,0.335176,0.314378,0.374302,0.166040,0.182022,0.175131,0.175842,0.198953
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169),371,0.043766,0.042051,0.050481,0.049133,0.046231,0.049671,0.040698,0.040485,0.051275
