term,n_positive_genes,Txn_Jatin,BRIDGE,scGPT,Geneformer,BulkFormer_37M,BulkFormer_50M,BulkFormer_93M,BulkFormer_127M,BulkFormer_147M
cellular protein metabolic process (GO:0044267),368,0.118611,0.123375,0.170334,0.257850,0.078310,0.105635,0.089761,0.095098,0.091977
cellular protein modification process (GO:0006464),954,0.078954,0.088507,0.092942,0.092000,0.089487,0.089542,0.087149,0.086669,0.094062
cellular response to cytokine stimulus (GO:0071345),394,0.067907,0.087755,0.099408,0.091102,0.075216,0.077275,0.065288,0.065767,0.075329
cytokine-mediated signaling pathway (GO:0019221),503,0.137031,0.132156,0.168987,0.159159,0.105895,0.101480,0.089984,0.080454,0.105746
negative regulation of apoptotic process (GO:0043066),431,0.046484,0.045462,0.048246,0.049581,0.056126,0.055522,0.053798,0.053857,0.060555
negative regulation of cell population proliferation (GO:0008285),344,0.031640,0.035103,0.034092,0.029672,0.039261,0.030728,0.031281,0.030800,0.034059
negative regulation of cellular macromolecule biosynthetic process (GO:2000113),496,0.063661,0.071592,0.061077,0.069533,0.049197,0.056916,0.053127,0.055357,0.064627
negative regulation of cellular process (GO:0048523),510,0.045238,0.047323,0.039383,0.045975,0.050830,0.049707,0.048354,0.045766,0.052360
negative regulation of nucleic acid-templated transcription (GO:1903507),419,0.061668,0.063836,0.062495,0.067683,0.042175,0.049865,0.044812,0.048171,0.057180
negative regulation of programmed cell death (GO:0043069),346,0.039539,0.042908,0.041440,0.038139,0.045476,0.047145,0.045958,0.047273,0.051419
negative regulation of transcription by RNA polymerase II (GO:0000122),556,0.084407,0.109994,0.091362,0.101814,0.065152,0.070662,0.067096,0.071382,0.079222
"negative regulation of transcription, DNA-templated (GO:0045892)",795,0.110375,0.143459,0.126750,0.137222,0.080907,0.090176,0.090823,0.091969,0.109272
nervous system development (GO:0007399),415,0.057086,0.071702,0.054952,0.055612,0.057239,0.055860,0.053782,0.051457,0.055835
neutrophil activation involved in immune response (GO:0002283),399,0.147903,0.143287,0.188614,0.197337,0.125049,0.135997,0.127920,0.112447,0.134225
neutrophil degranulation (GO:0043312),396,0.150219,0.161676,0.183438,0.209598,0.128355,0.134028,0.126396,0.114252,0.131077
neutrophil mediated immunity (GO:0002446),403,0.151738,0.146028,0.183250,0.198063,0.127189,0.136080,0.128474,0.115551,0.132613
organelle assembly (GO:0070925),379,0.037507,0.045103,0.054144,0.046021,0.038382,0.041315,0.041706,0.046140,0.044766
organelle organization (GO:0006996),375,0.035087,0.035485,0.033709,0.035314,0.038550,0.039842,0.041236,0.040484,0.040450
phosphorylation (GO:0016310),379,0.040123,0.046470,0.045848,0.046704,0.053905,0.056164,0.047253,0.046353,0.055499
positive regulation of cell population proliferation (GO:0008284),431,0.052029,0.057301,0.051104,0.049412,0.050823,0.048847,0.046042,0.048269,0.053028
positive regulation of cellular process (GO:0048522),567,0.066571,0.065682,0.051139,0.056356,0.060338,0.060862,0.061881,0.061614,0.060524
positive regulation of gene expression (GO:0010628),440,0.037758,0.046599,0.043885,0.043509,0.044778,0.045113,0.043222,0.040541,0.046165
positive regulation of intracellular signal transduction (GO:1902533),496,0.046336,0.050736,0.050324,0.053000,0.053664,0.054481,0.046682,0.047490,0.055014
positive regulation of macromolecule metabolic process (GO:0010604),350,0.033213,0.040891,0.032992,0.034204,0.036049,0.034050,0.033003,0.033823,0.035678
positive regulation of nucleic acid-templated transcription (GO:1903508),474,0.057196,0.075897,0.076897,0.080015,0.053167,0.053480,0.051582,0.052753,0.058011
positive regulation of protein phosphorylation (GO:0001934),344,0.035928,0.037823,0.033393,0.038316,0.039720,0.039696,0.035591,0.034580,0.039199
positive regulation of transcription by RNA polymerase II (GO:0045944),838,0.114413,0.156729,0.138375,0.138682,0.094138,0.094280,0.087286,0.094147,0.107335
"positive regulation of transcription, DNA-templated (GO:0045893)",1078,0.146072,0.186888,0.178123,0.177167,0.112999,0.116445,0.106805,0.119410,0.131196
protein modification by small protein conjugation (GO:0032446),354,0.036153,0.035024,0.041235,0.049704,0.039301,0.044593,0.044246,0.046689,0.047958
protein phosphorylation (GO:0006468),473,0.050033,0.056066,0.050210,0.052344,0.063563,0.062140,0.053490,0.053456,0.062614
protein ubiquitination (GO:0016567),467,0.048279,0.051679,0.066268,0.069819,0.052207,0.066850,0.063324,0.063036,0.063116
regulation of apoptotic process (GO:0042981),660,0.064785,0.065519,0.060274,0.067626,0.080797,0.076638,0.080411,0.078106,0.080307
regulation of cell migration (GO:0030334),375,0.062738,0.055693,0.052900,0.054466,0.052472,0.053178,0.050181,0.050544,0.055815
regulation of cell population proliferation (GO:0042127),691,0.069615,0.076116,0.068101,0.068913,0.070019,0.067400,0.069384,0.065613,0.075174
regulation of cellular macromolecule biosynthetic process (GO:2000112),352,0.039748,0.038866,0.037586,0.046422,0.032166,0.033469,0.035670,0.040250,0.038309
regulation of gene expression (GO:0010468),886,0.091031,0.104918,0.097498,0.103598,0.079191,0.084796,0.079569,0.090562,0.087890
regulation of intracellular signal transduction (GO:1902531),405,0.040122,0.044959,0.041315,0.044702,0.037434,0.043859,0.043048,0.039508,0.040264
regulation of transcription by RNA polymerase II (GO:0006357),1663,0.295067,0.350652,0.277504,0.360768,0.166866,0.178357,0.177985,0.177692,0.203899
"regulation of transcription, DNA-templated (GO:0006355)",1643,0.288643,0.335404,0.301578,0.370810,0.163884,0.180500,0.175260,0.173171,0.203430
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169),382,0.040757,0.041902,0.046268,0.044839,0.044736,0.048085,0.043457,0.039840,0.042503
