term,n_positive_genes,Txn_Jatin,BRIDGE,scGPT,Geneformer,BulkFormer_37M,BulkFormer_50M,BulkFormer_93M,BulkFormer_127M,BulkFormer_147M
cellular protein metabolic process (GO:0044267),333,0.703734,0.725920,0.700000,0.719422,0.722527,0.730769,0.710830,0.728349,0.705409
cellular protein modification process (GO:0006464),935,0.574784,0.597263,0.602299,0.615340,0.600363,0.616691,0.591306,0.606224,0.620163
cellular response to cytokine stimulus (GO:0071345),364,0.695788,0.730657,0.712936,0.669780,0.697867,0.714328,0.717617,0.719927,0.736399
cytokine-mediated signaling pathway (GO:0019221),456,0.725501,0.747389,0.742776,0.752366,0.730898,0.739502,0.730219,0.714349,0.738632
negative regulation of apoptotic process (GO:0043066),410,0.637976,0.612677,0.605635,0.596083,0.679780,0.668978,0.671270,0.651623,0.697685
negative regulation of cell population proliferation (GO:0008285),325,0.595483,0.601153,0.574319,0.535322,0.615146,0.619356,0.606079,0.614007,0.644325
negative regulation of cellular macromolecule biosynthetic process (GO:2000113),471,0.649815,0.667568,0.652123,0.672896,0.614724,0.636299,0.642750,0.644105,0.679054
negative regulation of cellular process (GO:0048523),481,0.559432,0.578757,0.562958,0.575947,0.604871,0.604425,0.610811,0.598435,0.617959
negative regulation of nucleic acid-templated transcription (GO:1903507),397,0.668167,0.683896,0.686269,0.704186,0.613488,0.637265,0.653505,0.642076,0.692604
negative regulation of programmed cell death (GO:0043069),329,0.653114,0.643180,0.608167,0.593802,0.675295,0.663018,0.672792,0.658195,0.699831
negative regulation of transcription by RNA polymerase II (GO:0000122),538,0.671842,0.725676,0.704259,0.706692,0.639786,0.643705,0.659318,0.652118,0.681659
"negative regulation of transcription, DNA-templated (GO:0045892)",762,0.679630,0.723026,0.700734,0.702930,0.615690,0.628079,0.645883,0.643881,0.682332
nervous system development (GO:0007399),408,0.649158,0.690439,0.664108,0.652932,0.688851,0.683552,0.685063,0.684390,0.691647
neutrophil activation involved in immune response (GO:0002283),372,0.800951,0.807596,0.840394,0.831441,0.814288,0.818969,0.813233,0.806789,0.818920
neutrophil degranulation (GO:0043312),369,0.791635,0.802710,0.834594,0.822177,0.814754,0.818749,0.813933,0.805299,0.818107
neutrophil mediated immunity (GO:0002446),375,0.798936,0.809909,0.844728,0.825333,0.814126,0.816727,0.816869,0.811163,0.821294
organelle assembly (GO:0070925),365,0.607537,0.636749,0.647569,0.669442,0.633256,0.655451,0.616787,0.638101,0.652834
organelle organization (GO:0006996),362,0.581615,0.564052,0.609236,0.610121,0.646943,0.632567,0.639874,0.651093,0.645728
phosphorylation (GO:0016310),377,0.634231,0.657307,0.648401,0.626931,0.664116,0.680271,0.652646,0.656345,0.685778
positive regulation of cell population proliferation (GO:0008284),409,0.623209,0.662117,0.638068,0.601288,0.650084,0.650452,0.646386,0.653511,0.652535
positive regulation of cellular process (GO:0048522),537,0.600195,0.637781,0.595575,0.573964,0.619353,0.621016,0.631788,0.631122,0.634009
positive regulation of gene expression (GO:0010628),414,0.577833,0.578177,0.619851,0.596054,0.622913,0.610385,0.611114,0.611701,0.636258
positive regulation of intracellular signal transduction (GO:1902533),472,0.598087,0.623278,0.616437,0.590648,0.617011,0.631856,0.617105,0.620308,0.635945
positive regulation of macromolecule metabolic process (GO:0010604),330,0.599406,0.641608,0.613789,0.572672,0.623655,0.623119,0.621582,0.617361,0.650120
positive regulation of nucleic acid-templated transcription (GO:1903508),457,0.629340,0.679823,0.689574,0.687203,0.628057,0.627909,0.653109,0.645811,0.679307
positive regulation of protein phosphorylation (GO:0001934),330,0.599745,0.656997,0.610890,0.598985,0.656229,0.643192,0.616579,0.647158,0.664849
positive regulation of transcription by RNA polymerase II (GO:0045944),815,0.679812,0.704004,0.688107,0.710814,0.623263,0.630373,0.637106,0.626319,0.668499
"positive regulation of transcription, DNA-templated (GO:0045893)",1048,0.666477,0.698845,0.692683,0.710415,0.619352,0.619517,0.631042,0.636245,0.671970
protein modification by small protein conjugation (GO:0032446),344,0.575876,0.606609,0.651103,0.676008,0.651756,0.676235,0.679449,0.645673,0.679939
protein phosphorylation (GO:0006468),471,0.632212,0.648238,0.635837,0.625233,0.652921,0.674645,0.656986,0.656383,0.694624
protein ubiquitination (GO:0016567),455,0.641681,0.653487,0.664706,0.709885,0.666301,0.697198,0.686258,0.674300,0.679496
regulation of apoptotic process (GO:0042981),628,0.627996,0.625305,0.583559,0.587429,0.649500,0.649511,0.650977,0.643836,0.654904
regulation of cell migration (GO:0030334),356,0.671465,0.699844,0.662634,0.635451,0.698626,0.711834,0.687585,0.706476,0.711327
regulation of cell population proliferation (GO:0042127),655,0.603949,0.629695,0.592380,0.566353,0.623927,0.623276,0.617747,0.625779,0.638910
regulation of cellular macromolecule biosynthetic process (GO:2000112),345,0.625791,0.614786,0.634907,0.674836,0.573907,0.591983,0.597015,0.630031,0.612781
regulation of gene expression (GO:0010468),849,0.604312,0.635846,0.624953,0.642757,0.596150,0.607212,0.616529,0.624169,0.627251
regulation of intracellular signal transduction (GO:1902531),397,0.619531,0.615811,0.629492,0.618670,0.605381,0.631252,0.609215,0.623971,0.631047
regulation of transcription by RNA polymerase II (GO:0006357),1608,0.730838,0.766564,0.732395,0.765698,0.614305,0.629253,0.639766,0.641695,0.668851
"regulation of transcription, DNA-templated (GO:0006355)",1576,0.729769,0.765019,0.744771,0.770523,0.614057,0.638382,0.636460,0.639433,0.671401
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169),371,0.651093,0.637107,0.648283,0.642185,0.658023,0.670805,0.635935,0.637524,0.667676
