term,n_pos,model,auroc,auprc,term_AUROC_rank
cellular protein metabolic process (GO:0044267),368,Geneformer,0.736969,0.257850,1
cellular protein metabolic process (GO:0044267),368,BulkFormer_50M,0.736397,0.105635,2
cellular protein metabolic process (GO:0044267),368,BulkFormer_127M,0.733963,0.095098,3
cellular protein metabolic process (GO:0044267),368,scGPT,0.733043,0.170334,4
cellular protein metabolic process (GO:0044267),333,BRIDGE,0.728701,0.123375,5
cellular protein metabolic process (GO:0044267),368,BulkFormer_93M,0.728116,0.089761,6
cellular protein metabolic process (GO:0044267),368,BulkFormer_37M,0.723956,0.078310,7
cellular protein metabolic process (GO:0044267),368,BulkFormer_147M,0.721144,0.091977,8
cellular protein metabolic process (GO:0044267),368,Txn_Jatin,0.705568,0.118611,9
cellular protein modification process (GO:0006464),954,BulkFormer_147M,0.630590,0.094062,1
cellular protein modification process (GO:0006464),954,BulkFormer_50M,0.621464,0.089542,2
cellular protein modification process (GO:0006464),954,Geneformer,0.617324,0.092000,3
cellular protein modification process (GO:0006464),954,scGPT,0.617212,0.092942,4
cellular protein modification process (GO:0006464),954,BulkFormer_93M,0.615947,0.087149,5
cellular protein modification process (GO:0006464),954,BulkFormer_127M,0.615108,0.086669,6
cellular protein modification process (GO:0006464),954,BulkFormer_37M,0.608166,0.089487,7
cellular protein modification process (GO:0006464),954,Txn_Jatin,0.589302,0.078954,8
cellular protein modification process (GO:0006464),935,BRIDGE,0.582155,0.088507,9
cellular response to cytokine stimulus (GO:0071345),394,BulkFormer_147M,0.741299,0.075329,1
cellular response to cytokine stimulus (GO:0071345),364,BRIDGE,0.726952,0.087755,2
cellular response to cytokine stimulus (GO:0071345),394,BulkFormer_50M,0.724880,0.077275,3
cellular response to cytokine stimulus (GO:0071345),394,scGPT,0.724170,0.099408,4
cellular response to cytokine stimulus (GO:0071345),394,BulkFormer_93M,0.723213,0.065288,5
cellular response to cytokine stimulus (GO:0071345),394,BulkFormer_127M,0.718581,0.065767,6
cellular response to cytokine stimulus (GO:0071345),394,BulkFormer_37M,0.709136,0.075216,7
cellular response to cytokine stimulus (GO:0071345),394,Txn_Jatin,0.703872,0.067907,8
cellular response to cytokine stimulus (GO:0071345),394,Geneformer,0.675351,0.091102,9
cytokine-mediated signaling pathway (GO:0019221),503,scGPT,0.760928,0.168987,1
cytokine-mediated signaling pathway (GO:0019221),503,Geneformer,0.760509,0.159159,2
cytokine-mediated signaling pathway (GO:0019221),502,BulkFormer_147M,0.753747,0.105746,3
cytokine-mediated signaling pathway (GO:0019221),457,BRIDGE,0.751328,0.132156,4
cytokine-mediated signaling pathway (GO:0019221),502,BulkFormer_50M,0.747686,0.101480,5
cytokine-mediated signaling pathway (GO:0019221),503,Txn_Jatin,0.746947,0.137031,6
cytokine-mediated signaling pathway (GO:0019221),502,BulkFormer_37M,0.742461,0.105895,7
cytokine-mediated signaling pathway (GO:0019221),502,BulkFormer_93M,0.739792,0.089984,8
cytokine-mediated signaling pathway (GO:0019221),502,BulkFormer_127M,0.714519,0.080454,9
negative regulation of apoptotic process (GO:0043066),430,BulkFormer_147M,0.687851,0.060555,1
negative regulation of apoptotic process (GO:0043066),430,BulkFormer_37M,0.669628,0.056126,2
negative regulation of apoptotic process (GO:0043066),430,BulkFormer_93M,0.665237,0.053798,3
negative regulation of apoptotic process (GO:0043066),430,BulkFormer_50M,0.658990,0.055522,4
negative regulation of apoptotic process (GO:0043066),431,Txn_Jatin,0.643683,0.046484,5
negative regulation of apoptotic process (GO:0043066),430,BulkFormer_127M,0.643470,0.053857,6
negative regulation of apoptotic process (GO:0043066),431,scGPT,0.619385,0.048246,7
negative regulation of apoptotic process (GO:0043066),411,BRIDGE,0.618145,0.045462,8
