model,track,variant,dynamic_score,static_score,delta
BRIDGE,gene-set,common,0.6445,0.6401,0.0043999999999999595
BRIDGE,gene-set,full,0.6446,0.6334,0.011199999999999988
BRIDGE,paired,common,0.5832,0.5678,0.01540000000000008
BRIDGE,paired,full,0.5888,0.5761,0.012700000000000045
BRIDGE,single-gene-GO,common,0.6697,0.6482,0.021499999999999964
BRIDGE,single-gene-GO,full,0.6698,0.6495,0.020299999999999985
BRIDGE,single-gene-disease,common,0.6706,0.6516,0.019000000000000017
BRIDGE,single-gene-disease,full,0.6714,0.6526,0.01880000000000004
BulkFormer_127M,gene-set,common,0.5791,0.5791,0.0
BulkFormer_127M,gene-set,full,0.56,0.56,0.0
BulkFormer_127M,paired,common,0.5628,0.561,0.0017999999999999128
BulkFormer_127M,paired,full,0.5574,0.5617,-0.0042999999999999705
BulkFormer_127M,single-gene-GO,common,0.6591,0.6581,0.0010000000000000009
BulkFormer_127M,single-gene-GO,full,0.6614,0.662,-0.0006000000000000449
BulkFormer_127M,single-gene-disease,common,0.6552,0.6557,-0.0004999999999999449
BulkFormer_127M,single-gene-disease,full,0.6592,0.6605,-0.0012999999999999678
BulkFormer_147M,gene-set,common,0.591,0.591,0.0
BulkFormer_147M,gene-set,full,0.5816,0.5816,0.0
BulkFormer_147M,paired,common,0.5609,0.5645,-0.0036000000000000476
BulkFormer_147M,paired,full,0.5587,0.5602,-0.0015000000000000568
BulkFormer_147M,single-gene-GO,common,0.6791,0.6786,0.000500000000000056
BulkFormer_147M,single-gene-GO,full,0.681,0.6813,-0.00029999999999996696
BulkFormer_147M,single-gene-disease,common,0.6702,0.6709,-0.0007000000000000339
BulkFormer_147M,single-gene-disease,full,0.6757,0.6752,0.0004999999999999449
BulkFormer_37M,gene-set,common,0.5751,0.5751,0.0
BulkFormer_37M,gene-set,full,0.5588,0.5588,0.0
BulkFormer_37M,paired,common,0.5688,0.5693,-0.000500000000000056
BulkFormer_37M,paired,full,0.5695,0.5696,-9.999999999998899e-05
BulkFormer_37M,single-gene-GO,common,0.6538,0.6536,0.000200000000000089
BulkFormer_37M,single-gene-GO,full,0.656,0.6558,0.00019999999999997797
BulkFormer_37M,single-gene-disease,common,0.6564,0.6564,0.0
BulkFormer_37M,single-gene-disease,full,0.6609,0.6609,0.0
BulkFormer_50M,gene-set,common,0.5814,0.5814,0.0
BulkFormer_50M,gene-set,full,0.5688,0.5688,0.0
BulkFormer_50M,paired,common,0.5678,0.5675,0.00029999999999996696
BulkFormer_50M,paired,full,0.5684,0.5698,-0.0013999999999999568
BulkFormer_50M,single-gene-GO,common,0.6617,0.6617,0.0
BulkFormer_50M,single-gene-GO,full,0.6636,0.6634,0.00019999999999997797
BulkFormer_50M,single-gene-disease,common,0.6594,0.6597,-0.00029999999999996696
BulkFormer_50M,single-gene-disease,full,0.6637,0.664,-0.000300000000000078
BulkFormer_93M,gene-set,common,0.576,0.576,0.0
BulkFormer_93M,gene-set,full,0.5677,0.5677,0.0
BulkFormer_93M,paired,common,0.553,0.558,-0.0050000000000000044
BulkFormer_93M,paired,full,0.5579,0.5604,-0.0025000000000000577
BulkFormer_93M,single-gene-GO,common,0.6583,0.6587,-0.00039999999999995595
BulkFormer_93M,single-gene-GO,full,0.6624,0.6622,0.00019999999999997797
BulkFormer_93M,single-gene-disease,common,0.6603,0.6597,0.0006000000000000449
BulkFormer_93M,single-gene-disease,full,0.6645,0.6651,-0.0006000000000000449
Geneformer,gene-set,common,0.6115,0.6115,0.0
Geneformer,gene-set,full,0.6019,0.6019,0.0
Geneformer,paired,common,0.5607,0.561,-0.000300000000000078
Geneformer,paired,full,0.5716,0.5723,-0.0007000000000000339
Geneformer,single-gene-GO,common,0.661,0.6611,-9.999999999998899e-05
Geneformer,single-gene-GO,full,0.6654,0.6654,0.0
Geneformer,single-gene-disease,common,0.6681,0.668,9.999999999998899e-05
Geneformer,single-gene-disease,full,0.6795,0.6794,9.999999999998899e-05
Txn_Jatin,gene-set,common,0.6377,0.6321,0.005600000000000049
Txn_Jatin,gene-set,full,0.6386,0.6271,0.011499999999999955
Txn_Jatin,paired,common,0.5765,0.5677,0.00880000000000003
Txn_Jatin,paired,full,0.5862,0.5752,0.01100000000000001
Txn_Jatin,single-gene-GO,common,0.6492,0.6364,0.012800000000000034
Txn_Jatin,single-gene-GO,full,0.657,0.6442,0.012800000000000034
Txn_Jatin,single-gene-disease,common,0.6603,0.6537,0.00660000000000005
Txn_Jatin,single-gene-disease,full,0.661,0.6525,0.008500000000000063
scGPT,gene-set,common,0.6316,0.6316,0.0
scGPT,gene-set,full,0.6153,0.6153,0.0
scGPT,paired,common,0.5719,0.572,-9.999999999998899e-05
scGPT,paired,full,0.5867,0.5867,0.0
scGPT,single-gene-GO,common,0.6628,0.6627,9.999999999998899e-05
scGPT,single-gene-GO,full,0.669,0.669,0.0
scGPT,single-gene-disease,common,0.6699,0.6699,0.0
scGPT,single-gene-disease,full,0.6706,0.6705,9.999999999998899e-05
