model,library,term,n_positive,auroc,auprc,shuffled_auroc
Txn_Jatin_epoch7,GO_BP,regulation of transcription by RNA polymerase II (GO:0006357),1610,0.8656362636662022,0.6949704243784011,0.5007468803884036
Txn_Jatin_epoch7,GO_BP,"regulation of transcription, DNA-templated (GO:0006355)",1578,0.8692425081142561,0.7003603235220393,0.50306608760596
Txn_Jatin_epoch7,GO_BP,"positive regulation of transcription, DNA-templated (GO:0045893)",1048,0.8150421177093703,0.4108756110904057,0.49214789024663624
Txn_Jatin_epoch7,GO_BP,cellular protein modification process (GO:0006464),935,0.8653105464336823,0.44178577591389695,0.49365773518114037
Txn_Jatin_epoch7,GO_BP,regulation of gene expression (GO:0010468),850,0.7582575507421019,0.19497185654037258,0.5144951520011664
Txn_Jatin_epoch7,GO_BP,positive regulation of transcription by RNA polymerase II (GO:0045944),815,0.824715155765408,0.38413418101720087,0.5007952440604289
Txn_Jatin_epoch7,GO_BP,"negative regulation of transcription, DNA-templated (GO:0045892)",762,0.8325650392940289,0.3204676737244807,0.4953952740695533
Txn_Jatin_epoch7,GO_BP,regulation of cell population proliferation (GO:0042127),657,0.7116227717431148,0.1576766979076772,0.5086248080999073
Txn_Jatin_epoch7,GO_BP,regulation of apoptotic process (GO:0042981),628,0.6986597198073682,0.15583755848359343,0.5086043694477713
Txn_Jatin_epoch7,GO_BP,negative regulation of transcription by RNA polymerase II (GO:0000122),538,0.8447339963077013,0.2681573276208333,0.5067841415061366
Txn_Jatin_epoch7,GO_BP,positive regulation of cellular process (GO:0048522),537,0.6953965365517626,0.15465297389390129,0.49603762090014614
Txn_Jatin_epoch7,GO_BP,negative regulation of cellular process (GO:0048523),483,0.6520945313037481,0.08960755152668137,0.5090549574484474
Txn_Jatin_epoch7,GO_BP,positive regulation of intracellular signal transduction (GO:1902533),472,0.7564469459659333,0.15803300461187178,0.5199006739978715
Txn_Jatin_epoch7,GO_BP,negative regulation of cellular macromolecule biosynthetic process (GO:2000113),471,0.8188971408672349,0.16356669806737795,0.4729011678487339
Txn_Jatin_epoch7,GO_BP,protein phosphorylation (GO:0006468),471,0.9208237840130521,0.6882758473627003,0.5031030772308055
Txn_Jatin_epoch7,GO_BP,cytokine-mediated signaling pathway (GO:0019221),457,0.8450326986928277,0.4219574211603777,0.4733986790255371
Txn_Jatin_epoch7,GO_BP,positive regulation of nucleic acid-templated transcription (GO:1903508),457,0.815712586476683,0.21790450500660496,0.47535276903727663
Txn_Jatin_epoch7,GO_BP,protein ubiquitination (GO:0016567),455,0.9238704181306222,0.5092153136929632,0.47998258827340456
Txn_Jatin_epoch7,GO_BP,positive regulation of gene expression (GO:0010628),414,0.717187697867781,0.13160322011967235,0.4945937615520651
Txn_Jatin_epoch7,GO_BP,negative regulation of apoptotic process (GO:0043066),411,0.7177701510248335,0.08467051125126376,0.5114387544009091
Txn_Jatin_epoch7,GO_BP,positive regulation of cell population proliferation (GO:0008284),409,0.7458000194106955,0.17081335109523946,0.5088095890216975
Txn_Jatin_epoch7,GO_BP,nervous system development (GO:0007399),408,0.7317503313211717,0.10744513868135415,0.4967731672088285
Txn_Jatin_epoch7,GO_BP,negative regulation of nucleic acid-templated transcription (GO:1903507),397,0.840489095172154,0.16991689711096036,0.5063089615304622
Txn_Jatin_epoch7,GO_BP,regulation of intracellular signal transduction (GO:1902531),397,0.7779953390726853,0.25465778915753035,0.5238693873778106
Txn_Jatin_epoch7,GO_BP,phosphorylation (GO:0016310),377,0.9257916902664297,0.5404449453914004,0.4856059204094489
Txn_Jatin_epoch7,GO_BP,neutrophil mediated immunity (GO:0002446),375,0.8037072529124389,0.13273927289624576,0.4782264186396092
Txn_Jatin_epoch7,GO_BP,neutrophil activation involved in immune response (GO:0002283),372,0.8068038496062904,0.1333063764411299,0.4875935036946979
Txn_Jatin_epoch7,GO_BP,transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169),371,0.8125413445494308,0.28940633427589446,0.5027235187923556
Txn_Jatin_epoch7,GO_BP,neutrophil degranulation (GO:0043312),369,0.8055054511666401,0.13277405853285718,0.49661256156159256
Txn_Jatin_epoch7,GO_BP,organelle assembly (GO:0070925),365,0.7909798542748174,0.1299741583952553,0.5107060938744881
Txn_Jatin_epoch7,GO_BP,cellular response to cytokine stimulus (GO:0071345),364,0.8160083421471861,0.29357788149062364,0.5141389800792744
Txn_Jatin_epoch7,GO_BP,organelle organization (GO:0006996),362,0.7668368269673935,0.10214930732895568,0.5140945235608814
Txn_Jatin_epoch7,GO_BP,regulation of cell migration (GO:0030334),358,0.7582991895529272,0.22604719348023203,0.5250162085482841
Txn_Jatin_epoch7,GO_BP,regulation of cellular macromolecule biosynthetic process (GO:2000112),345,0.7972351470165633,0.125097768533196,0.49700239881465536
Txn_Jatin_epoch7,GO_BP,protein modification by small protein conjugation (GO:0032446),344,0.8949447668287036,0.36060692231197494,0.4897247170894179
Txn_Jatin_epoch7,GO_BP,cellular protein metabolic process (GO:0044267),333,0.8275148831563052,0.2859203014208454,0.5207414805560091
Txn_Jatin_epoch7,GO_BP,positive regulation of macromolecule metabolic process (GO:0010604),330,0.7041041162485288,0.13022765511050957,0.4844462039798136
Txn_Jatin_epoch7,GO_BP,positive regulation of protein phosphorylation (GO:0001934),330,0.7671581304369111,0.24947248502613667,0.5013520042739681
Txn_Jatin_epoch7,GO_BP,negative regulation of programmed cell death (GO:0043069),329,0.7005718247884102,0.0660064919430409,0.511529786081256
Txn_Jatin_epoch7,GO_BP,negative regulation of cell population proliferation (GO:0008285),327,0.696610744596777,0.07313833431161428,0.52350380544961
Txn_Jatin_epoch7,GO_BP,ubiquitin-dependent protein catabolic process (GO:0006511),325,0.9131027405398982,0.37694960662311944,0.4890004644982878
Txn_Jatin_epoch7,GO_BP,cellular response to DNA damage stimulus (GO:0006974),320,0.8173306222362602,0.1876383482198326,0.5263687092019372
Txn_Jatin_epoch7,GO_BP,post-translational protein modification (GO:0043687),316,0.8795636371065232,0.3904828795306911,0.5012068884350998
Txn_Jatin_epoch7,GO_BP,protein transport (GO:0015031),316,0.846949669976524,0.3483043301373027,0.4844385781499677
Txn_Jatin_epoch7,GO_BP,supramolecular fiber organization (GO:0097435),313,0.8337768312106552,0.2688576761388372,0.5071872656338605
Txn_Jatin_epoch7,GO_BP,regulation of nucleic acid-templated transcription (GO:1903506),306,0.8074890475555391,0.12324158365189333,0.5186523830016778
Txn_Jatin_epoch7,GO_BP,proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161),297,0.905695119850691,0.3455741177913484,0.4972169723396072
Txn_Jatin_epoch7,GO_BP,positive regulation of multicellular organismal process (GO:0051240),296,0.7204020817117307,0.07489746341158422,0.5133814179956706
Txn_Jatin_epoch7,GO_BP,gene expression (GO:0010467),294,0.8761669314261121,0.32265519015532157,0.49665154368340203
Txn_Jatin_epoch7,GO_BP,transcription by RNA polymerase II (GO:0006366),293,0.8413174912643383,0.27720393842565494,0.5156730225269363
Txn_Jatin_epoch7,GO_BP,intracellular protein transport (GO:0006886),288,0.8433847588922349,0.319909620557961,0.48105682587482784
Txn_Jatin_epoch7,GO_BP,cellular protein localization (GO:0034613),286,0.831290584634188,0.32159057824414816,0.4833761225120374
Txn_Jatin_epoch7,GO_BP,cilium assembly (GO:0060271),285,0.8415981839488793,0.15190525284836598,0.49274390288843517
Txn_Jatin_epoch7,GO_BP,negative regulation of gene expression (GO:0010629),283,0.703438228841878,0.06440980056658172,0.4656026214311795
Txn_Jatin_epoch7,GO_BP,protein polyubiquitination (GO:0000209),283,0.9387973199893528,0.4697171569650042,0.5349800810019463
Txn_Jatin_epoch7,GO_BP,MAPK cascade (GO:0000165),282,0.8341579844949695,0.2521232422151667,0.504829000315264
Txn_Jatin_epoch7,GO_BP,positive regulation of apoptotic process (GO:0043065),275,0.7134340890008397,0.14222336605408442,0.4940215759611226
Txn_Jatin_epoch7,GO_BP,extracellular matrix organization (GO:0030198),273,0.9302958130438193,0.5947716600954515,0.5076389027697269
Txn_Jatin_epoch7,GO_BP,DNA repair (GO:0006281),267,0.8695853958775308,0.2596271032429118,0.4807357062413242
Txn_Jatin_epoch7,GO_BP,chemical synaptic transmission (GO:0007268),265,0.8797719279266919,0.43345939532762373,0.5083054751545503
Txn_Jatin_epoch7,GO_BP,positive regulation of cytokine production (GO:0001819),263,0.7656195507013379,0.1557527772345583,0.5189872172744362
Txn_Jatin_epoch7,GO_BP,cellular response to oxygen-containing compound (GO:1901701),262,0.7180297819317967,0.0845538320336564,0.5123028567921855
Txn_Jatin_epoch7,GO_BP,cellular macromolecule biosynthetic process (GO:0034645),260,0.879961395981526,0.3831697789030595,0.48580952841804176
Txn_Jatin_epoch7,GO_BP,mRNA processing (GO:0006397),259,0.9428990774391949,0.40439273821122257,0.4863032588081512
Txn_Jatin_epoch7,GO_BP,regulation of cell cycle (GO:0051726),255,0.7094849790111685,0.0588187763039021,0.5213165422681091
Txn_Jatin_epoch7,GO_BP,DNA metabolic process (GO:0006259),254,0.8886357372379385,0.3385241083402678,0.5235213733894247
Txn_Jatin_epoch7,GO_BP,inorganic cation transmembrane transport (GO:0098662),254,0.9510540772636076,0.6664403452871231,0.5664937056835617
Txn_Jatin_epoch7,GO_BP,positive regulation of programmed cell death (GO:0043068),254,0.7154761570754191,0.146400784235599,0.5221760296102161
Txn_Jatin_epoch7,GO_BP,plasma membrane bounded cell projection assembly (GO:0120031),253,0.7937548081675754,0.10086835951107646,0.515865227166416
Txn_Jatin_epoch7,GO_BP,central nervous system development (GO:0007417),249,0.672571274061184,0.0735383518074102,0.49287441707043284
Txn_Jatin_epoch7,GO_BP,protein-containing complex assembly (GO:0065003),246,0.7170665286011845,0.05993931309714918,0.5234512623738067
Txn_Jatin_epoch7,GO_BP,negative regulation of signal transduction (GO:0009968),245,0.6929350877342977,0.060976425381441025,0.478926099136764
Txn_Jatin_epoch7,GO_BP,regulation of protein phosphorylation (GO:0001932),241,0.6820167956238925,0.12065083428705939,0.48182076751030967
Txn_Jatin_epoch7,GO_BP,"mRNA splicing, via spliceosome (GO:0000398)",240,0.9479458946976572,0.40757347049186854,0.5300208231544171
Txn_Jatin_epoch7,GO_BP,protein modification by small protein removal (GO:0070646),239,0.865778509002474,0.45254855138451533,0.508972687706314
Txn_Jatin_epoch7,GO_BP,cellular component assembly (GO:0022607),237,0.7431051083413569,0.07589702076893878,0.5206424219939285
Txn_Jatin_epoch7,GO_BP,proteolysis (GO:0006508),237,0.9287726612900852,0.4750341452128943,0.49061365463266404
Txn_Jatin_epoch7,GO_BP,regulation of canonical Wnt signaling pathway (GO:0060828),237,0.7901855303411746,0.22377885696303532,0.5024265283948872
Txn_Jatin_epoch7,GO_BP,positive regulation of cell differentiation (GO:0045597),236,0.7419919955436183,0.09587120577409085,0.5162102659991555
Txn_Jatin_epoch7,GO_BP,positive regulation of cell migration (GO:0030335),234,0.7632267536335073,0.17630466169413134,0.49024932601294846
Txn_Jatin_epoch7,GO_BP,axonogenesis (GO:0007409),231,0.8756021229514532,0.27955594813897056,0.5224618434021335
Txn_Jatin_epoch7,GO_BP,positive regulation of phosphorylation (GO:0042327),231,0.7657279708758504,0.2662341417575902,0.544148234577922
Txn_Jatin_epoch7,GO_BP,protein deubiquitination (GO:0016579),230,0.859483367753244,0.43424156806144315,0.5076218116093658
Txn_Jatin_epoch7,GO_BP,positive regulation of MAPK cascade (GO:0043410),226,0.7995468157698734,0.1344397963529845,0.5023893373353088
Txn_Jatin_epoch7,GO_BP,positive regulation of signal transduction (GO:0009967),226,0.6593105478259313,0.04157654923758845,0.49211000331372456
Txn_Jatin_epoch7,GO_BP,membrane organization (GO:0061024),222,0.8076813655761025,0.16171761549464386,0.5000681406397685
Txn_Jatin_epoch7,GO_BP,positive regulation of DNA-binding transcription factor activity (GO:0051091),219,0.7825464990904496,0.11996517530482338,0.5074469832080076
Txn_Jatin_epoch7,GO_BP,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",218,0.966013998354263,0.43047474395560514,0.5347088087844245
Txn_Jatin_epoch7,GO_BP,anterograde trans-synaptic signaling (GO:0098916),208,0.9049641205997845,0.4542374222428409,0.4869895321615497
Txn_Jatin_epoch7,GO_BP,regulation of autophagy (GO:0010506),206,0.7355803845771618,0.05608474862872089,0.5020210481056095
Txn_Jatin_epoch7,GO_BP,cilium organization (GO:0044782),205,0.815324654151708,0.10524661063861539,0.515550521192442
Txn_Jatin_epoch7,GO_BP,external encapsulating structure organization (GO:0045229),199,0.9435750579176507,0.6706124371857857,0.5142387885977773
Txn_Jatin_epoch7,GO_BP,extracellular structure organization (GO:0043062),199,0.9419879184340411,0.6703244922097789,0.49001550066591315
