benchmark,metric,models_available,status,ESM2_PCA512_prior,Txn_Jatin,Txn_Jatin_contextual,BRIDGE,scGPT,Geneformer,BulkFormer_37M,BulkFormer_50M,BulkFormer_93M,BulkFormer_127M,BulkFormer_147M
GO full,AUROC,11/11,complete,0.8276744052922661,0.8367337851705399,0.8205234519125723,0.7768139210873342,0.7866241106345974,0.7656944430505982,0.6858304756524206,0.697673459140548,0.698570973728509,0.6794507414852876,0.6991652761799195
GO full,AUPRC,11/11,complete,0.5448097423596291,0.564308401556073,0.5238270452937478,0.38609632378841396,0.4179752985220409,0.37802427214930495,0.24155318676406004,0.25355334126247914,0.25193553398384877,0.24592234738640806,0.2596733523613673
GO full,PR@10,11/11,complete,0.6571428571428571,0.6982142857142859,0.6339285714285714,0.4928571428571428,0.5321428571428571,0.49107142857142855,0.29464285714285715,0.3125,0.30357142857142855,0.30892857142857144,0.31071428571428567
GO intersect,AUROC,11/11,complete,0.832315823050658,0.8438527648524045,0.823005073262245,0.7838572725902618,0.7847158837348392,0.7620877747297934,0.6934397460282627,0.7043407093373857,0.7001930543574127,0.6748674919708247,0.6995011984738378
GO intersect,AUPRC,11/11,complete,0.5547287649354666,0.578488773568531,0.5430977825587384,0.4158345330848431,0.4139437398784806,0.3811674565685706,0.2663283555622965,0.27985087880205733,0.2674080082326033,0.26704324604621493,0.2801951956516991
GO intersect,PR@10,11/11,complete,0.5607142857142857,0.5857142857142856,0.5517857142857142,0.4446428571428571,0.4375,0.4107142857142857,0.2839285714285714,0.31071428571428567,0.29999999999999993,0.28928571428571426,0.3053571428571429
OMIM full,AUROC,11/11,complete,0.6800634695612042,0.7013071694216223,0.6782927201650245,0.7527955285603076,0.748970316650256,0.7429589255899847,0.6217335461136372,0.6495075995666887,0.6365059080685698,0.6262404556793845,0.6424659744894661
OMIM full,AUPRC,11/11,complete,0.3218281628031073,0.34917153083288865,0.3214291207363499,0.4262114880649767,0.423856093722002,0.4045467125511307,0.24886407031779345,0.2555461107065097,0.25342151110792505,0.2436138748443087,0.25931176399148814
OMIM full,PR@10,11/11,complete,0.2796116504854369,0.29708737864077667,0.2679611650485437,0.3495145631067962,0.36019417475728155,0.33300970873786406,0.20582524271844665,0.21359223300970878,0.21067961165048554,0.19708737864077677,0.21262135922330103
OMIM intersect,AUROC,11/11,complete,0.6493354257858801,0.6629165533233748,0.6423518462873464,0.7519062010635384,0.7342277638442273,0.73006542150931,0.6202512967985866,0.6412133577713967,0.6221742743818894,0.6190032309596559,0.6301800709766978
