benchmark,metric,models_available,status,ESM2_PCA512_prior,Txn_Jatin,Txn_Jatin_contextual,BRIDGE,scGPT,Geneformer,BulkFormer_37M,BulkFormer_50M,BulkFormer_93M,BulkFormer_127M,BulkFormer_147M
GO full,AUROC,11/11,complete,0.8277,**0.8367**,0.8205,0.7768,0.7866,0.7657,0.6858,0.6977,0.6986,0.6795,0.6992
GO full,AUPRC,11/11,complete,0.5448,**0.5643**,0.5238,0.3861,0.4180,0.3780,0.2416,0.2536,0.2519,0.2459,0.2597
GO full,PR@10,11/11,complete,0.6571,**0.6982**,0.6339,0.4929,0.5321,0.4911,0.2946,0.3125,0.3036,0.3089,0.3107
GO intersect,AUROC,11/11,complete,0.8323,**0.8439**,0.8230,0.7839,0.7847,0.7621,0.6934,0.7043,0.7002,0.6749,0.6995
GO intersect,AUPRC,11/11,complete,0.5547,**0.5785**,0.5431,0.4158,0.4139,0.3812,0.2663,0.2799,0.2674,0.2670,0.2802
GO intersect,PR@10,11/11,complete,0.5607,**0.5857**,0.5518,0.4446,0.4375,0.4107,0.2839,0.3107,0.3000,0.2893,0.3054
OMIM full,AUROC,11/11,complete,0.6801,0.7013,0.6783,**0.7528**,0.7490,0.7430,0.6217,0.6495,0.6365,0.6262,0.6425
OMIM full,AUPRC,11/11,complete,0.3218,0.3492,0.3214,**0.4262**,0.4239,0.4045,0.2489,0.2555,0.2534,0.2436,0.2593
OMIM full,PR@10,11/11,complete,0.2796,0.2971,0.2680,0.3495,**0.3602**,0.3330,0.2058,0.2136,0.2107,0.1971,0.2126
OMIM intersect,AUROC,11/11,complete,0.6493,0.6629,0.6424,**0.7519**,0.7342,0.7301,0.6203,0.6412,0.6222,0.6190,0.6302
OMIM intersect,AUPRC,11/11,complete,0.2971,0.3169,0.2956,**0.4166**,0.4089,0.3924,0.2469,0.2539,0.2364,0.2506,0.2555
OMIM intersect,PR@10,11/11,complete,0.2456,0.2534,0.2447,0.3379,**0.3388**,0.3262,0.2165,0.2039,0.1932,0.2029,0.1971
Temporal GO,AUROC,11/11,complete,0.5858,0.5850,0.5866,0.5524,**0.5980**,0.5966,0.5466,0.5578,0.5342,0.5481,0.5443
Temporal GO,AUPRC,11/11,complete,**0.2240**,0.2114,0.2058,0.1886,0.2116,0.1739,0.1401,0.1463,0.1378,0.1436,0.1318
Temporal GO,PR@10,11/11,complete,0.1684,**0.1737**,0.1684,0.1368,0.1632,0.1684,0.1105,0.1211,0.1053,0.1211,0.1368
NG all_genes concat,AUROC,11/11,complete,0.7145,**0.7208**,0.6951,0.5675,0.6248,0.5723,0.5816,0.5501,0.4935,0.5370,0.5995
NG all_genes concat,AUPRC,11/11,complete,0.3273,**0.3322**,0.2795,0.1305,0.1661,0.1619,0.1420,0.1125,0.0990,0.1093,0.1339
NG all_genes concat,PR@10,11/11,complete,0.6667,**0.8000**,0.6333,0.3667,0.1667,0.4333,0.1667,0.1333,0.1333,0.1333,0.2000
NG all_genes product,AUROC,11/11,complete,0.6247,**0.6286**,0.6178,0.5173,0.5482,0.5711,0.5293,0.5466,0.5054,0.5309,0.6170
NG all_genes product,AUPRC,11/11,complete,0.2392,**0.2417**,0.2386,0.1397,0.1826,0.1817,0.1185,0.1190,0.1019,0.1092,0.1351
NG all_genes product,PR@10,11/11,complete,0.9000,0.9333,0.8667,0.5333,0.8667,**1.0000**,0.1333,0.2667,0.0667,0.2000,0.1667
NG all_genes sum,AUROC,11/11,complete,0.7274,**0.7286**,0.6934,0.5458,0.6420,0.6235,0.5068,0.5066,0.4944,0.5415,0.5559
NG all_genes sum,AUPRC,11/11,complete,0.3285,**0.3387**,0.2617,0.1354,0.2170,0.1917,0.1106,0.1020,0.0972,0.1160,0.1222
NG all_genes sum,PR@10,11/11,complete,0.6000,0.7333,0.7000,0.5333,**0.8667**,0.7667,0.2333,0.0333,0.1000,0.2000,0.2000
NG intersect concat,AUROC,11/11,complete,0.7855,**0.7882**,0.7498,0.5415,0.5700,0.5564,0.5633,0.5502,0.5231,0.5521,0.6238
NG intersect concat,AUPRC,11/11,complete,**0.4582**,0.4559,0.3774,0.1389,0.1496,0.1507,0.1649,0.1340,0.1246,0.1418,0.1770
NG intersect concat,PR@10,11/11,complete,0.7000,**0.7667**,0.6000,0.3333,0.2333,0.3667,0.2667,0.2333,0.1667,0.2333,0.2333
NG intersect product,AUROC,11/11,complete,0.6761,0.6682,**0.6780**,0.5115,0.5665,0.5952,0.5692,0.5416,0.5376,0.5563,0.6579
NG intersect product,AUPRC,11/11,complete,0.3028,0.2989,**0.3170**,0.1562,0.2320,0.2257,0.1601,0.1367,0.1310,0.1405,0.1912
NG intersect product,PR@10,11/11,complete,0.9333,0.8333,0.9333,0.3000,**1.0000**,**1.0000**,0.3333,0.2333,0.2000,0.0333,0.1333
NG intersect sum,AUROC,11/11,complete,0.7543,**0.7726**,0.7192,0.5171,0.5927,0.5697,0.4847,0.4724,0.5032,0.5423,0.6247
