benchmark,metric,models_available,status,ESM2_PCA512_prior,Txn_Jatin,Txn_Jatin_contextual,BRIDGE,scGPT,Geneformer,BulkFormer_37M,BulkFormer_50M,BulkFormer_93M,BulkFormer_127M,BulkFormer_147M
GO full,AUROC,11/11,complete,0.8277,**0.8367**,0.8205,0.7768,0.7866,0.7657,0.6858,0.6977,0.6986,0.6795,0.6992
GO intersect,AUROC,11/11,complete,0.8323,**0.8439**,0.8230,0.7839,0.7847,0.7621,0.6934,0.7043,0.7002,0.6749,0.6995
OMIM full,AUROC,11/11,complete,0.6801,0.7013,0.6783,**0.7528**,0.7490,0.7430,0.6217,0.6495,0.6365,0.6262,0.6425
OMIM intersect,AUROC,11/11,complete,0.6493,0.6629,0.6424,**0.7519**,0.7342,0.7301,0.6203,0.6412,0.6222,0.6190,0.6302
Temporal GO,AUROC,11/11,complete,0.5858,0.5850,0.5866,0.5524,**0.5980**,0.5966,0.5466,0.5578,0.5342,0.5481,0.5443
NG all_genes concat,AUROC,11/11,complete,0.7145,**0.7208**,0.6951,0.5675,0.6248,0.5723,0.5816,0.5501,0.4935,0.5370,0.5995
NG all_genes product,AUROC,11/11,complete,0.6247,**0.6286**,0.6178,0.5173,0.5482,0.5711,0.5293,0.5466,0.5054,0.5309,0.6170
NG all_genes sum,AUROC,11/11,complete,0.7274,**0.7286**,0.6934,0.5458,0.6420,0.6235,0.5068,0.5066,0.4944,0.5415,0.5559
NG intersect concat,AUROC,11/11,complete,0.7855,**0.7882**,0.7498,0.5415,0.5700,0.5564,0.5633,0.5502,0.5231,0.5521,0.6238
NG intersect product,AUROC,11/11,complete,0.6761,0.6682,**0.6780**,0.5115,0.5665,0.5952,0.5692,0.5416,0.5376,0.5563,0.6579
NG intersect sum,AUROC,11/11,complete,0.7543,**0.7726**,0.7192,0.5171,0.5927,0.5697,0.4847,0.4724,0.5032,0.5423,0.6247
POMBE all_genes concat,AUROC,11/11,complete,**0.6393**,0.6353,0.6328,0.5159,0.5548,0.5177,0.5453,0.5256,0.5231,0.5446,0.5616
POMBE all_genes product,AUROC,11/11,complete,0.5796,0.5801,**0.5878**,0.5194,0.5235,0.4975,0.5536,0.5383,0.5469,0.5532,0.5576
POMBE all_genes sum,AUROC,11/11,complete,**0.6440**,0.6237,0.6399,0.4900,0.5650,0.5227,0.5453,0.5290,0.5519,0.5523,0.5728
POMBE intersect concat,AUROC,11/11,complete,0.6193,0.6208,**0.6280**,0.5367,0.5474,0.5099,0.5600,0.5327,0.5239,0.5567,0.5443
POMBE intersect product,AUROC,11/11,complete,0.5795,0.5807,**0.5992**,0.5456,0.5139,0.4757,0.5771,0.5596,0.5699,0.5702,0.5896
POMBE intersect sum,AUROC,11/11,complete,0.6197,**0.6223**,0.6217,0.5375,0.5601,0.5271,0.5642,0.5465,0.5553,0.5545,0.5905
SL all_genes concat,AUROC,11/11,complete,0.6791,**0.7364**,0.6925,0.5377,0.4934,0.6704,0.6985,0.6177,0.6051,0.7114,0.6417
SL all_genes product,AUROC,11/11,complete,0.6340,0.5811,0.6082,0.5698,0.4890,0.5868,0.6046,0.5828,0.5810,0.6729,**0.6948**
SL all_genes sum,AUROC,11/11,complete,0.7092,**0.7612**,0.6687,0.5307,0.4628,0.6928,0.6937,0.6311,0.6331,0.7069,0.6946
SL intersect concat,AUROC,11/11,complete,0.7646,0.7927,**0.8040**,0.6109,0.5200,0.6319,0.6739,0.7089,0.6687,0.6871,0.7548
SL intersect product,AUROC,11/11,complete,0.6093,0.6181,0.5825,0.6418,0.5379,0.5597,0.5368,0.6681,0.6422,0.6682,**0.7179**
SL intersect sum,AUROC,11/11,complete,0.7937,**0.8411**,0.8403,0.6251,0.5396,0.6209,0.6436,0.7384,0.6818,0.7011,0.7389
TF all_genes concat,AUROC,11/11,complete,**0.8661**,0.8646,0.8639,0.6545,0.6804,0.6135,0.5450,0.5569,0.5550,0.5571,0.5347
TF all_genes product,AUROC,11/11,complete,0.6574,**0.6607**,0.6541,0.6327,0.5264,0.5776,0.5425,0.5614,0.5571,0.5592,0.5467
TF all_genes sum,AUROC,11/11,complete,0.8694,0.8650,**0.8695**,0.6408,0.6749,0.6126,0.5399,0.5495,0.5604,0.5491,0.5190
TF intersect concat,AUROC,11/11,complete,**0.8574**,0.8572,0.8560,0.6148,0.6572,0.6021,0.5406,0.5414,0.5599,0.5117,0.5302
TF intersect product,AUROC,11/11,complete,**0.6571**,0.6509,0.6515,0.5988,0.5288,0.5689,0.5279,0.5464,0.5340,0.5088,0.5236
TF intersect sum,AUROC,11/11,complete,0.8638,0.8602,**0.8645**,0.5922,0.6512,0.5908,0.5185,0.5187,0.5500,0.5069,0.5292
