task,scope,method,auroc,auprc,positives,edges
sl,all,Txn_Jatin,0.6046670293230966,0.14024501229862454,611,6174
sl,all,Txn_plus_coexpression,0.6046761496713879,0.142386385170132,611,6174
sl,all,coexpression,0.5820490068676223,0.1266699877864013,611,6174
sl,immune,Txn_Jatin,0.07499999999999996,0.02631578947368421,1,41
sl,immune,Txn_plus_coexpression,0.07499999999999996,0.02631578947368421,1,41
sl,immune,coexpression,0.19999999999999996,0.030303030303030304,1,41
sl,nonimmune,Txn_Jatin,0.6062658984930381,0.14174240293593618,610,6133
sl,nonimmune,Txn_plus_coexpression,0.6062436368925179,0.1439128202468548,610,6133
sl,nonimmune,coexpression,0.5821525780417509,0.12724084692499438,610,6133
tf,all,Txn_Jatin,0.7882996075955064,0.30384111856499996,2504,27488
tf,all,Txn_plus_coexpression,0.7860446420533422,0.29915328732905827,2504,27488
tf,all,coexpression,0.5114938976280283,0.0919944131249761,2504,27488
tf,immune,Txn_Jatin,0.7431811216671774,0.24757678767554375,13,264
tf,immune,Txn_plus_coexpression,0.7318418633159669,0.2312682503812185,13,264
tf,immune,coexpression,0.4324241495556237,0.04806676850397783,13,264
tf,nonimmune,Txn_Jatin,0.7887335174022267,0.3050811225627495,2491,27224
tf,nonimmune,Txn_plus_coexpression,0.7864833596637866,0.3006145145785369,2491,27224
tf,nonimmune,coexpression,0.5121200401825012,0.09251133040314688,2491,27224
