method,scope,cohort,n,responders,auroc,auprc,brier,log_loss,calibration_intercept,calibration_slope
atlas,cohort,Gide,73,40,0.728030303030303,0.7660845344044896,0.33077318911726783,0.8869492217339511,2.0651174124884015,1.416813290027111
atlas,cohort,Hugo,26,14,0.47619047619047616,0.5237705171254677,0.3750886431085784,1.0304362533162374,0.29563782635445246,0.09256615259553984
atlas,cohort,Riaz,51,10,0.6585365853658536,0.4034862798020693,0.28961305034444784,0.7795574232340966,-1.6894430277045347,0.736521631707829
atlas,cohort,Rose,89,16,0.672945205479452,0.32194856516262893,0.20718114114845085,0.6058373755371774,-1.3329902471315536,1.0217916334554276
raw,cohort,Gide,73,40,0.6916666666666667,0.7244173838779077,0.27700397010706845,0.7553076484098638,1.0683394760775313,1.024548373896301
raw,cohort,Hugo,26,14,0.5535714285714285,0.6366692830978545,0.29794399041598496,0.8168751830995968,0.25460409495275044,0.1290067552330057
raw,cohort,Riaz,51,10,0.6951219512195121,0.40293425443475206,0.2588432712045443,0.7129293485096538,-1.6114582808624587,0.8370742749956783
raw,cohort,Rose,89,16,0.6738013698630136,0.2888185949478066,0.14566247375388247,0.45746854544569027,-0.477354634476256,0.6049776658894533
raw_atlas,cohort,Gide,73,40,0.7098484848484848,0.7434475116831423,0.2761830747587794,0.7565471866065875,1.1194776830452133,1.0259215364474512
raw_atlas,cohort,Hugo,26,14,0.47023809523809523,0.5411676137146062,0.3099430493889445,0.8451301653515484,0.10697446088017191,-0.06811734126965838
raw_atlas,cohort,Riaz,51,10,0.6878048780487805,0.31316926932716405,0.2787404943941326,0.7627420103923117,-1.672979641318663,0.7105295353150626
raw_atlas,cohort,Rose,89,16,0.6763698630136986,0.3042418769814826,0.14636883308012152,0.46185906190712317,-0.42141664008912505,0.5894363433160379
raw_txn_atlas,cohort,Gide,73,40,0.6530303030303031,0.6732264977125836,0.2447554987837837,0.6860572847701839,0.39830163617268655,0.7101747704725112
raw_txn_atlas,cohort,Hugo,26,14,0.22023809523809523,0.41444164495635083,0.7314041553085799,5.4967044425327884,-0.8536294003145373,-0.21571378776506342
raw_txn_atlas,cohort,Riaz,51,10,0.5365853658536586,0.23326318157912088,0.26193405905346895,0.7202716547497675,-1.3635967582631945,0.17927499052822984
raw_txn_atlas,cohort,Rose,89,16,0.6481164383561644,0.26681405317753093,0.15622353064711872,0.5203513573891599,-0.29997068169883795,0.4669672198992103
txn,cohort,Gide,73,40,0.45340909090909093,0.5341683260177217,0.5127019034275524,4.0878507932302846,0.027070420890670896,-0.029216417640667958
txn,cohort,Hugo,26,14,0.25595238095238093,0.4200961319462415,0.43640411695833914,1.2542190887439983,-0.40413436880537607,-0.6434715744009768
txn,cohort,Riaz,51,10,0.3878048780487805,0.1802019064882575,0.46883346522797076,3.427534004822096,-1.5910112842761746,-0.05862952828382849
txn,cohort,Rose,89,16,0.5440924657534246,0.24376685883099422,0.509214932979097,4.140089911586307,-1.5210708709331222,0.006650292425513979
txn_atlas,cohort,Gide,73,40,0.5,0.5453334820834483,0.5342314355890494,5.177113083381601,0.04149353127160526,-0.01979013478580798
txn_atlas,cohort,Hugo,26,14,0.3035714285714286,0.4375989136913506,0.46414069639618477,1.5346225166925946,-0.7071565134270672,-0.4495433440719269
txn_atlas,cohort,Riaz,51,10,0.5292682926829269,0.23241814447636241,0.31365350894300553,0.8561858493217201,-1.441088682430266,0.14524127499519138
txn_atlas,cohort,Rose,89,16,0.5321061643835616,0.25126145571436553,0.5700651130731312,4.590747591271353,-1.5336707033251045,0.005307076641604459
atlas,pooled,ALL,239,80,0.3898584905660377,0.3041067465327746,0.28078717429356714,0.7749606308809553,-0.9195756815501652,-0.36576492370066976
raw,pooled,ALL,239,80,0.6359276729559747,0.4156977144006233,0.22649707349020465,0.6420515080048884,-0.26177600844991505,0.46053625259994113
raw_atlas,pooled,ALL,239,80,0.6407232704402516,0.4057991805917086,0.23206056527085786,0.6577683178291339,-0.30512899518129943,0.3998847355106167
raw_txn_atlas,pooled,ALL,239,80,0.5568396226415094,0.3688533800848922,0.26839410329941327,1.1549858681755203,-0.7646781968640554,-0.04565684524366266
txn,pooled,ALL,239,80,0.4156446540880503,0.29237255669696394,0.4937421830665033,3.6581382451475437,-0.7966983251773357,-0.04272008578657542
txn_atlas,pooled,ALL,239,80,0.34147012578616354,0.26936788649968785,0.49288149340545356,3.6404663366503027,-0.8509400020702821,-0.08027949692328112
