pathway,meta_hedges_g,ci_low,ci_high,p_value,tau2,positive_cohorts,negative_cohorts,effect_sd,q_value,direction_concordance
ATLAS_ANTIGEN_PRESENTATION,0.6460097918729065,0.07770157591738847,1.2143180078284246,0.025881865959687955,0.23298260521413303,4.0,0.0,0.5580697593950371,0.29743548216285226,1.0
Interferon Alpha Response,0.5416883253276069,0.00996587216293443,1.0734107784922795,0.04585391961809823,0.19289770880083798,4.0,0.0,0.5153071200510043,0.29743548216285226,1.0
PI3K/AKT/mTOR  Signaling,0.34439331565425924,0.05183613385215996,0.6369504974563585,0.021039298720991917,0.0,4.0,0.0,0.24351996312414778,0.29743548216285226,1.0
Hedgehog Signaling,-0.297110720977204,-0.5886221765515295,-0.005599265402878473,0.04575493336456368,0.0,0.0,4.0,0.19202007452731387,0.29743548216285226,1.0
ATLAS_T_CELL_INFLAMED,0.6040071085612357,0.049792410548034405,1.1582218065744372,0.03267186423372447,0.2170541713602947,3.0,1.0,0.5590429445197549,0.29743548216285226,0.75
ATLAS_IFNG_AXIS,0.5927860720998832,0.008094570554612934,1.1774775736451535,0.04690748510633503,0.2527290885136786,3.0,1.0,0.5723258596390659,0.29743548216285226,0.75
ATLAS_EXHAUSTION,0.5648370006870964,0.10320523378544799,1.026468767588745,0.016476332488427007,0.12171141759826215,3.0,1.0,0.5177941617842885,0.29743548216285226,0.75
Interferon Gamma Response,0.5318436115777053,0.025538473340894763,1.0381487498145159,0.0395072578952943,0.166044300716709,3.0,1.0,0.4875976146128694,0.29743548216285226,0.75
ATLAS_CYTOLYTIC,0.4958344799459663,-0.009922387324298954,1.0015913472162317,0.05466278557358762,0.16565859894675428,3.0,1.0,0.5193454366730619,0.29743548216285226,0.75
Allograft Rejection,0.45079923643516595,-0.017464924086314948,0.9190633969566468,0.059174104944045486,0.12904079155609588,3.0,1.0,0.46250781536555996,0.29743548216285226,0.75
ATLAS_TREG,0.35896688157748274,0.030186119077588502,0.687747644077377,0.03235863682103153,0.020554539581657164,3.0,1.0,0.4134955334315038,0.29743548216285226,0.75
