cohort	evaluation_sample_id	archive_accession
Riaz	Pt1_Pre_AD101148	GSM2420259
Riaz	Pt2_Pre_AD101150	GSM2420261
Riaz	Pt3_Pre_E9024733	GSM2420324
Riaz	Pt4_Pre_E9021023	GSM2420326
Riaz	Pt5_Pre_E9021022	GSM2420329
Riaz	Pt8_Pre_AD153354	GSM2420360
Riaz	Pt9_Pre_E9021024	GSM2420331
Riaz	Pt10_Pre_E9047565	GSM2420333
Riaz	Pt11_Pre_AD153352	GSM2420362
Riaz	Pt17_Pre_E9047563	GSM2420336
Riaz	Pt18_Pre_E9024732	GSM2420337
Riaz	Pt23_Pre_AD313075	GSM2420264
Riaz	Pt24_Pre_AD436687	GSM2420352
Riaz	Pt26_Pre_AD467789	GSM2420366
Riaz	Pt27_Pre_AD453873	GSM2420354
Riaz	Pt28_Pre_AD297619	GSM2420368
Riaz	Pt29_Pre_AD497504	GSM2420355
Riaz	Pt30_Pre_AD497503	GSM2420357
Riaz	Pt31_Pre_AD453872	GSM2420359
Riaz	Pt34_Pre_AD466985	GSM2420375
Riaz	Pt36_Pre_AD467095	GSM2420344
Riaz	Pt37_Pre_AD502452	GSM2420346
Riaz	Pt38_Pre_E9200719	GSM2420341
Riaz	Pt39_Pre_AD485899	GSM2420265
Riaz	Pt44_Pre_AD467790	GSM2420370
Riaz	Pt46_Pre_AD467096	GSM2420350
Riaz	Pt47_Pre_AD506073	GSM2420282
Riaz	Pt48_Pre_E9047561	GSM2420343
Riaz	Pt49_Pre_AD667851	GSM2420270
Riaz	Pt52_Pre_AD506075	GSM2420285
Riaz	Pt59_Pre_AD823915	GSM2420267
Riaz	Pt62_Pre_AD608303	GSM2420302
Riaz	Pt65_Pre_AD793919	GSM2420303
Riaz	Pt66_Pre_AD667850	GSM2420272
Riaz	Pt67_Pre_AD506074	GSM2420286
Riaz	Pt72_Pre_AD793922	GSM2420307
Riaz	Pt76_Pre_AD667852	GSM2420273
Riaz	Pt77_Pre_AD733591	GSM2420292
Riaz	Pt78_Pre_AD467018	GSM2420310
Riaz	Pt79_Pre_AD733587	GSM2420295
Riaz	Pt82_Pre_AD823914	GSM2420268
Riaz	Pt84_Pre_AD486532	GSM2420296
Riaz	Pt85_Pre_AD486329	GSM2420275
Riaz	Pt89_Pre_AE070951	GSM2420277
Riaz	Pt90_Pre_AD467873	GSM2420312
Riaz	Pt92_Pre_AE134060	GSM2420313
Riaz	Pt94_Pre_AD732850	GSM2420289
Riaz	Pt98_Pre_AD733586	GSM2420299
Riaz	Pt101_Pre_AD486328	GSM2420280
Riaz	Pt103_Pre_AE134058	GSM2420318
Riaz	Pt106_Pre_AD502250	GSM2420372
Hugo	Pt1-baseline	GSM2069823
Hugo	Pt2-baseline	GSM2069824
Hugo	Pt4-baseline	GSM2069825
Hugo	Pt5-baseline	GSM2069826
Hugo	Pt6-baseline	GSM2069827
Hugo	Pt7-baseline	GSM2069828
Hugo	Pt8-baseline	GSM2069829
Hugo	Pt9-baseline	GSM2069830
Hugo	Pt10-baseline	GSM2069831
Hugo	Pt12-baseline	GSM2069832
Hugo	Pt13-baseline	GSM2069833
Hugo	Pt14-baseline	GSM2069834
Hugo	Pt15-baseline	GSM2069835
Hugo	Pt19-baseline	GSM2069837
Hugo	Pt20-baseline	GSM2069838
Hugo	Pt22-baseline	GSM2069839
Hugo	Pt23-baseline	GSM2069840
Hugo	Pt25-baseline	GSM2069841
Hugo	Pt27-baseline	GSM2069842
Hugo	Pt27-baseline	GSM2069843
Hugo	Pt28-baseline	GSM2069844
Hugo	Pt29-baseline	GSM2069845
Hugo	Pt31-baseline	GSM2069846
Hugo	Pt32-baseline	GSM2069847
Hugo	Pt35-baseline	GSM2069848
Hugo	Pt37-baseline	GSM2069849
Hugo	Pt38-baseline	GSM2069850
Rose	UCC_Rose_RS.03238999	GSM5362498
Rose	UCC_Rose_RS.03239000	GSM5362508
Rose	UCC_Rose_RS.03239001	GSM5362510
Rose	UCC_Rose_RS.03239002	GSM5362496
Rose	UCC_Rose_RS.03239003	GSM5362518
Rose	UCC_Rose_RS.03239004	GSM5362488
Rose	UCC_Rose_RS.03239005	GSM5362479
Rose	UCC_Rose_RS.03239006	GSM5362469
Rose	UCC_Rose_RS.03239007	GSM5362500
Rose	UCC_Rose_RS.03239008	GSM5362465
Rose	UCC_Rose_RS.03239009	GSM5362478
Rose	UCC_Rose_RS.03239010	GSM5362523
Rose	UCC_Rose_RS.03239011	GSM5362515
Rose	UCC_Rose_RS.03239012	GSM5362497
Rose	UCC_Rose_RS.03239013	GSM5362547
Rose	UCC_Rose_RS.03239014	GSM5362501
Rose	UCC_Rose_RS.03239015	GSM5362521
Rose	UCC_Rose_RS.03239016	GSM5362526
Rose	UCC_Rose_RS.03239017	GSM5362474
Rose	UCC_Rose_RS.03239018	GSM5362509
Rose	UCC_Rose_RS.03239019	GSM5362550
Rose	UCC_Rose_RS.03239020	GSM5362534
Rose	UCC_Rose_RS.03239021	GSM5362529
Rose	UCC_Rose_RS.03239022	GSM5362537
Rose	UCC_Rose_RS.03239023	GSM5362506
Rose	UCC_Rose_RS.03239024	GSM5362494
Rose	UCC_Rose_RS.03239025	GSM5362487
Rose	UCC_Rose_RS.03239026	GSM5362545
Rose	UCC_Rose_RS.03239027	GSM5362507
Rose	UCC_Rose_RS.03239028	GSM5362522
Rose	UCC_Rose_RS.03239029	GSM5362503
Rose	UCC_Rose_RS.03239031	GSM5362536
Rose	UCC_Rose_RS.03239032	GSM5362471
Rose	UCC_Rose_RS.03239033	GSM5362528
Rose	UCC_Rose_RS.03239034	GSM5362477
Rose	UCC_Rose_RS.03239035	GSM5362542
Rose	UCC_Rose_RS.03239036	GSM5362466
Rose	UCC_Rose_RS.03239037	GSM5362549
Rose	UCC_Rose_RS.03239038	GSM5362489
Rose	UCC_Rose_RS.03239039	GSM5362476
Rose	UCC_Rose_RS.03239040	GSM5362535
Rose	UCC_Rose_RS.03239041	GSM5362493
Rose	UCC_Rose_RS.03239042	GSM5362495
Rose	UCC_Rose_RS.03239043	GSM5362484
Rose	UCC_Rose_RS.03238953	GSM5362514
Rose	UCC_Rose_RS.03238954	GSM5362532
Rose	UCC_Rose_RS.03238955	GSM5362533
Rose	UCC_Rose_RS.03238956	GSM5362531
Rose	UCC_Rose_RS.03238957	GSM5362505
Rose	UCC_Rose_RS.03238958	GSM5362548
Rose	UCC_Rose_RS.03238959	GSM5362470
Rose	UCC_Rose_RS.03238960	GSM5362464
Rose	UCC_Rose_RS.03238961	GSM5362485
