method,held_out_cohort,C,inner_macro_auroc,inner_folds,selected
txn_context_mean,Gide,0.01,0.5259689274974941,2,False
txn_context_mean,Gide,0.1,0.5526937854994989,2,True
txn_context_mean,Gide,1.0,0.5526290511192783,2,False
txn_context_mean,Gide,10.0,0.5499958235883728,2,False
txn_context_mean,Riaz,0.01,0.6080661062681612,2,False
txn_context_mean,Riaz,0.1,0.6251971772519718,2,False
txn_context_mean,Riaz,1.0,0.626447696139477,2,True
txn_context_mean,Riaz,10.0,0.6242891241178913,2,False
txn_context_mean,Rose,0.01,0.5142923133776792,2,False
txn_context_mean,Rose,0.1,0.4980968218773097,2,False
txn_context_mean,Rose,1.0,0.5248152254249816,2,False
txn_context_mean,Rose,10.0,0.542230229120473,2,True
txn_hidden_all,Gide,0.01,0.6031719846308052,2,True
txn_hidden_all,Gide,0.1,0.5819620781824257,2,False
txn_hidden_all,Gide,1.0,0.5726737387236887,2,False
txn_hidden_all,Gide,10.0,0.5635148680253925,2,False
txn_hidden_all,Riaz,0.01,0.44656237027812373,2,False
txn_hidden_all,Riaz,0.1,0.46447955583229555,2,False
txn_hidden_all,Riaz,1.0,0.4675591531755915,2,True
txn_hidden_all,Riaz,10.0,0.46690016604400164,2,False
txn_hidden_all,Rose,0.01,0.6054046563192905,2,True
txn_hidden_all,Rose,0.1,0.5849593495934959,2,False
txn_hidden_all,Rose,1.0,0.5783536585365854,2,False
txn_hidden_all,Rose,10.0,0.5720436067997043,2,False
raw_common_topvar,Gide,0.01,0.5616229535583027,2,True
raw_common_topvar,Gide,0.1,0.5249081189442031,2,False
raw_common_topvar,Gide,1.0,0.5157743067156699,2,False
raw_common_topvar,Gide,10.0,0.5213393752088206,2,False
raw_common_topvar,Riaz,0.01,0.6450939186384392,2,True
raw_common_topvar,Riaz,0.1,0.6315250103777501,2,False
raw_common_topvar,Riaz,1.0,0.6309983395599834,2,False
raw_common_topvar,Riaz,10.0,0.6310476338729764,2,False
raw_common_topvar,Rose,0.01,0.6476718403547672,2,True
raw_common_topvar,Rose,0.1,0.6319752402069474,2,False
raw_common_topvar,Rose,1.0,0.6320121951219513,2,False
raw_common_topvar,Rose,10.0,0.6295269770879526,2,False
hallmark_common,Gide,0.01,0.6215398429669228,2,False
hallmark_common,Gide,0.1,0.6512758937520882,2,True
hallmark_common,Gide,1.0,0.5473918309388573,2,False
hallmark_common,Gide,10.0,0.5056339792849983,2,False
hallmark_common,Riaz,0.01,0.6191884599418845,2,False
hallmark_common,Riaz,0.1,0.6609978206724781,2,True
hallmark_common,Riaz,1.0,0.6373962224989622,2,False
hallmark_common,Riaz,10.0,0.6104192611041926,2,False
hallmark_common,Rose,0.01,0.6545454545454545,2,True
hallmark_common,Rose,0.1,0.6020694752402069,2,False
hallmark_common,Rose,1.0,0.4804231337767923,2,False
hallmark_common,Rose,10.0,0.4290650406504065,2,False
txn_completed_topvar,Gide,0.01,0.5666304710992316,2,True
txn_completed_topvar,Gide,0.1,0.5231957901770798,2,False
txn_completed_topvar,Gide,1.0,0.5189400267290344,2,False
txn_completed_topvar,Gide,10.0,0.5264513030404276,2,False
txn_completed_topvar,Riaz,0.01,0.6554846409298465,2,False
txn_completed_topvar,Riaz,0.1,0.6563745330012454,2,True
txn_completed_topvar,Riaz,1.0,0.6560943337484433,2,False
txn_completed_topvar,Riaz,10.0,0.6532456413449564,2,False
txn_completed_topvar,Rose,0.01,0.6528455284552845,2,True
txn_completed_topvar,Rose,0.1,0.6398835920177384,2,False
txn_completed_topvar,Rose,1.0,0.6335273466371028,2,False
txn_completed_topvar,Rose,10.0,0.6259515890613452,2,False
txn_completed_hallmark,Gide,0.01,0.6311267958569997,2,False
txn_completed_hallmark,Gide,0.1,0.6523262612763114,2,True
txn_completed_hallmark,Gide,1.0,0.5406072502505848,2,False
txn_completed_hallmark,Gide,10.0,0.49463331105913805,2,False
txn_completed_hallmark,Riaz,0.01,0.6233551266085513,2,False
txn_completed_hallmark,Riaz,0.1,0.6695283312577833,2,True
txn_completed_hallmark,Riaz,1.0,0.6460253217102532,2,False
txn_completed_hallmark,Riaz,10.0,0.627150788709008,2,False
txn_completed_hallmark,Rose,0.01,0.6553030303030303,2,True
txn_completed_hallmark,Rose,0.1,0.6098946784922394,2,False
txn_completed_hallmark,Rose,1.0,0.47373429416112345,2,False
txn_completed_hallmark,Rose,10.0,0.4383961566888396,2,False
