sample_id,TNF-alpha Signaling via NF-kB,Hypoxia,Cholesterol Homeostasis,Mitotic Spindle,Wnt-beta Catenin Signaling,TGF-beta Signaling,IL-6/JAK/STAT3 Signaling,DNA Repair,G2-M Checkpoint,Apoptosis,Notch Signaling,Adipogenesis,Estrogen Response Early,Estrogen Response Late,Androgen Response,Myogenesis,Protein Secretion,Interferon Alpha Response,Interferon Gamma Response,Apical Junction,Apical Surface,Hedgehog Signaling,Complement,Unfolded Protein Response,PI3K/AKT/mTOR  Signaling,mTORC1 Signaling,E2F Targets,Myc Targets V1,Myc Targets V2,Epithelial Mesenchymal Transition,Inflammatory Response,Xenobiotic Metabolism,Fatty Acid Metabolism,Oxidative Phosphorylation,Glycolysis,Reactive Oxygen Species Pathway,p53 Pathway,UV Response Up,UV Response Dn,Angiogenesis,heme Metabolism,Coagulation,IL-2/STAT5 Signaling,Bile Acid Metabolism,Pperoxisome,Allograft Rejection,Spermatogenesis,KRAS Signaling Up,KRAS Signaling Dn,Pancreas Beta Cells
1_ipiPD1_PRE,1.4789726,1.8353064,2.0241065,2.4469512,1.7885739,2.2325275,1.5512241,2.3855488,2.451067,2.0908108,1.9513028,2.3401256,1.4530544,1.4372362,2.2493784,1.7214789,2.7938282,1.8166107,1.6967425,1.8588178,1.4538897,1.8389143,1.7814963,2.7530553,2.2319982,2.571856,2.5120869,3.5444412,2.6056318,2.1204553,1.0942334,1.6066651,2.3089397,3.0033984,2.028168,2.36266,1.7004598,1.9361575,2.179596,2.2282557,1.9403589,1.6837025,1.517146,1.2792269,1.8476622,1.3488258,1.3321635,1.2795336,0.6277927,0.9829568
2_ipiPD1_PRE,1.9554363,2.2205844,2.4041076,2.7766976,2.130056,2.701215,2.1412776,2.6137767,2.6058722,2.603666,2.3053155,2.5493572,1.6434691,1.6388553,2.6257148,2.1179452,3.0146215,2.355462,2.243828,2.2399914,1.7596492,2.2172377,2.164022,2.9740663,2.456732,2.7728744,2.6701021,3.6149127,2.5043302,2.9825397,1.5728954,1.759767,2.3441694,2.8992493,2.2981825,2.4418428,2.1500416,2.1681015,2.6920805,2.878251,2.0483637,2.100162,1.9235889,1.5992743,2.1868842,1.8358527,1.5665728,1.8412119,0.8490756,1.185393
6_ipiPD1_PRE,1.2930317,1.6176538,1.8887588,1.9718138,1.4750783,1.8306199,1.5060742,1.8937447,1.7956705,1.9757825,1.5339401,1.9851772,1.2418774,1.1950647,1.9986048,1.4238396,2.4860017,1.6786402,1.5912548,1.594402,1.2321217,1.5531422,1.6724534,2.2842433,1.9526256,2.2372723,1.8797351,2.8796227,1.8753775,1.8565573,1.043977,1.4259465,2.0004294,2.4976497,1.703657,1.9914786,1.5437146,1.6777931,1.8410159,1.7943119,1.6991078,1.5528816,1.3594495,1.2013028,1.6643312,1.4152797,1.009712,1.1859058,0.50735873,0.8148298
7_ipiPD1_PRE,1.1644047,1.2346677,1.4856865,1.5690149,1.0993267,1.5560278,1.3534365,1.5190762,1.4616958,1.6093559,1.1760156,1.6364585,0.9607469,0.9866806,1.5897608,1.0839088,2.0132387,1.5377747,1.5189581,1.2353731,0.96272784,1.1386884,1.3794862,1.8971103,1.5927262,1.8104899,1.4605128,2.548836,1.5210123,1.3966192,0.9203977,1.0476459,1.6098939,2.164226,1.3593067,1.7037615,1.2750933,1.2792405,1.4432267,1.2368002,1.3816768,1.2423452,1.1457884,0.9405902,1.3649282,1.2848766,0.8109831,0.98208475,0.3541412,0.7169004
8_ipiPD1_PRE,1.9461735,2.2768705,2.7756078,3.1030183,2.115303,2.728312,2.021597,2.9267445,3.1284325,2.5821385,2.2240846,2.768131,1.8180746,1.8080549,3.023937,1.9354912,3.5166423,2.192382,2.142393,2.2415636,1.6790648,2.1086154,2.2308798,3.3844771,2.746178,3.2299562,3.2045326,4.273326,3.2408385,2.4002452,1.4981922,1.9553444,2.730939,3.6029785,2.4569023,2.689993,2.2222683,2.2653923,2.7678044,2.1715186,2.5331297,1.9362476,1.9757818,1.6853403,2.401242,1.8518931,1.7792205,1.6359897,0.78500146,1.1609839
10_ipiPD1_PRE,1.9108945,2.1803153,2.4674497,3.1615274,2.0670316,2.963944,2.135151,2.6279528,3.1093943,2.54071,2.2138686,2.4670181,1.6307209,1.6038221,2.897595,1.9647273,3.337318,1.9606235,2.0765517,2.3483748,1.560988,2.2472613,2.144662,3.140471,2.6304078,2.9567502,3.1215217,3.9448304,2.6494644,2.9779997,1.5217935,1.7971095,2.4521427,3.0854373,2.38227,2.2957118,2.0032196,2.0832453,2.899083,2.7939682,2.2292337,1.8918042,1.8564718,1.6086884,2.219255,1.7006159,1.8048359,1.7816287,0.865312,1.2914287
12_ipiPD1_PRE,1.7096605,1.7552025,1.9885979,2.0075283,1.5287521,2.2409546,1.9078228,1.6709963,1.5007058,2.0833762,1.6564008,2.0264442,1.4866978,1.4839798,2.1904213,1.6250733,2.4721613,1.9540813,1.9819604,1.8271867,1.2990621,1.6435163,1.946873,2.1158133,1.9677664,2.0032103,1.4393356,2.417285,1.3824717,2.0639377,1.4095155,1.5492018,1.9828761,2.2262435,1.5851218,2.0627515,1.7125951,1.66771,2.1308906,2.039797,1.7747074,1.7217356,1.6117657,1.3234193,1.6712258,1.7185088,0.9877598,1.5190357,0.6318644,0.8785274
13_ipiPD1_PRE,2.3698876,2.6121895,3.0821404,3.2890303,2.3621075,2.884783,2.950748,3.1218386,3.108754,3.075812,2.4617393,3.1190104,2.0065017,2.0442102,3.180761,2.1131408,3.795984,3.5337741,3.4924302,2.4333289,2.0514228,2.1439269,3.0146563,3.5095031,3.1509335,3.5636258,3.121276,4.160733,2.9357436,2.439679,2.1756203,2.4066832,3.0713103,3.810167,2.6771395,3.3205388,2.5935802,2.627796,2.7963226,2.5175333,2.8161016,2.3069303,2.5030155,1.9863505,2.734869,2.9201756,1.8949308,2.1665316,0.9374056,1.531898
14_ipiPD1_PRE,1.8439777,2.2696345,2.7669146,2.9948685,1.8979005,2.6293108,2.1125557,2.9059887,3.0211446,2.5617747,2.206586,2.8670979,1.7253126,1.7656199,2.8469262,2.1069238,3.4337366,2.4165666,2.3170624,2.298622,1.5295165,2.1273012,2.2745166,3.1821003,2.5975735,3.1123047,3.1302233,4.08148,2.9068046,2.7360466,1.5394282,1.9897698,2.902641,3.540044,2.4912665,2.7846875,2.2197108,2.2698016,2.8403928,2.5995991,2.4050848,2.0912411,1.890698,1.8142873,2.4596972,1.8311304,1.6919235,1.7461324,0.82236284,1.3036087
15_ipiPD1_PRE,2.007058,2.3368943,2.8520532,3.3158214,2.263397,2.8295588,2.2082891,3.1063292,3.3916543,2.7443151,2.366838,2.9760017,1.8550562,1.9946831,2.9616854,2.1343129,3.580885,2.639115,2.4677162,2.4271321,1.7442107,2.2327406,2.4443405,3.4706178,2.9409235,3.323997,3.517623,4.3347564,3.2553537,2.7495255,1.6256273,2.1670542,2.9826763,3.7407162,2.6027236,3.0726213,2.3783538,2.407606,2.6923106,2.5281014,2.6647174,2.2714539,2.10812,1.8221285,2.5885854,2.0566416,1.8584839,1.7217962,0.94014937,1.1641201
17_ipiPD1_PRE,1.1718628,1.4712099,1.5028902,1.7306612,1.2270933,1.7638001,1.3734614,1.6517104,1.5752815,1.6552306,1.3958174,1.7398411,0.97095746,1.0179824,1.7249049,1.3779223,2.1307566,1.4874448,1.4163843,1.5071596,1.0677825,1.3146504,1.4260224,1.9868944,1.6665556,1.8498591,1.6111517,2.5941021,1.5466133,2.0310414,0.94903904,1.1392047,1.6398917,2.0699403,1.5305189,1.6462237,1.3277116,1.3762963,1.7161242,1.9363121,1.3373955,1.4741908,1.1698966,1.0111187,1.4511079,1.1537386,0.8648854,1.1011814,0.45722955,0.7300014
19_ipiPD1_PRE,2.049758,2.295349,2.7398722,3.0014815,2.284888,2.8638928,2.413252,2.8996413,2.7858207,2.758224,2.4145846,2.8051183,1.900098,1.8600283,2.9471264,2.1316934,3.4941974,2.6190956,2.5949495,2.3980947,1.8732927,2.3170998,2.4865286,3.2794821,2.8217015,3.105844,2.8081293,3.9346607,2.8557827,2.5554466,1.7392434,2.0823889,2.76348,3.4515247,2.3882208,2.915983,2.435749,2.3657753,2.836152,2.6384408,2.5944169,2.1859686,2.1875715,1.8935112,2.3748274,2.2944918,1.6540711,1.9386528,0.9072972,1.2672358
20_ipiPD1_PRE,1.5045024,1.5626793,1.6198264,2.1925323,1.5624932,1.9243045,1.8559691,1.8547268,1.8644825,1.9221088,1.5320654,1.8470132,1.1867228,1.1589609,2.084952,1.303563,2.3962736,2.2535174,2.237804,1.6513964,1.2505233,1.3706346,1.8728691,2.2455776,2.1760535,2.0077322,1.8222973,2.7530348,1.6689272,1.498498,1.3420415,1.380477,1.7991378,2.2605028,1.4710319,2.0501277,1.6514959,1.4924133,1.9478475,1.3742665,1.7101253,1.279997,1.6069982,1.2191793,1.5838339,2.1343203,1.0444751,1.4210889,0.57790136,0.8448241
21_ipiPD1_PRE,2.0830774,2.1539297,2.3402803,2.6371813,1.8308845,2.5371156,2.3550005,2.308512,2.569548,2.5142493,2.0155869,2.3725529,1.515487,1.5603948,2.5906458,1.7542566,2.918039,2.4022868,2.5034802,2.0482502,1.679057,1.9473332,2.3068984,2.8716114,2.4704394,2.7595365,2.5689504,3.4917054,2.3826807,2.6504328,1.7584015,1.7128891,2.2742035,2.7900865,2.0983102,2.4975379,2.033624,2.0106962,2.4587867,2.4369028,2.0166047,1.948994,2.0163643,1.4280996,2.002903,2.2833068,1.3850317,1.7960409,0.6458998,1.0908175
23_ipiPD1_PRE,1.5688506,1.9213288,2.2605531,2.500533,1.8070612,2.3513236,1.7045778,2.569168,2.505625,2.3035674,2.0358543,2.4856791,1.5221525,1.543602,2.593401,1.7103239,3.2050395,2.0145788,1.8742183,1.898944,1.4853442,1.9365363,2.0026512,3.0246146,2.396499,2.8469238,2.5496368,3.7741902,2.629766,1.9998329,1.2042465,1.7171959,2.4749174,3.3231711,2.1518161,2.5213547,1.9976367,2.1104987,2.1938424,2.1647968,2.188271,1.769376,1.6544999,1.429264,2.0743766,1.5662893,1.4537257,1.415052,0.6493783,1.084331
24_ipiPD1_PRE,2.1973093,2.4408152,2.8952029,3.1222246,2.2250698,2.9269676,2.5991383,2.9982471,2.9686973,2.8920848,2.4915977,3.1220574,2.0451746,1.9793453,3.291846,2.300307,3.645106,2.8757126,2.7605572,2.5081859,1.8300123,2.1949835,2.6565347,3.4123561,2.9295855,3.2857645,3.0051608,3.9779212,2.9760504,2.8586013,1.8730997,2.2497447,3.0874372,3.733448,2.6045947,3.0640607,2.5061603,2.5579093,2.9524133,2.8123684,2.7139668,2.444812,2.2919555,2.0334675,2.6557813,2.2972202,1.7115467,2.1143517,1.007803,1.2703422
25_ipiPD1_PRE,1.8562186,2.0842,2.2708504,2.7341738,1.9800333,2.711909,1.9474869,2.4315956,2.4459891,2.4314604,2.138108,2.4976728,1.548451,1.4902475,2.5735793,1.9483743,3.1056275,1.9957169,2.02053,2.1392114,1.5589645,2.262539,2.084381,2.849762,2.399543,2.6057181,2.4020061,3.401219,2.1691024,2.912657,1.4560359,1.6870769,2.3303177,2.8660655,2.192313,2.3750548,2.0503814,1.8912426,2.7666283,2.7148895,2.0676796,2.054362,1.8455918,1.6110568,2.1129572,1.6503413,1.4802743,1.7470943,0.78263485,1.3188006
26_ipiPD1_PRE,1.6934671,1.8783216,1.9881221,2.5228612,1.7790262,2.154623,1.8460232,2.1769998,2.4091296,2.2517395,1.9438851,2.2254508,1.3836461,1.362646,2.209013,2.0882642,2.6007833,2.0743985,2.0726297,1.9178344,1.3236395,1.857042,1.9197686,2.5400116,2.2552278,2.4351244,2.4296246,3.3334982,2.3123367,2.0472574,1.2822592,1.5059761,2.1443298,2.6923797,1.8744079,2.275921,1.8030988,1.8470672,2.118919,2.0962377,1.8018196,1.5901997,1.6869287,1.2590917,1.7876662,1.854834,1.2742317,1.4355747,0.6598078,0.9059757
27_ipiPD1_PRE,2.250865,2.3465056,2.8690205,3.069272,1.9645734,2.799043,2.6608796,2.9019277,2.9924755,2.8763063,2.199974,2.8346076,1.8163569,1.8434564,2.9560328,2.0119958,3.488356,3.159317,3.016649,2.3285854,1.7927759,1.9920683,2.6697726,3.3086023,2.8384397,3.2124794,3.0379999,4.0252113,2.852213,2.7169182,1.9491391,2.1519954,2.873601,3.5848675,2.4697618,2.849739,2.3475797,2.405583,2.7000177,2.6546814,2.5430245,2.3597105,2.2433226,1.8154004,2.4280267,2.5671608,1.662405,2.0133128,0.85473764,1.1810094
32_ipiPD1_PRE,1.9519671,1.9103104,2.2857368,2.780355,1.8927298,2.3956938,2.3009877,2.4342442,2.7344408,2.4466736,1.9536433,2.3673944,1.5257545,1.5327032,2.6458843,1.6152242,3.044826,2.7518609,2.7214246,1.8874562,1.5536104,1.7718449,2.213821,2.8546667,2.5420914,2.8033617,2.7381957,3.4683325,2.2534294,2.0572443,1.7604793,1.7542446,2.4094203,3.0005085,2.0529883,2.4366558,2.0447185,1.9870552,2.3928692,1.9380313,2.2260618,1.7263832,1.9774866,1.5711294,2.0387142,2.3041592,1.6104401,1.7249944,0.77564925,1.0793622
33_ipiPD1_PRE,2.3227088,2.6337574,2.9409168,3.2539122,2.2108235,2.985828,2.5212696,3.114943,3.2462204,2.9934483,2.422376,3.1030288,2.0320134,2.0516555,3.182797,2.442806,3.7627845,2.8617485,2.7700486,2.4759989,2.0376415,2.2404785,2.7268155,3.6323745,3.033168,3.5050528,3.2577214,4.398018,3.2738438,3.0237856,1.8387674,2.310756,3.085655,3.840855,2.7950487,3.2807708,2.572153,2.571055,2.9437165,3.0053978,2.7743514,2.3511488,2.3305764,1.9018359,2.601536,2.2304466,1.7633098,1.9738891,0.8995513,1.3241912
