sample_id,TNF-alpha Signaling via NF-kB,Hypoxia,Cholesterol Homeostasis,Mitotic Spindle,Wnt-beta Catenin Signaling,TGF-beta Signaling,IL-6/JAK/STAT3 Signaling,DNA Repair,G2-M Checkpoint,Apoptosis,Notch Signaling,Adipogenesis,Estrogen Response Early,Estrogen Response Late,Androgen Response,Myogenesis,Protein Secretion,Interferon Alpha Response,Interferon Gamma Response,Apical Junction,Apical Surface,Hedgehog Signaling,Complement,Unfolded Protein Response,PI3K/AKT/mTOR  Signaling,mTORC1 Signaling,E2F Targets,Myc Targets V1,Myc Targets V2,Epithelial Mesenchymal Transition,Inflammatory Response,Xenobiotic Metabolism,Fatty Acid Metabolism,Oxidative Phosphorylation,Glycolysis,Reactive Oxygen Species Pathway,p53 Pathway,UV Response Up,UV Response Dn,Angiogenesis,heme Metabolism,Coagulation,IL-2/STAT5 Signaling,Bile Acid Metabolism,Pperoxisome,Allograft Rejection,Spermatogenesis,KRAS Signaling Up,KRAS Signaling Dn,Pancreas Beta Cells
1_ipiPD1_PRE,1.4479994,1.7357736,1.9636854,2.3972669,1.7885739,2.2325275,1.501227,2.3333106,2.3076534,2.0633001,1.9513028,2.2207313,1.3921936,1.398392,2.1526308,1.6340942,2.7350106,1.82285,1.6932393,1.7620044,1.3878039,1.7878333,1.7311715,2.5943072,2.166351,2.5152776,2.446668,3.4331832,2.6056318,2.0873232,1.0660315,1.5622822,2.2123492,2.7900422,1.9795365,2.2552662,1.6468924,1.8684596,2.086847,2.2282557,1.8536389,1.5792868,1.4765806,1.2672715,1.8476622,1.3123237,1.1049728,1.2186035,0.5782265,0.85693675
2_ipiPD1_PRE,1.9144847,2.0984066,2.3323433,2.720318,2.130056,2.701215,2.0781684,2.5565405,2.4534009,2.5694072,2.3053155,2.419288,1.5746328,1.5945619,2.512781,2.0104353,2.951156,2.33861,2.225777,2.123325,1.6796651,2.1556478,2.1028914,2.8032112,2.384475,2.706923,2.6005683,3.5033422,2.5043302,2.9359376,1.5323569,1.7111547,2.248685,2.6932917,2.243045,2.33085,2.0833979,2.092294,2.577524,2.878251,1.9568166,1.9699194,1.872156,1.5843278,2.1868842,1.7735522,1.2994053,1.7535352,0.7796956,1.0334195
6_ipiPD1_PRE,1.2659526,1.5315523,1.8323779,1.931777,1.4750783,1.8306199,1.4576888,1.8522758,1.6906047,1.9497854,1.5339401,1.8838927,1.1898617,1.1627656,1.9126433,1.3515635,2.4336648,1.6726019,1.5815301,1.5113602,1.1761161,1.5099994,1.625209,2.1574736,1.8951955,2.1848485,1.8307837,2.7926552,1.8753775,1.8275485,1.0170704,1.3865557,1.9199115,2.320221,1.665522,1.9009567,1.4993505,1.6191291,1.7626748,1.7943119,1.62317,1.4565789,1.3231006,1.1900756,1.6643312,1.368344,0.83751297,1.1294341,0.46724743,0.71036446
7_ipiPD1_PRE,1.1400194,1.1724691,1.4413377,1.5371568,1.0993267,1.5560278,1.3074435,1.4858118,1.376171,1.5881802,1.1760156,1.5529658,0.9205062,0.96001357,1.521384,1.0288881,1.9708546,1.5458618,1.5144027,1.1710309,0.9189675,1.1070582,1.3405178,1.7939228,1.5458814,1.7785728,1.4224786,2.471827,1.5210123,1.374797,0.8966761,1.0187054,1.5487895,2.0104833,1.3316643,1.6263179,1.2379689,1.2345119,1.3818128,1.2368002,1.3199259,1.1653006,1.1151524,0.93179965,1.3649282,1.2490289,0.6726759,0.9353188,0.32582566,0.6249901
8_ipiPD1_PRE,1.905416,2.1517417,2.6927538,3.0400128,2.115303,2.728312,1.9600103,2.8626552,2.945386,2.548163,2.2240846,2.6269,1.7419249,1.7591887,2.8938754,1.837243,3.4426076,2.169239,2.1201026,2.1248155,1.6027436,2.0500426,2.1678607,3.18417,2.665408,3.1417563,3.1210814,4.1366706,3.2408385,2.3627415,1.459579,1.9013294,2.6158981,3.3470292,2.3969536,2.5677204,2.152949,2.1861827,2.6500256,2.1715186,2.419917,1.8161702,1.9229534,1.6695895,2.401242,1.7853266,1.4757875,1.5580854,0.72449034,1.0121398
10_ipiPD1_PRE,1.8708758,2.0548635,2.3937945,3.0973341,2.0670316,2.963944,2.056079,2.5704064,2.9274616,2.5072796,2.2138686,2.34115,1.5624183,1.5604756,2.7729673,1.8649949,3.2670586,1.9310442,2.0466576,2.2260635,1.490034,2.1848373,2.084078,2.9577038,2.553043,2.8738365,3.040232,3.8206854,2.6494644,2.9314682,1.482572,1.7474655,2.3424132,2.8662534,2.3181643,2.1913612,1.9378508,2.0104046,2.7757177,2.7939682,2.1296031,1.774483,1.8068335,1.5936539,2.219255,1.6400485,1.4970344,1.6967893,0.7828577,1.1258609
12_ipiPD1_PRE,1.6738561,1.6546001,1.9292368,1.9667664,1.5287521,2.2409546,1.8467867,1.6344053,1.4128987,2.0559633,1.6564008,1.9230543,1.4244277,1.4438722,2.0962098,1.5425823,2.4201157,1.9518011,1.968315,1.7320207,1.240014,1.5978631,1.8918766,1.9932386,1.9098909,1.9669923,1.401853,2.3432317,1.3824717,2.0316885,1.3731878,1.5064062,1.8949221,2.068095,1.544737,1.9689902,1.667379,1.6093984,2.0402143,2.039797,1.6953909,1.6149613,1.5686704,1.311051,1.6712258,1.659953,0.81930465,1.4467007,0.5772844,0.7658957
13_ipiPD1_PRE,2.3202565,2.4663777,2.9901361,3.2222478,2.3621075,2.884783,2.868177,3.053477,2.9268587,3.035341,2.4617393,2.9598773,1.9224598,1.9889612,3.0439541,2.0058746,3.7160687,3.5140061,3.4635134,2.3065932,1.9581764,2.0843732,2.9294965,3.3055134,3.058259,3.4931493,3.0399926,4.031678,2.9357436,2.401559,2.1195478,2.3402002,2.93898,3.5394995,2.610328,3.1696053,2.5285892,2.535915,2.67733,2.5175333,2.6902423,2.1638649,2.43609,1.9677866,2.734869,2.8206925,1.5717643,2.0633633,0.8560817,1.3355008
14_ipiPD1_PRE,1.8053603,2.1430826,2.6843202,2.9340591,1.8979005,2.6293108,2.0513833,2.842354,2.8443756,2.528067,2.206586,2.7208173,1.6530482,1.7179005,2.7244778,1.9999733,3.3614473,2.38545,2.2913823,2.178902,1.459993,2.0682096,2.2102647,2.9980068,2.5211744,3.030493,3.048707,3.9531076,2.9068046,2.6932957,1.4997523,1.9348038,2.7763433,3.2885656,2.428471,2.6581106,2.1496696,2.190438,2.719525,2.5995991,2.297595,1.9615518,1.8401445,1.7973313,2.4596972,1.7664434,1.4033784,1.6629833,0.74342924,1.1364793
15_ipiPD1_PRE,1.9650253,2.207382,2.7669172,3.248495,2.263397,2.8295588,2.149263,3.0383074,3.1932065,2.7082057,2.366838,2.8241649,1.7773575,1.9407728,2.834301,2.0259721,3.505498,2.6256356,2.4517245,2.300719,1.6649284,2.17072,2.3752913,3.2688208,2.8544257,3.2447162,3.426018,4.198625,3.2553537,2.7065642,1.5837297,2.1071908,2.8541994,3.4749823,2.5377743,2.9329567,2.3034635,2.3234239,2.577744,2.5281014,2.545624,2.1305885,2.051753,1.8050994,2.5885854,1.9889897,1.5415331,1.6398059,0.8600889,1.0148739
