pathway,cohorts,direction_concordant_cohorts,meta_hedges_g,meta_se,ci_low,ci_high,p_value,tau_squared,i_squared,q_value
Interferon Alpha Response,4,4,0.5514302679025277,0.15097666240887644,0.25551600958112985,0.8473445262239255,0.0002597799599665836,0.0,0.0,0.012988997998329182
Interferon Gamma Response,4,4,0.5205332554271344,0.15060231199985655,0.2253527239074155,0.8157137869468531,0.0005475579627130313,0.0,0.0,0.013688949067825782
Allograft Rejection,4,4,0.4723475559299729,0.15040898726388174,0.1775459408927647,0.7671491709671812,0.001687051489109462,0.0,0.0,0.028117524818491033
IL-6/JAK/STAT3 Signaling,4,4,0.388236908969235,0.14959972859810258,0.09502144091695397,0.6814523770215161,0.009454381013112745,0.0,0.0,0.11817976266390931
Inflammatory Response,4,3,0.30413182838976943,0.14915597361889646,0.011786120096732355,0.5964775366828066,0.04144815526422049,0.0,0.0,0.38625279560681935
G2-M Checkpoint,4,4,0.28877670229385605,0.14857947476592573,-0.0024390682473584002,0.5799924728350705,0.0519456267255019,0.0,0.0,0.38625279560681935
E2F Targets,4,4,0.2826369197800109,0.14858953997069574,-0.00859857856255275,0.5738724181225745,0.05715389909922553,0.0,0.0,0.38625279560681935
Complement,4,3,0.27828163929576455,0.14899499492015872,-0.013748550747746557,0.5703118293392757,0.061800447297091096,0.0,0.0,0.38625279560681935
Myc Targets V2,4,3,0.25347452109034485,0.14869559458559786,-0.037968844297426974,0.5449178864781167,0.08825899760925449,0.0,0.0,0.4051185163235483
IL-2/STAT5 Signaling,4,3,0.25226800862989474,0.14881491538607117,-0.03940922552680476,0.5439452427865943,0.09004135572840831,0.0,0.0,0.4051185163235483
Mitotic Spindle,4,4,0.2180762264704539,0.1483274764268805,-0.07264562732623184,0.5087980802671397,0.14149815651549316,0.0,0.0,0.4051185163235483
PI3K/AKT/mTOR  Signaling,4,4,0.21347093178047558,0.14849307635643635,-0.0775754978781397,0.5045173614390909,0.15055277130332043,0.0,0.0,0.4051185163235483
Myc Targets V1,4,3,0.20931004391759186,0.14845714301821272,-0.08166595639810506,0.5002860442332888,0.15856858015553843,0.0,0.0,0.4051185163235483
