pathway,cohort,responders,nonresponders,mean_responder,mean_nonresponder,hedges_g,variance,auc_responder_higher,p_value,q_value_within_cohort
TNF-alpha Signaling via NF-kB,Gide,40,33,2.2656924675,2.060613724848485,0.47219934730199953,0.05687325722973759,0.6348484848484849,0.04914051276442274,0.3510036626030196
TNF-alpha Signaling via NF-kB,Riaz,10,41,3.22819292,3.1477922195121955,0.20172672019448623,0.12480548542938213,0.5609756097560976,0.5610718462031347,0.9905355168228513
TNF-alpha Signaling via NF-kB,Hugo,14,12,1.771115902142857,1.5632825825,0.2686756063444672,0.15626579187533324,0.625,0.29169697358948865,0.3968973029077809
TNF-alpha Signaling via NF-kB,Rose,16,73,3.6909782125,3.7442413863013693,-0.16469846848738007,0.07635452430665347,0.4366438356164384,0.43227802593871645,0.8239046568895341
Hypoxia,Gide,40,33,2.44684,2.319458821212121,0.30453904577884583,0.05595615727770559,0.5924242424242424,0.1780836508447854,0.6360130387313764
Hypoxia,Riaz,10,41,3.2347607599999995,3.250063721951219,-0.05674390940646594,0.12442309973156891,0.4634146341463415,0.730842364952317,0.9905355168228513
Hypoxia,Hugo,14,12,1.8362114642857144,1.6626637491666667,0.23853710699821373,0.15594732041638554,0.5952380952380952,0.42531515781619333,0.4430366227252014
Hypoxia,Rose,16,73,3.47798910625,3.5629455520547944,-0.49859623832317235,0.07762735547531974,0.3381849315068493,0.0440096137083265,0.44009613708326495
Cholesterol Homeostasis,Gide,40,33,2.7818031375,2.6697423636363635,0.22263394729954,0.05565208575718646,0.5742424242424242,0.27984468772794313,0.7278036133956902
Cholesterol Homeostasis,Riaz,10,41,3.4847111299999995,3.483890246341464,0.0031826176897964244,0.12439034726014678,0.47073170731707314,0.784982574107945,0.9905355168228513
Cholesterol Homeostasis,Hugo,14,12,2.116202378571429,1.8380195,0.3750229976728435,0.15769195161156155,0.6428571428571429,0.22677444192278584,0.3968973029077809
Cholesterol Homeostasis,Rose,16,73,3.8396712875,3.845800130136986,-0.03216609742677377,0.07620457644631773,0.5102739726027398,0.9022100580229695,0.9957375828846027
Mitotic Spindle,Gide,40,33,3.0647074575,2.9723443,0.18056622706741457,0.05553263708019482,0.5386363636363637,0.5756630965925584,0.7278036133956902
Mitotic Spindle,Riaz,10,41,3.29964973,3.2720519073170737,0.08529099343100136,0.12446447404081093,0.5170731707317073,0.8774447617214115,0.9905355168228513
Mitotic Spindle,Hugo,14,12,1.7158499357142858,1.4588441366666665,0.3081202740571883,0.1567397819136772,0.625,0.29169697358948865,0.3968973029077809
Mitotic Spindle,Rose,16,73,4.08744765,4.037413815068493,0.3076987222077737,0.07674275946829835,0.5727739726027398,0.36661758959067625,0.8239046568895341
Wnt-beta Catenin Signaling,Gide,40,33,2.1537444275,2.1001834121212117,0.14105758822593117,0.05544315173398887,0.5333333333333333,0.6297034278550478,0.7278036133956902
Wnt-beta Catenin Signaling,Riaz,10,41,2.6669919,2.658459902439024,0.030833805275396226,0.12439994516313047,0.5121951219512195,0.9149791919593813,0.9905355168228513
Wnt-beta Catenin Signaling,Hugo,14,12,1.4063502857142856,1.2547725933333334,0.21387017140961692,0.15571483080812934,0.6190476190476191,0.31587447983048955,0.3968973029077809
Wnt-beta Catenin Signaling,Rose,16,73,3.1531187375,3.247109778082192,-0.5727437848810623,0.07808389130434196,0.3339041095890411,0.03869450431410301,0.44009613708326495
TGF-beta Signaling,Gide,40,33,2.8920973275,2.7916047454545456,0.20972079144968828,0.05561276840420132,0.5583333333333333,0.3964886653273213,0.7278036133956902
TGF-beta Signaling,Riaz,10,41,3.45886512,3.4639300048780486,-0.015736684698413127,0.12439277087432982,0.47073170731707314,0.784982574107945,0.9905355168228513
TGF-beta Signaling,Hugo,14,12,1.9582844857142856,1.7744656341666667,0.21405871631017814,0.15571651172082895,0.6309523809523809,0.2687954862687779,0.3968973029077809
TGF-beta Signaling,Rose,16,73,4.08649464375,4.178009443835617,-0.46677923740139726,0.07745083046152096,0.3938356164383562,0.18699641717962678,0.5843638036863337
IL-6/JAK/STAT3 Signaling,Gide,40,33,2.5745426350000002,2.271233674242424,0.6081841008903431,0.057907874673282386,0.6848484848484848,0.006956911661673045,0.08696139577091307
IL-6/JAK/STAT3 Signaling,Riaz,10,41,3.2485469,3.0344967097560973,0.4527837515656569,0.1264822145726622,0.624390243902439,0.23088310077695462,0.9905355168228513
