cohort	evaluation_sample_id	archive_accession	present_in_archs4_pretraining_metadata
Riaz	Pt1_Pre_AD101148	GSM2420259	False
Riaz	Pt2_Pre_AD101150	GSM2420261	False
Riaz	Pt3_Pre_E9024733	GSM2420324	False
Riaz	Pt4_Pre_E9021023	GSM2420326	False
Riaz	Pt5_Pre_E9021022	GSM2420329	False
Riaz	Pt8_Pre_AD153354	GSM2420360	False
Riaz	Pt9_Pre_E9021024	GSM2420331	False
Riaz	Pt10_Pre_E9047565	GSM2420333	False
Riaz	Pt11_Pre_AD153352	GSM2420362	False
Riaz	Pt17_Pre_E9047563	GSM2420336	False
Riaz	Pt18_Pre_E9024732	GSM2420337	False
Riaz	Pt23_Pre_AD313075	GSM2420264	False
Riaz	Pt24_Pre_AD436687	GSM2420352	False
Riaz	Pt26_Pre_AD467789	GSM2420366	False
Riaz	Pt27_Pre_AD453873	GSM2420354	False
Riaz	Pt28_Pre_AD297619	GSM2420368	False
Riaz	Pt29_Pre_AD497504	GSM2420355	False
Riaz	Pt30_Pre_AD497503	GSM2420357	False
Riaz	Pt31_Pre_AD453872	GSM2420359	False
Riaz	Pt34_Pre_AD466985	GSM2420375	False
Riaz	Pt36_Pre_AD467095	GSM2420344	False
Riaz	Pt37_Pre_AD502452	GSM2420346	False
Riaz	Pt38_Pre_E9200719	GSM2420341	False
Riaz	Pt39_Pre_AD485899	GSM2420265	False
Riaz	Pt44_Pre_AD467790	GSM2420370	False
Riaz	Pt46_Pre_AD467096	GSM2420350	False
Riaz	Pt47_Pre_AD506073	GSM2420282	False
Riaz	Pt48_Pre_E9047561	GSM2420343	False
Riaz	Pt49_Pre_AD667851	GSM2420270	False
Riaz	Pt52_Pre_AD506075	GSM2420285	False
Riaz	Pt59_Pre_AD823915	GSM2420267	False
Riaz	Pt62_Pre_AD608303	GSM2420302	False
Riaz	Pt65_Pre_AD793919	GSM2420303	False
Riaz	Pt66_Pre_AD667850	GSM2420272	False
Riaz	Pt67_Pre_AD506074	GSM2420286	False
Riaz	Pt72_Pre_AD793922	GSM2420307	False
Riaz	Pt76_Pre_AD667852	GSM2420273	False
Riaz	Pt77_Pre_AD733591	GSM2420292	False
Riaz	Pt78_Pre_AD467018	GSM2420310	False
Riaz	Pt79_Pre_AD733587	GSM2420295	False
Riaz	Pt82_Pre_AD823914	GSM2420268	False
Riaz	Pt84_Pre_AD486532	GSM2420296	False
Riaz	Pt85_Pre_AD486329	GSM2420275	False
Riaz	Pt89_Pre_AE070951	GSM2420277	False
Riaz	Pt90_Pre_AD467873	GSM2420312	False
Riaz	Pt92_Pre_AE134060	GSM2420313	False
Riaz	Pt94_Pre_AD732850	GSM2420289	False
Riaz	Pt98_Pre_AD733586	GSM2420299	False
Riaz	Pt101_Pre_AD486328	GSM2420280	False
Riaz	Pt103_Pre_AE134058	GSM2420318	False
Riaz	Pt106_Pre_AD502250	GSM2420372	False
Hugo	Pt1-baseline	GSM2069823	True
Hugo	Pt2-baseline	GSM2069824	True
Hugo	Pt4-baseline	GSM2069825	True
Hugo	Pt5-baseline	GSM2069826	True
Hugo	Pt6-baseline	GSM2069827	True
Hugo	Pt7-baseline	GSM2069828	True
Hugo	Pt8-baseline	GSM2069829	True
Hugo	Pt9-baseline	GSM2069830	True
Hugo	Pt10-baseline	GSM2069831	True
Hugo	Pt12-baseline	GSM2069832	True
Hugo	Pt13-baseline	GSM2069833	True
Hugo	Pt14-baseline	GSM2069834	True
Hugo	Pt15-baseline	GSM2069835	True
Hugo	Pt19-baseline	GSM2069837	True
Hugo	Pt20-baseline	GSM2069838	True
Hugo	Pt22-baseline	GSM2069839	False
Hugo	Pt23-baseline	GSM2069840	True
Hugo	Pt25-baseline	GSM2069841	True
Hugo	Pt27-baseline	GSM2069842	True
Hugo	Pt27-baseline	GSM2069843	True
Hugo	Pt28-baseline	GSM2069844	True
Hugo	Pt29-baseline	GSM2069845	True
