sample_id,TNF-alpha Signaling via NF-kB,Hypoxia,Cholesterol Homeostasis,Mitotic Spindle,Wnt-beta Catenin Signaling,TGF-beta Signaling,IL-6/JAK/STAT3 Signaling,DNA Repair,G2-M Checkpoint,Apoptosis,Notch Signaling,Adipogenesis,Estrogen Response Early,Estrogen Response Late,Androgen Response,Myogenesis,Protein Secretion,Interferon Alpha Response,Interferon Gamma Response,Apical Junction,Apical Surface,Hedgehog Signaling,Complement,Unfolded Protein Response,PI3K/AKT/mTOR  Signaling,mTORC1 Signaling,E2F Targets,Myc Targets V1,Myc Targets V2,Epithelial Mesenchymal Transition,Inflammatory Response,Xenobiotic Metabolism,Fatty Acid Metabolism,Oxidative Phosphorylation,Glycolysis,Reactive Oxygen Species Pathway,p53 Pathway,UV Response Up,UV Response Dn,Angiogenesis,heme Metabolism,Coagulation,IL-2/STAT5 Signaling,Bile Acid Metabolism,Pperoxisome,Allograft Rejection,Spermatogenesis,KRAS Signaling Up,KRAS Signaling Dn,Pancreas Beta Cells
1_ipiPD1_PRE,1.4820101,1.8114638,1.9950521,2.4442706,1.7885739,2.2325275,1.501343,2.3760228,2.4429593,2.0904126,1.9513028,2.2904835,1.4207913,1.42698,2.2393243,1.667157,2.7660966,1.8771517,1.7248591,1.8169413,1.4074572,1.9067569,1.7442834,2.766964,2.2228491,2.5878878,2.517265,3.5752685,2.6056318,2.1212587,1.0836253,1.6145867,2.316081,3.0584848,2.0192702,2.3649962,1.7369817,1.9415319,2.1600406,2.2282557,1.8871332,1.6084497,1.5201136,1.2673999,1.8476622,1.3935941,1.1266913,1.2946203,0.6243273,0.8642226
2_ipiPD1_PRE,1.9710947,2.196434,2.4133832,2.773746,2.130056,2.701215,2.079261,2.6033015,2.6032097,2.6020193,2.3053155,2.5070877,1.6232206,1.6325674,2.62056,2.0518892,2.9921918,2.416542,2.2709413,2.1906598,1.7185391,2.2303002,2.1226075,2.9969614,2.453742,2.7818313,2.6697009,3.639246,2.5043302,2.9933922,1.560433,1.7658533,2.3268027,2.9444013,2.279815,2.4569151,2.181279,2.177108,2.672493,2.878251,1.9992456,1.9930822,1.9207649,1.5846472,2.1868842,1.8663658,1.3236853,1.8495173,0.8483793,1.0575706
6_ipiPD1_PRE,1.3000249,1.6003207,1.883334,1.9738039,1.4750783,1.8306199,1.4582686,1.889742,1.7954293,1.9787867,1.5339401,1.9457673,1.229044,1.1960545,1.9935825,1.3812598,2.459734,1.7295802,1.6193445,1.5581589,1.1985064,1.6315272,1.6433831,2.3066568,1.9432526,2.2520697,1.8862038,2.9082115,1.8753775,1.85652,1.0379236,1.4249706,1.9723827,2.5476377,1.6997812,1.9931087,1.5807065,1.6763474,1.819911,1.7943119,1.6558532,1.4821118,1.3576093,1.1900871,1.6643312,1.4430009,0.85355115,1.1940422,0.50841826,0.7126251
7_ipiPD1_PRE,1.1714329,1.2158326,1.4808667,1.5700524,1.0993267,1.5560278,1.3074033,1.5178314,1.4689443,1.6133845,1.1760156,1.6051911,0.9484873,0.9843656,1.5932505,1.0486902,1.9919484,1.5939182,1.5527256,1.2051563,0.9418266,1.2038465,1.357591,1.9080209,1.5818504,1.832592,1.4713882,2.5809448,1.5210123,1.3905238,0.9164288,1.0529575,1.5955833,2.2281663,1.3583636,1.693967,1.3084655,1.2832303,1.4220666,1.2368002,1.3486614,1.1816875,1.1426631,0.93182033,1.3649282,1.3173573,0.68188107,0.9861309,0.3591388,0.6265489
8_ipiPD1_PRE,1.9521272,2.2471561,2.7702959,3.0953894,2.115303,2.728312,1.9614508,2.9277782,3.108035,2.5820215,2.2240846,2.7142494,1.7909319,1.7934372,3.0068624,1.8865603,3.4817522,2.2361758,2.1661456,2.1914556,1.6481373,2.166362,2.192271,3.399582,2.7348976,3.2477055,3.2022984,4.2936935,3.2408385,2.4100235,1.4868094,1.9630388,2.6898692,3.658035,2.4493096,2.7012432,2.2681322,2.2632527,2.743831,2.1715186,2.4667702,1.8339446,1.9776199,1.6696979,2.401242,1.889864,1.5066191,1.6442918,0.7864657,1.0223687
10_ipiPD1_PRE,1.9202868,2.1432438,2.4399698,3.1484275,2.0670316,2.963944,2.0567472,2.6215014,3.097508,2.5346684,2.2138686,2.4168649,1.5895392,1.5846002,2.8980513,1.9019221,3.306697,1.9976916,2.0841482,2.2940564,1.521123,2.2317123,2.1044064,3.1707723,2.6199474,2.9539247,3.117055,3.965088,2.6494644,2.9878647,1.5055262,1.8086963,2.4178433,3.1298082,2.3620858,2.3202674,2.0312123,2.0973732,2.8982797,2.7939682,2.167271,1.7866513,1.8700018,1.594108,2.219255,1.7359098,1.5217258,1.7925854,0.8562595,1.1461434
12_ipiPD1_PRE,1.7292796,1.7313412,1.9790269,2.0036376,1.5287521,2.2409546,1.8475618,1.6678221,1.5081341,2.09279,1.6564008,2.006719,1.466136,1.4749824,2.2181857,1.5802513,2.4523525,2.0247178,2.022494,1.798788,1.277484,1.6642693,1.9164733,2.1260512,1.9625193,2.0226824,1.4455339,2.4413605,1.3824717,2.0701,1.4036953,1.5461704,1.9853224,2.2548265,1.5723177,2.0449846,1.7454734,1.6641712,2.128645,2.039797,1.7447814,1.6417885,1.6107197,1.3112084,1.6712258,1.7412013,0.83817446,1.5270168,0.64469427,0.7708474
13_ipiPD1_PRE,2.3836973,2.5463989,3.050654,3.2798502,2.3621075,2.884783,2.8691962,3.131146,3.1010196,3.0825243,2.4617393,3.0680113,1.9770268,2.0245407,3.1831508,2.0441992,3.7690291,3.5889482,3.5380325,2.3999562,2.0245855,2.217186,2.9799483,3.5348456,3.1316595,3.5916622,3.1256049,4.18707,2.9357436,2.4372036,2.1742074,2.4018707,3.0479064,3.845766,2.658175,3.3262107,2.6405823,2.6244235,2.7659824,2.5175333,2.7551224,2.1992493,2.4944124,1.9678779,2.734869,2.9593203,1.6087049,2.15515,0.9351134,1.3520117
14_ipiPD1_PRE,1.8480633,2.2348962,2.7271142,2.985207,1.8979005,2.6293108,2.0518959,2.8992653,3.006609,2.5644312,2.206586,2.821497,1.689161,1.7496175,2.8471253,2.043778,3.4043748,2.454412,2.3358533,2.2511318,1.5021572,2.185397,2.2297971,3.2049673,2.5897977,3.1167648,3.1293952,4.1109886,2.9068046,2.7387464,1.5230846,1.9985273,2.8926263,3.589625,2.4704192,2.7891476,2.2570198,2.2733579,2.8182063,2.5995991,2.3446772,1.9846715,1.8983831,1.7973958,2.4596972,1.8630356,1.4263757,1.7638426,0.8108939,1.1625836
15_ipiPD1_PRE,2.0118594,2.3093505,2.8473742,3.3080256,2.263397,2.8295588,2.1500745,3.1147215,3.3821607,2.7447498,2.366838,2.9226594,1.8268687,1.9877831,2.9559407,2.077773,3.5544295,2.6900647,2.497629,2.3723235,1.724686,2.297456,2.4010777,3.5034084,2.9247909,3.3393023,3.5274584,4.3574505,3.2553537,2.753195,1.6117151,2.1651073,2.935385,3.7797132,2.5840604,3.0842352,2.4058235,2.412861,2.6662304,2.5281014,2.5917828,2.1536942,2.1112032,1.805194,2.5885854,2.089553,1.5649588,1.7462873,0.9202337,1.0205517
