cohort,method,n,responders,auroc,auprc,balanced_accuracy,brier,prevalence,auroc_ci_low,auroc_ci_high,auprc_ci_low,auprc_ci_high,bootstrap_valid
Gide,hallmark_common,73,40,0.7098484848484848,0.7505862548482333,0.6609848484848485,0.2202217388825564,0.547945205479452,0.5901508620689655,0.8168526558232442,0.6063881678558491,0.8799788803760339,1000
Gide,raw_common_topvar,73,40,0.7007575757575758,0.7570311022751817,0.6806818181818182,0.25483666862188753,0.547945205479452,0.5708779156987998,0.8138187100143621,0.6124449335720971,0.8757028194903962,1000
Gide,txn_context_mean,73,40,0.6000000000000001,0.6532723271395627,0.5299242424242424,0.3549038012410517,0.547945205479452,0.4641062249617061,0.7337934491978609,0.5059502650793697,0.8058116569878208,1000
Hugo,hallmark_common,26,14,0.6011904761904763,0.6641825326008209,0.6190476190476191,0.25435404187698485,0.5384615384615384,0.36362283549783553,0.8333333333333334,0.4357161840684568,0.8973126534899386,1000
Hugo,raw_common_topvar,26,14,0.5654761904761905,0.6424368288838848,0.5,0.35408990696184967,0.5384615384615384,0.32106872294372296,0.7916666666666667,0.404023146991897,0.8718299113257968,1000
Hugo,txn_context_mean,26,14,0.6190476190476191,0.6388464081284688,0.5,0.3684853653133958,0.5384615384615384,0.3790849673202614,0.8462406015037593,0.4072545794633643,0.8729757961336908,1000
Riaz,hallmark_common,51,10,0.4317073170731708,0.20128615758049784,0.45487804878048776,0.29339668367757227,0.19607843137254902,0.24349991224991224,0.6414982578397213,0.10150585563172639,0.4190425988003246,1000
Riaz,raw_common_topvar,51,10,0.4073170731707317,0.18363189602081967,0.3926829268292683,0.37773466097903247,0.19607843137254902,0.20892972499077153,0.6076740640952921,0.09446011843743801,0.38282464883084966,1000
Riaz,txn_context_mean,51,10,0.4317073170731707,0.1814940305993639,0.44268292682926824,0.40565407518681346,0.19607843137254902,0.25,0.633131984294775,0.09408906846155664,0.34239813147381026,1000
Rose,hallmark_common,89,16,0.7123287671232876,0.3064742710214762,0.6053082191780822,0.18902657390446453,0.1797752808988764,0.589609243697479,0.8200312989045384,0.17141471426758972,0.5383848816333597,1000
Rose,raw_common_topvar,89,16,0.7388698630136987,0.38562994428877273,0.598458904109589,0.18597167602500683,0.1797752808988764,0.6081996606996607,0.8549457671957672,0.21833855770830968,0.6690447032881237,1000
Rose,txn_context_mean,89,16,0.422945205479452,0.16208105335015482,0.4088184931506849,0.36939793018118683,0.1797752808988764,0.28470985060690945,0.5514541232904675,0.09670806601314846,0.2925908039559816,1000
