method,scope,cohort,n,responders,auroc,auprc,brier,log_loss
BRIDGE__atlas,cohort,Gide,73,40,0.7280303030303031,0.7657732596867707,0.33521054209566936,0.899448312729671
BRIDGE__atlas,cohort,Hugo,26,14,0.4821428571428571,0.5275970477377127,0.3769402687864588,1.035850960597913
BRIDGE__atlas,cohort,Riaz,51,10,0.6634146341463414,0.42187465269508606,0.28877730937233964,0.7774857334687848
BRIDGE__atlas,cohort,Rose,89,16,0.6601027397260274,0.3255291281303874,0.21474098146472753,0.6217016842380515
BRIDGE__completed,cohort,Gide,73,40,0.6916666666666667,0.7277951990063453,0.2786901426738146,0.7588184676271459
BRIDGE__completed,cohort,Hugo,26,14,0.5357142857142857,0.6239167578453292,0.30294551425284727,0.8305547774085059
BRIDGE__completed,cohort,Riaz,51,10,0.6975609756097562,0.40208182093163947,0.25311454684503115,0.7000815685995916
BRIDGE__completed,cohort,Rose,89,16,0.675513698630137,0.2872931859587134,0.14610114089147494,0.4585081826933826
BulkFormer_127M__atlas,cohort,Gide,73,40,0.7303030303030303,0.7654033101205461,0.3320155990934309,0.8921586411266922
BulkFormer_127M__atlas,cohort,Hugo,26,14,0.4880952380952381,0.5390385031077395,0.3727527668602143,1.0212112732270762
BulkFormer_127M__atlas,cohort,Riaz,51,10,0.6560975609756098,0.3950807963965858,0.26446809808940835,0.7232900594844349
BulkFormer_127M__atlas,cohort,Rose,89,16,0.6917808219178082,0.3327446380255616,0.21366870531435658,0.6197420837784203
BulkFormer_127M__completed,cohort,Gide,73,40,0.6916666666666668,0.7308615874364289,0.2811472967289881,0.7648111607474739
BulkFormer_127M__completed,cohort,Hugo,26,14,0.5476190476190477,0.6339791161219732,0.2929146713993301,0.8035644838631703
BulkFormer_127M__completed,cohort,Riaz,51,10,0.6902439024390244,0.4000157017822177,0.25396294909707207,0.7020423144910025
BulkFormer_127M__completed,cohort,Rose,89,16,0.6678082191780822,0.2849743814929206,0.1448165506488017,0.4548662329948536
BulkFormer_147M__atlas,cohort,Gide,73,40,0.7287878787878788,0.7629310951392931,0.33193326654621313,0.8920132868169637
BulkFormer_147M__atlas,cohort,Hugo,26,14,0.47619047619047616,0.534181705316159,0.37448515042338243,1.0282641223358067
BulkFormer_147M__atlas,cohort,Riaz,51,10,0.6560975609756098,0.3950807963965858,0.2639297196777242,0.7221280443536945
BulkFormer_147M__atlas,cohort,Rose,89,16,0.6909246575342465,0.3308509519616857,0.21590858615787747,0.6243863372451873
BulkFormer_147M__completed,cohort,Gide,73,40,0.6909090909090909,0.7325474251737903,0.28466601101263544,0.773586342891516
BulkFormer_147M__completed,cohort,Hugo,26,14,0.5357142857142857,0.6277781742067456,0.29427748253598796,0.807204262999378
BulkFormer_147M__completed,cohort,Riaz,51,10,0.6878048780487804,0.39817746648810004,0.25410780668821975,0.7023578602876219
BulkFormer_147M__completed,cohort,Rose,89,16,0.6652397260273972,0.27769171328926606,0.14561848041445333,0.4567542383041393
BulkFormer_37M__atlas,cohort,Gide,73,40,0.7234848484848485,0.7557485720206417,0.33400287773543846,0.8974975214107919
BulkFormer_37M__atlas,cohort,Hugo,26,14,0.5,0.545532009601246,0.3754093895400232,1.03129912437872
BulkFormer_37M__atlas,cohort,Riaz,51,10,0.6560975609756098,0.3950807963965858,0.26628787843774,0.7272631954946384
BulkFormer_37M__atlas,cohort,Rose,89,16,0.6883561643835616,0.31522283274501145,0.20382760686563153,0.5989469171753108
BulkFormer_37M__completed,cohort,Gide,73,40,0.6871212121212121,0.7258039187137019,0.28376977061488196,0.7711018442806579
BulkFormer_37M__completed,cohort,Hugo,26,14,0.5357142857142857,0.6293768679107025,0.29899579895988954,0.8184247280884064
BulkFormer_37M__completed,cohort,Riaz,51,10,0.6926829268292684,0.4010009234570945,0.2497550230672746,0.6927333338409707
BulkFormer_37M__completed,cohort,Rose,89,16,0.6763698630136986,0.28877961649494466,0.1456468654577815,0.4566167987976227
BulkFormer_50M__atlas,cohort,Gide,73,40,0.7265151515151516,0.7666569533850783,0.3342873819144767,0.8986089325139088
BulkFormer_50M__atlas,cohort,Hugo,26,14,0.4821428571428571,0.5698959910304447,0.37749491157225273,1.0402649315892634
BulkFormer_50M__atlas,cohort,Riaz,51,10,0.6585365853658538,0.41117928124507075,0.2727346975794457,0.7416235183484331
BulkFormer_50M__atlas,cohort,Rose,89,16,0.6738013698630138,0.32414680364826426,0.22571769122686447,0.6447599280594097
BulkFormer_50M__completed,cohort,Gide,73,40,0.6886363636363636,0.7288627811475643,0.2779913137019987,0.757195340248116
BulkFormer_50M__completed,cohort,Hugo,26,14,0.5238095238095238,0.6239518245729425,0.2964044493264908,0.8122497674719992
BulkFormer_50M__completed,cohort,Riaz,51,10,0.6951219512195121,0.40242949488566593,0.25335151984929427,0.7008266303406697
BulkFormer_50M__completed,cohort,Rose,89,16,0.6618150684931507,0.28238543407021843,0.14626663442728247,0.4604833908895194
BulkFormer_93M__atlas,cohort,Gide,73,40,0.7272727272727273,0.76021124556913,0.330298776876689,0.8872729977708088
BulkFormer_93M__atlas,cohort,Hugo,26,14,0.49404761904761907,0.5408736245080782,0.3752995559926701,1.0300762183865109
BulkFormer_93M__atlas,cohort,Riaz,51,10,0.6560975609756098,0.3950807963965858,0.2654835053658743,0.725503884205906
BulkFormer_93M__atlas,cohort,Rose,89,16,0.6892123287671232,0.3233856111188066,0.21149674762232076,0.6152119256683174
BulkFormer_93M__completed,cohort,Gide,73,40,0.6878787878787879,0.7292201200646858,0.27940419717241616,0.7605153703775166
BulkFormer_93M__completed,cohort,Hugo,26,14,0.5297619047619048,0.626926523224333,0.297313031331574,0.81405500590391
BulkFormer_93M__completed,cohort,Riaz,51,10,0.6878048780487804,0.39817746648810004,0.2532995301496791,0.7005793776643217
BulkFormer_93M__completed,cohort,Rose,89,16,0.663527397260274,0.2779973465584856,0.14572572407585516,0.4569421149624808
Raw_common_measured,cohort,Gide,73,40,0.6916666666666667,0.7244173838779077,0.27700397010706845,0.7553076484098638
Raw_common_measured,cohort,Hugo,26,14,0.5535714285714285,0.6366692830978545,0.29794399041598496,0.8168751830995968
Raw_common_measured,cohort,Riaz,51,10,0.6951219512195121,0.40293425443475206,0.2588432712045443,0.7129293485096538
Raw_common_measured,cohort,Rose,89,16,0.6738013698630136,0.2888185949478066,0.14566247375388247,0.45746854544569027
Txn_Jatin_OSDR_LoRA__atlas,cohort,Gide,73,40,0.725,0.7643489976189831,0.3309470161634947,0.88741149500605
Txn_Jatin_OSDR_LoRA__atlas,cohort,Hugo,26,14,0.4821428571428571,0.5275970477377127,0.3748442878580397,1.0283225270199725
Txn_Jatin_OSDR_LoRA__atlas,cohort,Riaz,51,10,0.6634146341463414,0.42187465269508606,0.28491708799325616,0.7688891168540021
