method,macro_auroc,macro_auprc,macro_brier,macro_log_loss,n,responders,auroc,auprc,brier,log_loss
Raw_common_measured,0.6535403540801552,0.5132098790895803,0.24486342637037006,0.6856451813662012,239,80,0.6359276729559747,0.4156977144006233,0.22649707349020465,0.6420515080048884
BRIDGE__completed,0.6501139066552114,0.5102717409355069,0.24521283616579198,0.6869907490821565,239,80,0.633254716981132,0.4129531508072395,0.22649710131464584,0.6422575757644059
Txn_Jatin_OSDR_LoRA__completed,0.649614355393465,0.5085176225495743,0.2465593006523739,0.6900709373548619,239,80,0.6327044025157234,0.41124177587143795,0.22697205260496664,0.6430283105419675
BulkFormer_127M__completed,0.6493344589757053,0.5124576967083851,0.24321036696854798,0.6813210480241251,239,80,0.6348270440251573,0.4154931052212873,0.22585906916022064,0.6402139920108415
BulkFormer_37M__completed,0.6479720719196163,0.5112403316441109,0.2445418645249569,0.6847191762519144,239,80,0.6317610062893082,0.4125793216640337,0.22673289217580367,0.6424174589190985
BulkFormer_147M__completed,0.6449169951748885,0.5090486947894756,0.24466744516282413,0.6849756761206638,239,80,0.6294811320754717,0.4104387497802652,0.22741161609976415,0.6440606357857809
BulkFormer_50M__completed,0.6423457267896375,0.5094073836690978,0.24350347932626656,0.682688782237576,239,80,0.6354559748427673,0.4169865084781025,0.22568426593755989,0.6406649946816979
BulkFormer_93M__completed,0.6422432419874368,0.5080803640839011,0.24393562068238112,0.6830229672270572,239,80,0.6314465408805031,0.4125424247727172,0.22600213677235165,0.6405039693874542
BulkFormer_37M__atlas,0.641984643461005,0.5028960526908712,0.2948819381447083,0.8137516896148652,239,80,0.39512578616352206,0.30275709454019833,0.2755823975485086,0.764551443078091
BulkFormer_93M__atlas,0.6416575590157698,0.5048878193981501,0.29564464646438854,0.8145162565078858,239,80,0.39331761006289306,0.3030772441695463,0.2771232990788864,0.7669768619008358
BulkFormer_127M__atlas,0.6415691628229216,0.5080668119126083,0.29572629233935255,0.8141005144041559,239,80,0.39292452830188673,0.3037332361764619,0.2779627550113957,0.7687192987286114
BulkFormer_147M__atlas,0.6380001433720528,0.505761137203431,0.2965641807012993,0.816697947687913,239,80,0.3915880503144654,0.3035857860369766,0.2788452813409896,0.7709236460051441
Txn_Jatin__completed,0.6359608657574745,0.5071422788053821,0.24562752705778262,0.6879092146744384,239,80,0.630503144654088,0.4146573108837559,0.22615380210931915,0.6412404568237046
BulkFormer_50M__atlas,0.635248990971719,0.5179697573272145,0.3025586705732599,0.8313143276277537,239,80,0.3845125786163522,0.3048579126974992,0.2854233919513725,0.7859906833803085
BRIDGE__atlas,0.6334226335113823,0.5101935220624892,0.30391727542979885,0.8336216727586051,239,80,0.38404088050314467,0.3054841559001148,0.2849807811287944,0.7848329460623696
Txn_Jatin_OSDR_LoRA__atlas,0.6320229344661352,0.507029106286751,0.29951303144658126,0.8226825280839085,239,80,0.38922955974842766,0.3063704934194575,0.27987216509442164,0.77269577587893
Txn_Jatin__atlas,0.6311822101498012,0.5065003158006494,0.29986066538237316,0.8233693974982823,239,80,0.3889150943396226,0.30628144219470776,0.2802550603683695,0.7734713526673029
