method,reference,delta_macro_auroc,auroc_ci_low,auroc_ci_high,delta_macro_auprc,auprc_ci_low,auprc_ci_high,bootstrap_replicates,model,signature
Txn_Jatin__T_cell_inflamed_GEP_Ayers18,Signature_assay_limited__T_cell_inflamed_GEP_Ayers18,-0.008671941329914112,-0.023034662272937042,0.0006093330324871052,-0.004791124271406044,-0.012749501850382866,0.00041430513904791827,2000,Txn_Jatin,T_cell_inflamed_GEP_Ayers18
Txn_Jatin__IFNG_6,Signature_assay_limited__IFNG_6,-0.0024012739682635065,-0.00976170701514211,0.0025544768601484247,-0.001519936384714926,-0.005624246949314777,0.0010328572969046472,2000,Txn_Jatin,IFNG_6
Txn_Jatin__CYT_Rooney,Signature_assay_limited__CYT_Rooney,-0.0010455583229557197,-0.003424657534246589,0.00042808219178080975,-0.0006203032556234556,-0.002285475035119923,9.312640786063848e-05,2000,Txn_Jatin,CYT_Rooney
Txn_Jatin__CD8_effector,Signature_assay_limited__CD8_effector,-0.00042808219178080975,-0.002758503268991258,0.001646592206309622,-6.804826836981359e-05,-0.0012647099465658326,0.0016717177071216872,2000,Txn_Jatin,CD8_effector
Txn_Jatin__Exhaustion,Signature_assay_limited__Exhaustion,-0.003033204822797342,-0.012871722669453842,0.0035774667405765624,-0.0017571204309624333,-0.008873917081141904,0.0015317078241078555,2000,Txn_Jatin,Exhaustion
Txn_Jatin__TLS,Signature_assay_limited__TLS,-0.0004579769823672697,-0.00799441651280845,0.0049977477208726015,-0.0009074770240828922,-0.006387367127310436,0.001351003095364641,2000,Txn_Jatin,TLS
Txn_Jatin__Proliferation,Signature_assay_limited__Proliferation,-0.0006097560975609762,-0.0035757756102622997,0.0012103051058530712,-0.0005105511020861986,-0.002435303598547442,0.0004307642364206109,2000,Txn_Jatin,Proliferation
Txn_Jatin__Purity_inverse_immune_stromal,Signature_assay_limited__Purity_inverse_immune_stromal,0.0013919790116331265,-0.001821741259909665,0.005471455175713008,0.000503279263615819,-0.006459807885753735,0.007736613080333858,2000,Txn_Jatin,Purity_inverse_immune_stromal
BulkFormer_147M__T_cell_inflamed_GEP_Ayers18,Signature_assay_limited__T_cell_inflamed_GEP_Ayers18,-0.011123221499516167,-0.025400130065390783,-0.000615726467818769,-0.003522043984110046,-0.01342852368597033,0.0035710347818299504,2000,BulkFormer_147M,T_cell_inflamed_GEP_Ayers18
BulkFormer_147M__IFNG_6,Signature_assay_limited__IFNG_6,-0.0023189005768147197,-0.010525447725790121,0.002907125385368858,-0.0007897208856656457,-0.005584720507103275,0.003695873575750589,2000,BulkFormer_147M,IFNG_6
BulkFormer_147M__CYT_Rooney,Signature_assay_limited__CYT_Rooney,-0.0045737786617549014,-0.013713345999069999,0.0003205166537577646,-0.002862869682401792,-0.00932894578975027,0.000720761008382436,2000,BulkFormer_147M,CYT_Rooney
BulkFormer_147M__CD8_effector,Signature_assay_limited__CD8_effector,-0.001401118302012172,-0.00934801197382643,0.0038796555463831797,0.0005332535171411745,-0.005008830925606653,0.006479169033632542,2000,BulkFormer_147M,CD8_effector
BulkFormer_147M__Exhaustion,Signature_assay_limited__Exhaustion,0.0020306445559117314,-0.011651822664680797,0.017571818121251158,0.007773966258294185,-0.010012844441250862,0.020561287102685177,2000,BulkFormer_147M,Exhaustion
BulkFormer_147M__TLS,Signature_assay_limited__TLS,1.550786611759225e-05,-0.007625616992499096,0.006746675797820992,-0.0023480814097465164,-0.008074378369833584,0.002260753403777568,2000,BulkFormer_147M,TLS
BulkFormer_147M__Proliferation,Signature_assay_limited__Proliferation,-0.12424182761219182,-0.2576578346860568,0.010825190008649217,-0.0693090427354297,-0.1852627694614285,0.033345002486149536,2000,BulkFormer_147M,Proliferation
BulkFormer_147M__Purity_inverse_immune_stromal,Signature_assay_limited__Purity_inverse_immune_stromal,0.002427344901451023,-0.006282048987319588,0.012480371430343256,0.0011214496825666664,-0.006586686058616775,0.009393825020641984,2000,BulkFormer_147M,Purity_inverse_immune_stromal
