method,scope,n,macro_auroc,auroc_ci_low,auroc_ci_high,macro_auprc,auprc_ci_low,auprc_ci_high,macro_brier,bootstrap_replicates
BRIDGE__completed__DANN,full,239,0.5489717032744513,0.45976438100336564,0.640789252641987,0.44164185893730473,0.39350392190465733,0.5522648838345062,0.3377284420484026,2000
BRIDGE__completed__project_out,full,239,0.6225680628537295,0.5367253210684239,0.7094643335125032,0.4779130107130418,0.42500492177174404,0.5940324595256676,0.25417658770454316,2000
BRIDGE__completed__training_domain_CORAL,full,239,0.6522491739383236,0.5641175277261301,0.7382746949773137,0.5248834998953931,0.46706557102772955,0.6303316280604325,0.26422489291431084,2000
BRIDGE__completed__unadapted,full,239,0.6549430181968605,0.562611210293354,0.7394785205432444,0.5057423217407719,0.44929452074157933,0.6265237406444522,0.2642389222950354,2000
BulkFormer_127M__completed__DANN,full,239,0.5627359853366368,0.46755561520351235,0.6602619210110388,0.45621774880406196,0.4044503456423543,0.5745171867693513,0.3241244474311452,2000
BulkFormer_127M__completed__project_out,full,239,0.6173455188730415,0.5264641539810423,0.7060465479607541,0.4650090986527356,0.4173589078801418,0.5854283913052851,0.25500317433445735,2000
BulkFormer_127M__completed__training_domain_CORAL,full,239,0.6598702754117471,0.5720112619832277,0.7434117402637178,0.5196415467169042,0.4713121871558527,0.630117044498825,0.2655864879386746,2000
BulkFormer_127M__completed__unadapted,full,239,0.6478303586796319,0.5552288339097143,0.7298127024022864,0.5140820037850014,0.45129471500025053,0.6249844692108901,0.26899925781739303,2000
BulkFormer_147M__completed__DANN,full,239,0.5552703150786178,0.4693423587893758,0.6407851044798976,0.4461654340942329,0.40159728837269504,0.5501632341484468,0.3261705650277237,2000
BulkFormer_147M__completed__project_out,full,239,0.6193158088570301,0.531781150064436,0.7053964354778754,0.46495104236755225,0.42114802252663813,0.5821518076161211,0.25454195879592456,2000
BulkFormer_147M__completed__training_domain_CORAL,full,239,0.6166570121047235,0.5361538406082447,0.7005537796389627,0.48416985646090915,0.44106713075693393,0.5886593192470797,0.3413235072159556,2000
BulkFormer_147M__completed__unadapted,full,239,0.6479095477832113,0.5598110560192398,0.7289002052769593,0.5120089664346712,0.4548598834618567,0.6218796557076034,0.2690410735304135,2000
BulkFormer_37M__completed__DANN,full,239,0.5517535640520521,0.45931799559723047,0.6426328637898603,0.4590116957642826,0.40265544596830466,0.5752127980329864,0.3260975462107129,2000
BulkFormer_37M__completed__project_out,full,239,0.620545879599296,0.536923381852931,0.7056069131771029,0.46234204072870005,0.4212063272789829,0.5832777951123924,0.2541827360496494,2000
BulkFormer_37M__completed__training_domain_CORAL,full,239,0.6126155609481285,0.5235157976611733,0.6958082739595853,0.48153003357956553,0.4370206023912062,0.5939755012323499,0.3393243714897691,2000
BulkFormer_37M__completed__unadapted,full,239,0.6487734954793508,0.5540148983992954,0.7287693169207587,0.5118188726628019,0.45119407460451044,0.6194869812124997,0.26815327592450733,2000
BulkFormer_50M__completed__DANN,full,239,0.5498336260437413,0.4567190503490829,0.6393705139734417,0.44005710383724084,0.393369892186717,0.555289897068551,0.33241601864175446,2000
BulkFormer_50M__completed__project_out,full,239,0.6170768725511041,0.5204257467460148,0.7029463978359317,0.46271947600049357,0.41852720158068185,0.5803191358390175,0.2544521535504569,2000
BulkFormer_50M__completed__training_domain_CORAL,full,239,0.6137362946803726,0.5213535676634731,0.6936080770354491,0.48219857336522215,0.43456431677227375,0.5882689472116298,0.3416387735128095,2000
BulkFormer_50M__completed__unadapted,full,239,0.6451115734694084,0.5570213061627926,0.7314101175876829,0.5069005566796652,0.44866027499525307,0.6205738045618439,0.2683559786626397,2000
BulkFormer_93M__completed__DANN,full,239,0.5594403852495651,0.4626166738669088,0.6463496908099416,0.45071009506913706,0.398481126810419,0.5617972740827881,0.33509684293066916,2000
BulkFormer_93M__completed__project_out,full,239,0.6160104909290509,0.5283877453325436,0.7014860202530652,0.46098621374795395,0.41859599418140164,0.5754178589888356,0.25544653824207797,2000
BulkFormer_93M__completed__training_domain_CORAL,full,239,0.6096682166396917,0.5258347301034666,0.6984725108948295,0.47848760548003744,0.43686392315302736,0.5920442635618877,0.34131963070877663,2000
BulkFormer_93M__completed__unadapted,full,239,0.6478771805931011,0.5592439919787585,0.7349968223790213,0.5153083081784297,0.45262969410448434,0.6312985170295053,0.2673700907528629,2000
Raw_common_measured__DANN,full,239,0.5595446689823151,0.46920310698809486,0.6534304791989389,0.46557630533835886,0.41162588714405834,0.5770947971300266,0.3316394631686432,2000
Raw_common_measured__project_out,full,239,0.6164516763863156,0.5223786878980247,0.7029926062824441,0.47498748456640816,0.42181057926004445,0.5910282859270121,0.2570342327354548,2000
Raw_common_measured__training_domain_CORAL,full,239,0.649733012490906,0.561202243026839,0.7347621392330662,0.5107577369349444,0.46381998619147075,0.6195509934919886,0.26765335743862523,2000
Raw_common_measured__unadapted,full,239,0.6504298042835881,0.5631826408083508,0.7296070933413534,0.5062164511660697,0.4514823155636662,0.6145574668803434,0.26430489440647575,2000
Txn_Jatin_OSDR_LoRA__completed__DANN,full,239,0.5406754378542717,0.4455585857892803,0.626654025111624,0.4517668905027491,0.39457407792494525,0.5532814389603056,0.3536322254676759,2000
Txn_Jatin_OSDR_LoRA__completed__project_out,full,239,0.6186916613150744,0.5259398536384681,0.7035374344339533,0.47551909200711395,0.4240515186578267,0.5880067044196968,0.2559741235205638,2000
