method,reference,delta_macro_auroc,auroc_ci_low,auroc_ci_high,delta_macro_auprc,auprc_ci_low,auprc_ci_high,bootstrap_replicates,representation,adaptation
BRIDGE__completed__DANN,BRIDGE__completed__unadapted,-0.10597131492240919,-0.1861560259924674,-0.02749083155609843,-0.0641004628034672,-0.1353964917026128,-0.002202598725020435,2000,BRIDGE__completed,DANN
BRIDGE__completed__project_out,BRIDGE__completed__unadapted,-0.03237495534313106,-0.071955361120392,0.0017450532573840933,-0.02782931102773012,-0.06922246519567812,0.005668400014999772,2000,BRIDGE__completed,project_out
BRIDGE__completed__training_domain_CORAL,BRIDGE__completed__unadapted,-0.002693844258536915,-0.0550335161553004,0.05065004524897915,0.01914117815462113,-0.03968519069305508,0.05950783482738509,2000,BRIDGE__completed,training_domain_CORAL
BulkFormer_127M__completed__DANN,BulkFormer_127M__completed__unadapted,-0.08509437334299508,-0.16645011271791466,-0.009593848376189503,-0.05786425498093939,-0.1285534204251444,0.01186181880909119,2000,BulkFormer_127M__completed,DANN
BulkFormer_127M__completed__project_out,BulkFormer_127M__completed__unadapted,-0.030484839806590447,-0.07271303733332317,0.011496562641473614,-0.049072905132265754,-0.08392226647782335,0.000551240150678504,2000,BulkFormer_127M__completed,project_out
BulkFormer_127M__completed__training_domain_CORAL,BulkFormer_127M__completed__unadapted,0.012039916732115241,-0.03452951152346093,0.05989745802073519,0.005559542931902861,-0.03936102754388643,0.055562637299101846,2000,BulkFormer_127M__completed,training_domain_CORAL
BulkFormer_147M__completed__DANN,BulkFormer_147M__completed__unadapted,-0.09263923270459351,-0.17054812396855296,-0.020089650585312393,-0.06584353234043827,-0.13292058184064914,-0.002183849563194224,2000,BulkFormer_147M__completed,DANN
BulkFormer_147M__completed__project_out,BulkFormer_147M__completed__unadapted,-0.028593738926181222,-0.07283058637090443,0.010924581147497043,-0.04705792406711895,-0.08145817869847818,0.003652235245319708,2000,BulkFormer_147M__completed,project_out
BulkFormer_147M__completed__training_domain_CORAL,BulkFormer_147M__completed__unadapted,-0.03125253567848785,-0.08571185941800713,0.020893065737442096,-0.027839109973762044,-0.07703092204627934,0.025990146373899597,2000,BulkFormer_147M__completed,training_domain_CORAL
BulkFormer_37M__completed__DANN,BulkFormer_37M__completed__unadapted,-0.0970199314272987,-0.17764626683943635,-0.02022074120820159,-0.052807176898519326,-0.13372252209103985,0.016949213384280723,2000,BulkFormer_37M__completed,DANN
BulkFormer_37M__completed__project_out,BulkFormer_37M__completed__unadapted,-0.028227615880054846,-0.06720635057739338,0.008972470644888543,-0.04947683193410185,-0.08368130259511436,-0.0026206151353330275,2000,BulkFormer_37M__completed,project_out
BulkFormer_37M__completed__training_domain_CORAL,BulkFormer_37M__completed__unadapted,-0.03615793453122229,-0.09159432129604717,0.02085151563966705,-0.030288839083236374,-0.07923938226907559,0.027625920703790885,2000,BulkFormer_37M__completed,training_domain_CORAL
BulkFormer_50M__completed__DANN,BulkFormer_50M__completed__unadapted,-0.09527794742566709,-0.17943016038595824,-0.013826125836728887,-0.06684345284242432,-0.1366941489914375,0.012874582468290017,2000,BulkFormer_50M__completed,DANN
BulkFormer_50M__completed__project_out,BulkFormer_50M__completed__unadapted,-0.02803470091830429,-0.0713496197341054,0.01108085939703459,-0.04418108067917159,-0.08243229083435659,0.007056339989143423,2000,BulkFormer_50M__completed,project_out
BulkFormer_50M__completed__training_domain_CORAL,BulkFormer_50M__completed__unadapted,-0.03137527878903579,-0.08514464384700657,0.01855181593451082,-0.02470198331444301,-0.07650887481374087,0.02962622805561751,2000,BulkFormer_50M__completed,training_domain_CORAL
BulkFormer_93M__completed__DANN,BulkFormer_93M__completed__unadapted,-0.08843679534353599,-0.16361266103140373,-0.017205434614388823,-0.06459821310929259,-0.13452780116368038,0.0018588541712723612,2000,BulkFormer_93M__completed,DANN
BulkFormer_93M__completed__project_out,BulkFormer_93M__completed__unadapted,-0.03186668966405015,-0.07469682200838748,0.00949303718958958,-0.0543220944304757,-0.09295669839277014,-0.004339503922596373,2000,BulkFormer_93M__completed,project_out
BulkFormer_93M__completed__training_domain_CORAL,BulkFormer_93M__completed__unadapted,-0.038208963953409336,-0.09698999505339302,0.015068595866003459,-0.036820702698392216,-0.08872062359276744,0.02102846945004166,2000,BulkFormer_93M__completed,training_domain_CORAL
Raw_common_measured__DANN,Raw_common_measured__unadapted,-0.09088513530127296,-0.17450240914315954,-0.011677068372378245,-0.04064014582771086,-0.12216942648405524,0.028811179879976563,2000,Raw_common_measured,DANN
Raw_common_measured__project_out,Raw_common_measured__unadapted,-0.0339781278972725,-0.07314532192630564,-0.0001199204167590694,-0.031228966599661567,-0.06971445434289911,0.012248494075161301,2000,Raw_common_measured,project_out
Raw_common_measured__training_domain_CORAL,Raw_common_measured__unadapted,-0.0006967917926821166,-0.0591595734337913,0.05696972307226957,0.004541285768874692,-0.047131766798678976,0.0553024654491602,2000,Raw_common_measured,training_domain_CORAL
Txn_Jatin_OSDR_LoRA__completed__DANN,Txn_Jatin_OSDR_LoRA__completed__unadapted,-0.10823013438282403,-0.19061977417455295,-0.026172757628550525,-0.05698134729187243,-0.13830160913357062,0.009336447654739009,2000,Txn_Jatin_OSDR_LoRA__completed,DANN
Txn_Jatin_OSDR_LoRA__completed__project_out,Txn_Jatin_OSDR_LoRA__completed__unadapted,-0.030213910922021414,-0.07048755933306865,0.005315415804264706,-0.033229145787507575,-0.06855750679227926,0.006663754038823094,2000,Txn_Jatin_OSDR_LoRA__completed,project_out
Txn_Jatin_OSDR_LoRA__completed__training_domain_CORAL,Txn_Jatin_OSDR_LoRA__completed__unadapted,0.001784037393167015,-0.04627995976452268,0.04822645211210719,0.005651506997191302,-0.03900135249388567,0.05110234680172038,2000,Txn_Jatin_OSDR_LoRA__completed,training_domain_CORAL
Txn_Jatin__completed__DANN,Txn_Jatin__completed__unadapted,-0.07804728891222379,-0.15340558706245297,-0.005503657162528186,-0.0449320558173828,-0.11509516215419617,0.024610776706550104,2000,Txn_Jatin__completed,DANN
Txn_Jatin__completed__project_out,Txn_Jatin__completed__unadapted,-0.013083065934510918,-0.05024900566147856,0.020726971903597652,-0.02996091832647707,-0.06522485378008129,0.013876065361743682,2000,Txn_Jatin__completed,project_out
Txn_Jatin__completed__training_domain_CORAL,Txn_Jatin__completed__unadapted,0.04132315681033516,-0.021746480763014116,0.10288555511200011,0.045263877418443066,-0.02428725424157605,0.11622077798056789,2000,Txn_Jatin__completed,training_domain_CORAL
