method,scope,n,macro_auroc,auroc_ci_low,auroc_ci_high,macro_auprc,auprc_ci_low,auprc_ci_high,macro_brier,bootstrap_replicates
PCA64_raw_common,full,239,0.5970127492648792,0.5085998819576125,0.6854868302690041,0.4743026203333853,0.4264664724905154,0.5853847789667246,0.2641796109450801,2000
Raw_common_measured,full,239,0.6535403540801552,0.5716662967107233,0.7334043458907725,0.5132098790895803,0.4584335446971475,0.6173354766809995,0.24486342705402267,2000
Signature_assay_limited__CD8_effector,full,239,0.6479495491283414,0.5611831140220038,0.7369013990798154,0.5193820261442382,0.47107544072876034,0.6350367920505161,0.25644285567226865,2000
Signature_assay_limited__CYT_Rooney,full,239,0.6017769546691197,0.505631679659646,0.6967895753195045,0.48363396773928136,0.43667808769293404,0.5972340462873109,0.2610543506148632,2000
Signature_assay_limited__Exhaustion,full,239,0.6367687980106541,0.5404364271051646,0.7261333579985695,0.5187561211501213,0.45753419049233723,0.6295746327958531,0.25372656226289575,2000
Signature_assay_limited__IFNG_6,full,239,0.6564390504250176,0.5697684305180702,0.742485048310777,0.5113732624541159,0.46826138223851743,0.6291669878392643,0.25579700621333007,2000
Signature_assay_limited__Proliferation,full,239,0.5228671056780395,0.42790758850828703,0.6176529224304763,0.43660998430238807,0.3784480677539888,0.5466595189043104,0.2608069228234542,2000
Signature_assay_limited__Purity_inverse_immune_stromal,full,239,0.617347489560779,0.5274166442026345,0.7053406226405985,0.5220842003861893,0.4623520188904098,0.6296858767588376,0.25281017160318403,2000
Signature_assay_limited__TLS,full,239,0.606349953643639,0.5075506919871113,0.6994017701657401,0.4916474201257049,0.4289425364746692,0.6025657080668119,0.25835555266273685,2000
Signature_assay_limited__T_cell_inflamed_GEP_Ayers18,full,239,0.6438202034906846,0.5552821268882443,0.7339356887300527,0.5427383873843377,0.4833750533769481,0.652941860201627,0.2519327129819606,2000
Signature_harmonized_BulkFormer_147M__CD8_effector,full,239,0.6465484308263292,0.5549614670658304,0.734330121428716,0.5199152796613794,0.4712619440371168,0.6391019042273804,0.25784400821458653,2000
Signature_harmonized_BulkFormer_147M__CYT_Rooney,full,239,0.5972031760073648,0.5043327288610293,0.68628981015226,0.48077109805687956,0.43522211992644894,0.5883942669531267,0.2622929995199542,2000
Signature_harmonized_BulkFormer_147M__Exhaustion,full,239,0.6387994425665658,0.5481576888958436,0.7300158990657133,0.5265300874084154,0.46412718759382865,0.642282446730713,0.25782769608937256,2000
Signature_harmonized_BulkFormer_147M__IFNG_6,full,239,0.6541201498482029,0.5648277057881631,0.739426171325264,0.5105835415684502,0.4673575380182698,0.6287983915411011,0.25681542377345934,2000
Signature_harmonized_BulkFormer_147M__Proliferation,full,239,0.3986252780658477,0.3047152751712871,0.4943675839314099,0.36730094156695836,0.3236252404285017,0.45970991235319325,0.26001486983110866,2000
Signature_harmonized_BulkFormer_147M__Purity_inverse_immune_stromal,full,239,0.61977483446223,0.532147741826889,0.7135366839002405,0.523205650068756,0.465113872958402,0.6326801557127514,0.25313905791922064,2000
Signature_harmonized_BulkFormer_147M__TLS,full,239,0.6063654615097566,0.5114011818069724,0.6998709852661259,0.4892993387159584,0.4294131206926672,0.5973338065939195,0.2593705809627959,2000
Signature_harmonized_BulkFormer_147M__T_cell_inflamed_GEP_Ayers18,full,239,0.6326969819911684,0.5435833501022589,0.7299960559125694,0.5392163434002276,0.4782149488332088,0.6526180181465072,0.2559612531379912,2000
Signature_harmonized_Txn_Jatin__CD8_effector,full,239,0.6475214669365605,0.5546140830679233,0.7384395094461029,0.5193139778758684,0.46762241858694337,0.6361908779023862,0.2562876518794235,2000
Signature_harmonized_Txn_Jatin__CYT_Rooney,full,239,0.600731396346164,0.5112955267286727,0.6902647051724586,0.4830136644836579,0.4376931996092645,0.5943587075116844,0.26062085892653913,2000
Signature_harmonized_Txn_Jatin__Exhaustion,full,239,0.6337355931878568,0.5457982658264305,0.7262315429951632,0.5169990007191588,0.4638558854778168,0.6349183874395469,0.2536961865171423,2000
Signature_harmonized_Txn_Jatin__IFNG_6,full,239,0.6540377764567541,0.5681666914584608,0.7416954982576588,0.5098533260694009,0.46605444446248934,0.6249683371346791,0.255802000687566,2000
Signature_harmonized_Txn_Jatin__Proliferation,full,239,0.5222573495804785,0.4302932200296362,0.6151166518322695,0.43609943320030187,0.38224527032585776,0.5445448489372892,0.26082786971356664,2000
Signature_harmonized_Txn_Jatin__Purity_inverse_immune_stromal,full,239,0.6187394685724121,0.5203897101669769,0.7117731522813693,0.5225874796498051,0.46113030324190213,0.6305355531997774,0.25284194016287287,2000
Signature_harmonized_Txn_Jatin__TLS,full,239,0.6058919766612717,0.5098676079774163,0.6983279158630238,0.490739943101622,0.4309135605367628,0.6009643832361151,0.25852932230271936,2000
Signature_harmonized_Txn_Jatin__T_cell_inflamed_GEP_Ayers18,full,239,0.6351482621607705,0.5412129746871488,0.7256355588861384,0.5379472631129316,0.47727538621873267,0.6421351133417644,0.2517939371686637,2000
Txn_Jatin_OSDR_LoRA__completed,full,239,0.6300603238364264,0.5440133082893274,0.7162546927001748,0.5021551911036384,0.448405286411685,0.6122676045071243,0.25537503754299096,2000
Txn_Jatin__completed,full,239,0.6360841738587729,0.5488576697223175,0.7208675167427098,0.5054236849619689,0.4483105150415064,0.6110563441132018,0.2519090216630714,2000
PCA64_raw_common,overlap_clean_evaluable_cohorts,213,0.6392709672738073,0.5430584990820332,0.7320568268299431,0.43436887245375216,0.38050706987649746,0.559912310538781,0.2342134762547948,2000
Raw_common_measured,overlap_clean_evaluable_cohorts,213,0.6868633292497308,0.6007730474642854,0.7668677745969551,0.4720567444201554,0.40670714016556636,0.5959070027727538,0.22716990525686523,2000
Signature_assay_limited__CD8_effector,overlap_clean_evaluable_cohorts,213,0.7012343194727091,0.6076551758395853,0.7919426483765148,0.5116055951918627,0.4457801723561014,0.6456798100164959,0.24366711672207006,2000
Signature_assay_limited__CYT_Rooney,overlap_clean_evaluable_cohorts,213,0.6714168919397787,0.5703716036070697,0.7629511769043593,0.4847717760417316,0.4256880275556379,0.6146904447881821,0.24806535289423104,2000
Signature_assay_limited__Exhaustion,overlap_clean_evaluable_cohorts,213,0.6902949052840467,0.5949182298680086,0.7738830693334954,0.5160134386823599,0.4338763958501079,0.6394215980421784,0.23988510223078743,2000
