method,reference,delta_macro_auroc,auroc_ci_low,auroc_ci_high,delta_macro_auprc,auprc_ci_low,auprc_ci_high,bootstrap_replicates
PCA64_raw_common,Raw_common_measured,-0.05652760481527597,-0.11994694013665368,0.0035138048257983257,-0.03890725875619494,-0.08671005722130005,0.015308258385859917,2000
Signature_assay_limited__CD8_effector,Raw_common_measured,-0.005590804951813855,-0.08622054567620252,0.07926540151225869,0.0061721470546579615,-0.07123886637121403,0.10263602126523232,2000
Signature_assay_limited__CYT_Rooney,Raw_common_measured,-0.05176339941103547,-0.14045918820953796,0.03490148256284865,-0.02957591135029891,-0.10622978439722425,0.06545922415636353,2000
Signature_assay_limited__Exhaustion,Raw_common_measured,-0.016771556069501092,-0.09116203738105366,0.05744147498112469,0.005546242060540996,-0.07018149382463074,0.09118391653661591,2000
Signature_assay_limited__IFNG_6,Raw_common_measured,0.002898696344862395,-0.07683034041913105,0.0823302466080667,-0.0018366166354644164,-0.07613682153914945,0.09926266511452878,2000
Signature_assay_limited__Proliferation,Raw_common_measured,-0.1306732484021157,-0.25926638730812,-0.0026092824319156,-0.0765998947871922,-0.20314260505523138,0.049619340645121614,2000
Signature_assay_limited__Purity_inverse_immune_stromal,Raw_common_measured,-0.0361928645193762,-0.12998699820685497,0.055788921331411015,0.008874321296609033,-0.08862249238263104,0.10175701038744091,2000
Signature_assay_limited__TLS,Raw_common_measured,-0.04719040043651623,-0.14142685125773274,0.04439618365019808,-0.021562458963875375,-0.10407508112009083,0.06443335348642423,2000
Signature_assay_limited__T_cell_inflamed_GEP_Ayers18,Raw_common_measured,-0.009720150589470622,-0.09204737517501146,0.06823528122256405,0.029528508294757394,-0.053864402464160875,0.1115782886299262,2000
Signature_harmonized_BulkFormer_147M__CD8_effector,Raw_common_measured,-0.006991923253826027,-0.0855249030747068,0.07084711108477493,0.006705400571799136,-0.0654500190836059,0.09588089832232001,2000
Signature_harmonized_BulkFormer_147M__CYT_Rooney,Raw_common_measured,-0.05633717807279037,-0.1441515398303111,0.029188257844693026,-0.0324387810327007,-0.11159873458806363,0.06317496235245737,2000
Signature_harmonized_BulkFormer_147M__Exhaustion,Raw_common_measured,-0.014740911513589361,-0.09238008681512277,0.06313202825893903,0.01332020831883518,-0.07119987904660034,0.09625130918540413,2000
Signature_harmonized_BulkFormer_147M__IFNG_6,Raw_common_measured,0.0005797957680476751,-0.08568779962589476,0.0818744881183799,-0.002626337521130062,-0.08053189913745101,0.09502917343699112,2000
Signature_harmonized_BulkFormer_147M__Proliferation,Raw_common_measured,-0.2549150760143075,-0.3786894492632882,-0.12718317488280742,-0.1459089375226219,-0.26498362895280037,-0.03780489736561164,2000
Signature_harmonized_BulkFormer_147M__Purity_inverse_immune_stromal,Raw_common_measured,-0.03376551961792518,-0.12410851386369781,0.059094691138992385,0.0099957709791757,-0.0833509062144892,0.10607262296251094,2000
Signature_harmonized_BulkFormer_147M__TLS,Raw_common_measured,-0.04717489257039864,-0.14220660493622925,0.04724253416702461,-0.02391054037362189,-0.10890705628720018,0.06536198762955507,2000
Signature_harmonized_BulkFormer_147M__T_cell_inflamed_GEP_Ayers18,Raw_common_measured,-0.02084337208898679,-0.10614837104578792,0.06260441820054856,0.026006464310647348,-0.058925526438255604,0.11147906968204106,2000
Signature_harmonized_Txn_Jatin__CD8_effector,Raw_common_measured,-0.0060188871435946645,-0.08579358646003735,0.07479272941426815,0.006104098786288148,-0.0702898358390312,0.09917081918720974,2000
Signature_harmonized_Txn_Jatin__CYT_Rooney,Raw_common_measured,-0.05280895773399119,-0.13883795312710176,0.03351067342106334,-0.030196214605922367,-0.10986447408825868,0.0636317898888138,2000
Signature_harmonized_Txn_Jatin__Exhaustion,Raw_common_measured,-0.019804760892298434,-0.09603433037477065,0.050192897786031705,0.0037891216295785624,-0.07569175438035915,0.08499893174226225,2000
Signature_harmonized_Txn_Jatin__IFNG_6,Raw_common_measured,0.0004974223765988883,-0.07792414612721903,0.08054363410005741,-0.0033565530201793425,-0.07564036975277105,0.09282365273294496,2000
Signature_harmonized_Txn_Jatin__Proliferation,Raw_common_measured,-0.13128300449967667,-0.2506818832687526,-0.002413327254937085,-0.0771104458892784,-0.1928047634267258,0.04902068244288117,2000
Signature_harmonized_Txn_Jatin__Purity_inverse_immune_stromal,Raw_common_measured,-0.03480088550774307,-0.12572559988005927,0.05710455133496907,0.009377600560224852,-0.08167585625382505,0.10394329434268505,2000
Signature_harmonized_Txn_Jatin__TLS,Raw_common_measured,-0.0476483774188835,-0.14018903381428965,0.04154914994655623,-0.022469935987958267,-0.11026253767021478,0.06247624789020807,2000
Signature_harmonized_Txn_Jatin__T_cell_inflamed_GEP_Ayers18,Raw_common_measured,-0.018392091919384734,-0.10232462122116105,0.062316553492239475,0.02473738402335135,-0.058193441428705535,0.11065067656022734,2000
Txn_Jatin_OSDR_LoRA__completed,Raw_common_measured,-0.0234800302437288,-0.05947749271207144,0.007400500495926247,-0.011054687985941891,-0.03812650715573498,0.015521994360870718,2000
Txn_Jatin__completed,Raw_common_measured,-0.01745618022138229,-0.05419172728339438,0.017042655242282465,-0.00778619412761139,-0.038679968582713165,0.022521439153784108,2000
