representation,components,cohort_fraction,cancer_after_cohort_fraction,response_after_cohort_cancer_fraction,residual_fraction,note
Raw_common,20,0.6497980166956001,9.960958412103948e-18,0.002956086707883408,0.34724592919280656,Cancer is nested within cohort and has zero identifiable incremental variance after cohort.
Txn_Jatin,20,0.644393807330221,0.0,0.0028930132077523685,0.352713095642995,Cancer is nested within cohort and has zero identifiable incremental variance after cohort.
Txn_Jatin_OSDR_LoRA,20,0.6480073810597986,1.2235085693442336e-17,0.0028763491683161456,0.3491162981772237,Cancer is nested within cohort and has zero identifiable incremental variance after cohort.
BRIDGE,20,0.6445528967403075,1.492223547326551e-17,0.0028973500834146206,0.3525498048646808,Cancer is nested within cohort and has zero identifiable incremental variance after cohort.
BulkFormer_37M,20,0.6833284093916018,1.4139969630600769e-18,0.002653987161174074,0.31401751869686984,Cancer is nested within cohort and has zero identifiable incremental variance after cohort.
BulkFormer_50M,20,0.6823799983092578,1.1663031053050544e-17,0.002636301639640935,0.3149837149522627,Cancer is nested within cohort and has zero identifiable incremental variance after cohort.
BulkFormer_93M,20,0.6822847906121492,5.388318616667895e-19,0.0026354121618903828,0.3150797785995091,Cancer is nested within cohort and has zero identifiable incremental variance after cohort.
BulkFormer_127M,20,0.6830048147263984,1.7046357117733798e-18,0.002632989350472071,0.3143622504055002,Cancer is nested within cohort and has zero identifiable incremental variance after cohort.
BulkFormer_147M,20,0.6820764166829569,8.779532273852316e-18,0.0026412985327017766,0.31528230061682516,Cancer is nested within cohort and has zero identifiable incremental variance after cohort.
Assay_limited_T_cell_inflamed_GEP_Ayers18,1,0.16753972561348807,0.0,0.06829767730638037,0.7641625970801317,Cancer is nested within cohort and has zero identifiable incremental variance after cohort.
Assay_limited_IFNG_6,1,0.18298906260037728,0.0,0.06994810084644387,0.7470628365531788,Cancer is nested within cohort and has zero identifiable incremental variance after cohort.
Assay_limited_CYT_Rooney,1,0.3826170656299013,1.1102230246251565e-16,0.02924441386709198,0.5881385205030066,Cancer is nested within cohort and has zero identifiable incremental variance after cohort.
Assay_limited_CD8_effector,1,0.26887584870275083,0.0,0.05876014924459949,0.6723640020526497,Cancer is nested within cohort and has zero identifiable incremental variance after cohort.
Assay_limited_Exhaustion,1,0.11125529424824954,0.0,0.05490413988191267,0.8338405658698378,Cancer is nested within cohort and has zero identifiable incremental variance after cohort.
Assay_limited_TLS,1,0.028975058269120058,0.0,0.03218517201969129,0.9388397697111887,Cancer is nested within cohort and has zero identifiable incremental variance after cohort.
Assay_limited_Proliferation,1,0.01092194010367964,0.0,0.008819615653995805,0.9802584442423246,Cancer is nested within cohort and has zero identifiable incremental variance after cohort.
Assay_limited_Purity_inverse_immune_stromal,1,0.2162131838886876,0.0,0.03431231137897628,0.7494745047323361,Cancer is nested within cohort and has zero identifiable incremental variance after cohort.
Harmonized_Txn_Jatin_T_cell_inflamed_GEP_Ayers18,1,0.16396862532914258,0.0,0.06904192744133975,0.7669894472295177,Cancer is nested within cohort and has zero identifiable incremental variance after cohort.
Harmonized_Txn_Jatin_IFNG_6,1,0.17587169854019757,1.1102230246251565e-16,0.07194364421925803,0.7521846572405443,Cancer is nested within cohort and has zero identifiable incremental variance after cohort.
Harmonized_Txn_Jatin_CYT_Rooney,1,0.3753588891073153,0.0,0.030774397356311045,0.5938667135363737,Cancer is nested within cohort and has zero identifiable incremental variance after cohort.
Harmonized_Txn_Jatin_CD8_effector,1,0.25951979929875746,0.0,0.060463182868176535,0.680017017833066,Cancer is nested within cohort and has zero identifiable incremental variance after cohort.
Harmonized_Txn_Jatin_Exhaustion,1,0.1031685507417679,0.0,0.05853825382177946,0.8382931954364528,Cancer is nested within cohort and has zero identifiable incremental variance after cohort.
Harmonized_Txn_Jatin_TLS,1,0.03127943872901773,0.0,0.03258410416094448,0.9361364571100379,Cancer is nested within cohort and has zero identifiable incremental variance after cohort.
Harmonized_Txn_Jatin_Proliferation,1,0.01184278502440006,1.1102230246251565e-16,0.008818617792175076,0.9793385971834248,Cancer is nested within cohort and has zero identifiable incremental variance after cohort.
Harmonized_Txn_Jatin_Purity_inverse_immune_stromal,1,0.21541027486214526,0.0,0.0340926754439026,0.7504970496939521,Cancer is nested within cohort and has zero identifiable incremental variance after cohort.
Harmonized_BulkFormer_147M_T_cell_inflamed_GEP_Ayers18,1,0.17017748142347466,0.0,0.06555118256530401,0.7642713360112213,Cancer is nested within cohort and has zero identifiable incremental variance after cohort.
Harmonized_BulkFormer_147M_IFNG_6,1,0.1697725742660975,0.0,0.07658628268489431,0.7536411430490084,Cancer is nested within cohort and has zero identifiable incremental variance after cohort.
Harmonized_BulkFormer_147M_CYT_Rooney,1,0.33844421121224977,0.0,0.03263743308976086,0.6289183556979895,Cancer is nested within cohort and has zero identifiable incremental variance after cohort.
Harmonized_BulkFormer_147M_CD8_effector,1,0.23379776184400014,0.0,0.06684829673487769,0.6993539414211222,Cancer is nested within cohort and has zero identifiable incremental variance after cohort.
Harmonized_BulkFormer_147M_Exhaustion,1,0.1552896650585338,0.0,0.05428515393946909,0.7904251810019971,Cancer is nested within cohort and has zero identifiable incremental variance after cohort.
Harmonized_BulkFormer_147M_TLS,1,0.10108762620001954,0.0,0.0327800190284383,0.8661323547715422,Cancer is nested within cohort and has zero identifiable incremental variance after cohort.
Harmonized_BulkFormer_147M_Proliferation,1,0.07917735289749006,0.0,0.009395483507253388,0.9114271635952566,Cancer is nested within cohort and has zero identifiable incremental variance after cohort.
Harmonized_BulkFormer_147M_Purity_inverse_immune_stromal,1,0.1282401111517093,1.1102230246251565e-16,0.04314557658761309,0.8286143122606775,Cancer is nested within cohort and has zero identifiable incremental variance after cohort.
