representation,dimensions_for_geometry,cohort_eta_squared,cancer_eta_squared_marginal,response_eta_squared,response_eta_squared_after_cohort_centering,residual_fraction,identifiability_note
Raw_common,20,0.14232780662611488,0.049552095617634635,0.012550492339540522,0.006828590285096212,0.8508436030887889,Cancer is confounded with cohort: Rose is BLCA; all other cohorts are SKCM.
Txn_Jatin_completed,20,0.14208756747953824,0.04960865151942386,0.012434051829103673,0.006571683639779209,0.8513407488806826,Cancer is confounded with cohort: Rose is BLCA; all other cohorts are SKCM.
Txn_Jatin_OSDR_LoRA_completed,20,0.1439675620003666,0.049606849967627986,0.012394374687731063,0.0064262962815827595,0.8496061417180506,Cancer is confounded with cohort: Rose is BLCA; all other cohorts are SKCM.
BRIDGE_completed,20,0.14195057905820385,0.04955683114560267,0.012507847303342968,0.0066617312601545626,0.8513876896816416,Cancer is confounded with cohort: Rose is BLCA; all other cohorts are SKCM.
BulkFormer_37M_completed,20,0.14488983531613892,0.04960392720366605,0.01285232033657082,0.006820773556551894,0.8482893911273092,Cancer is confounded with cohort: Rose is BLCA; all other cohorts are SKCM.
BulkFormer_50M_completed,20,0.14452383893241913,0.04961184348344949,0.01276066095097315,0.006755973970979099,0.8487201870966018,Cancer is confounded with cohort: Rose is BLCA; all other cohorts are SKCM.
BulkFormer_93M_completed,20,0.1442873376821332,0.04961603909050683,0.01276444404489604,0.006781055195092268,0.8489316071227745,Cancer is confounded with cohort: Rose is BLCA; all other cohorts are SKCM.
BulkFormer_127M_completed,20,0.14433377994352867,0.04961755354935332,0.012789887741582151,0.006794228302712478,0.8488719917537588,Cancer is confounded with cohort: Rose is BLCA; all other cohorts are SKCM.
BulkFormer_147M_completed,20,0.14429836231250998,0.04961867973425352,0.012791661214042826,0.006788335464435981,0.848913302223054,Cancer is confounded with cohort: Rose is BLCA; all other cohorts are SKCM.
Assay_limited_T_cell_inflamed_GEP_Ayers18,1,0.167539725613488,0.139287053466575,0.0995037026550667,0.07045820356615946,0.7620020708203524,Cancer is confounded with cohort: Rose is BLCA; all other cohorts are SKCM.
Assay_limited_IFNG_6,1,0.1829890626003772,0.12549432258202056,0.07899025705768416,0.07352536794838706,0.7434855694512358,Cancer is confounded with cohort: Rose is BLCA; all other cohorts are SKCM.
