representation,cohort,artifact,sha256,genes,samples,preprocessing
Txn_Jatin,Gide,gide__Txn_Jatin.npz,d173dfb5cfcd311cba5487d0a690dc7d730084922afb0d8fa957db59c994e18d,16055,73,log1p(TPM); observed values retained; assay-missing genes decoder-filled
Txn_Jatin,Riaz,riaz__Txn_Jatin.npz,6ec53b8b872dc69ba3352472b848907058a3dc5353386b614e39ddb248ef5b94,16055,51,log1p(TPM); observed values retained; assay-missing genes decoder-filled
Txn_Jatin,Hugo,hugo__Txn_Jatin.npz,6a3fe6be622731f1fe98cafaa88f52643a48073a9fdf653a8f3eea273f9e4cde,16055,26,log1p(TPM); observed values retained; assay-missing genes decoder-filled
Txn_Jatin,Rose,rose__Txn_Jatin.npz,7f371c5d2e7c0a6b76565a68048f8db5cf7bdf39ad123e668fdff53b8392b999,16055,89,log1p(TPM); observed values retained; assay-missing genes decoder-filled
Txn_Jatin_OSDR_LoRA,Gide,gide__Txn_Jatin_OSDR_LoRA.npz,749fe86f73992aaf42901a6e9cd21f29252dd62d6dfc986cc1ba635d81701299,16055,73,log1p(TPM); observed values retained; assay-missing genes decoder-filled
Txn_Jatin_OSDR_LoRA,Riaz,riaz__Txn_Jatin_OSDR_LoRA.npz,9e7e4b0d2b8355b8950e6989ce3094db62d2e2349be832b0d1df55277215aa50,16055,51,log1p(TPM); observed values retained; assay-missing genes decoder-filled
Txn_Jatin_OSDR_LoRA,Hugo,hugo__Txn_Jatin_OSDR_LoRA.npz,fa5cbeb1af167ec031e201a40de84fc5104e8992db1352c13fa4030885d3b11c,16055,26,log1p(TPM); observed values retained; assay-missing genes decoder-filled
Txn_Jatin_OSDR_LoRA,Rose,rose__Txn_Jatin_OSDR_LoRA.npz,3e0d42cd7be655bd68e21847ea3c516bc9f5c5ed66859938a7806aaf5cdafec9,16055,89,log1p(TPM); observed values retained; assay-missing genes decoder-filled
BRIDGE,Gide,gide__BRIDGE.npz,0b1bf7f20140e0d3f8bee7c009c88db1267f67f69fdec5a79c543051234fbdf5,16055,73,log1p(TPM); observed values retained; assay-missing genes decoder-filled
BRIDGE,Riaz,riaz__BRIDGE.npz,f5930d10b54d5953e7c725cbf10ac0cfb50b5ce16074c103f4028bf8ce9f4ef2,16055,51,log1p(TPM); observed values retained; assay-missing genes decoder-filled
BRIDGE,Hugo,hugo__BRIDGE.npz,216b59fbc2445d0792d59874b607dc73724cce46063e0639c86abf089bc31667,16055,26,log1p(TPM); observed values retained; assay-missing genes decoder-filled
BRIDGE,Rose,rose__BRIDGE.npz,5a1f8573f0373df1d3323f6ca291de96478715b0e11c0444bdca68f665358610,16055,89,log1p(TPM); observed values retained; assay-missing genes decoder-filled
BulkFormer_37M,Gide,gide__BulkFormer_37M.npz,3deecc8b4bd138e1c69d277032aeb55135405b9995f69776f0a765f32ee2cea5,16055,73,log1p(TPM); observed values retained; assay-missing genes decoder-filled
BulkFormer_37M,Riaz,riaz__BulkFormer_37M.npz,a61c1bbda20ac20dd0f5d919d7f2d4a9da772ec4ceb1a1480571a601ba06f7e2,16055,51,log1p(TPM); observed values retained; assay-missing genes decoder-filled
BulkFormer_37M,Hugo,hugo__BulkFormer_37M.npz,31af5a3fe60129dd08a185b8ff4fab1d3427c534c91a70b7d8bd42224d049fae,16055,26,log1p(TPM); observed values retained; assay-missing genes decoder-filled
BulkFormer_37M,Rose,rose__BulkFormer_37M.npz,dd68b3f2a4e5a046b5f19f0e44d0937a29f685322db1a34b920bc3a2f8ad8a3a,16055,89,log1p(TPM); observed values retained; assay-missing genes decoder-filled
BulkFormer_50M,Gide,gide__BulkFormer_50M.npz,45789110fe216ae53a6f1960bde2c6caf05109b43efb753cff798980e78708b1,16055,73,log1p(TPM); observed values retained; assay-missing genes decoder-filled
BulkFormer_50M,Riaz,riaz__BulkFormer_50M.npz,599bf7df08b6748725bd0d172f25c8fe14ac32e814a86b7d08c5ae9d5920e030,16055,51,log1p(TPM); observed values retained; assay-missing genes decoder-filled
BulkFormer_50M,Hugo,hugo__BulkFormer_50M.npz,8666bf1452085b0f4fd7fca7f832a7269ffd5fc6a93d620d6883a20b37bd0980,16055,26,log1p(TPM); observed values retained; assay-missing genes decoder-filled
BulkFormer_50M,Rose,rose__BulkFormer_50M.npz,8b086914febba917727413c2f95713c3283ced05ca3cc9aa839cd8fe63923748,16055,89,log1p(TPM); observed values retained; assay-missing genes decoder-filled
BulkFormer_93M,Gide,gide__BulkFormer_93M.npz,cd0652598697a3d71d1a2488fda2307afdad161cab95ceecb7a83b7cf89dfd7c,16055,73,log1p(TPM); observed values retained; assay-missing genes decoder-filled
BulkFormer_93M,Riaz,riaz__BulkFormer_93M.npz,86672c62e6f4ec0e6dd5c1fa054b9268de9f57d194a79bce7746392c588b7593,16055,51,log1p(TPM); observed values retained; assay-missing genes decoder-filled
BulkFormer_93M,Hugo,hugo__BulkFormer_93M.npz,46dd2a3fa254a3076649a5f5dde51449f8c8adea869e89592ac965469e84f917,16055,26,log1p(TPM); observed values retained; assay-missing genes decoder-filled
BulkFormer_93M,Rose,rose__BulkFormer_93M.npz,4e58b6bb4c8a105df29463858b55ec96910f2c6f4c42e57ca697f5f8cb87c467,16055,89,log1p(TPM); observed values retained; assay-missing genes decoder-filled
BulkFormer_127M,Gide,gide__BulkFormer_127M.npz,614ccd130205a3e2dad9e71c52e4fab7629ee42f27c761059ce15f279628d998,16055,73,log1p(TPM); observed values retained; assay-missing genes decoder-filled
BulkFormer_127M,Riaz,riaz__BulkFormer_127M.npz,67d7dfc68fe9540e065649c6715d4739c200c997d55d6940c6a96f29bd97b05e,16055,51,log1p(TPM); observed values retained; assay-missing genes decoder-filled
BulkFormer_127M,Hugo,hugo__BulkFormer_127M.npz,49d330e5fe4c24f06d2d881c3198fd510329171496d0dace7cf79aba073a0a3d,16055,26,log1p(TPM); observed values retained; assay-missing genes decoder-filled
BulkFormer_127M,Rose,rose__BulkFormer_127M.npz,1d44a7ad2211dc052abfd18b6ad793826533e69e70457b4a8e8b9456ca9a4901,16055,89,log1p(TPM); observed values retained; assay-missing genes decoder-filled
