signature,requested_genes,available_genes,missing_genes,available_gene_symbols,missing_gene_symbols,cohort
T_cell_inflamed_GEP_Ayers18,18,13,5,CD27;CD274;CD8A;CMKLR1;CXCL9;CXCR6;IDO1;LAG3;NKG7;PDCD1LG2;PSMB10;STAT1;TIGIT,CCL5;HLA-DQA1;HLA-DRB1;HLA-E;TAGAP,Gide
IFNG_6,6,5,1,CXCL9;CXCL10;IDO1;IFNG;STAT1,HLA-DRA,Gide
CYT_Rooney,2,2,0,GZMA;PRF1,,Gide
CD8_effector,8,7,1,CD8A;CXCL9;CXCL10;GZMA;GZMB;IFNG;PRF1,CD8B,Gide
Exhaustion,5,5,0,PDCD1;CTLA4;LAG3;HAVCR2;TIGIT,,Gide
TLS,8,7,1,CCL19;CXCL13;CXCR5;CD79A;MS4A1;MZB1;SDC1,CCL21,Gide
Proliferation,7,7,0,MKI67;PCNA;MCM2;MCM4;MCM6;TOP2A;TYMS,,Gide
Purity_inverse_immune_stromal,8,8,0,PTPRC;CD3D;CD3E;CD8A;COL1A1;COL1A2;DCN;VIM,,Gide
T_cell_inflamed_GEP_Ayers18,18,14,4,CCL5;CD27;CD274;CD8A;CMKLR1;CXCL9;CXCR6;IDO1;LAG3;NKG7;PDCD1LG2;PSMB10;STAT1;TIGIT,HLA-DQA1;HLA-DRB1;HLA-E;TAGAP,Riaz
IFNG_6,6,5,1,CXCL9;CXCL10;IDO1;IFNG;STAT1,HLA-DRA,Riaz
CYT_Rooney,2,2,0,GZMA;PRF1,,Riaz
CD8_effector,8,7,1,CD8A;CXCL9;CXCL10;GZMA;GZMB;IFNG;PRF1,CD8B,Riaz
Exhaustion,5,5,0,PDCD1;CTLA4;LAG3;HAVCR2;TIGIT,,Riaz
TLS,8,7,1,CCL19;CXCL13;CXCR5;CD79A;MS4A1;MZB1;SDC1,CCL21,Riaz
Proliferation,7,7,0,MKI67;PCNA;MCM2;MCM4;MCM6;TOP2A;TYMS,,Riaz
Purity_inverse_immune_stromal,8,8,0,PTPRC;CD3D;CD3E;CD8A;COL1A1;COL1A2;DCN;VIM,,Riaz
T_cell_inflamed_GEP_Ayers18,18,14,4,CCL5;CD27;CD274;CD8A;CMKLR1;CXCL9;CXCR6;IDO1;LAG3;NKG7;PDCD1LG2;PSMB10;STAT1;TIGIT,HLA-DQA1;HLA-DRB1;HLA-E;TAGAP,Hugo
IFNG_6,6,5,1,CXCL9;CXCL10;IDO1;IFNG;STAT1,HLA-DRA,Hugo
CYT_Rooney,2,2,0,GZMA;PRF1,,Hugo
CD8_effector,8,7,1,CD8A;CXCL9;CXCL10;GZMA;GZMB;IFNG;PRF1,CD8B,Hugo
Exhaustion,5,5,0,PDCD1;CTLA4;LAG3;HAVCR2;TIGIT,,Hugo
TLS,8,7,1,CCL19;CXCL13;CXCR5;CD79A;MS4A1;MZB1;SDC1,CCL21,Hugo
Proliferation,7,7,0,MKI67;PCNA;MCM2;MCM4;MCM6;TOP2A;TYMS,,Hugo
Purity_inverse_immune_stromal,8,8,0,PTPRC;CD3D;CD3E;CD8A;COL1A1;COL1A2;DCN;VIM,,Hugo
T_cell_inflamed_GEP_Ayers18,18,14,4,CCL5;CD27;CD274;CD8A;CMKLR1;CXCL9;CXCR6;IDO1;LAG3;NKG7;PDCD1LG2;PSMB10;STAT1;TIGIT,HLA-DQA1;HLA-DRB1;HLA-E;TAGAP,Rose
IFNG_6,6,5,1,CXCL9;CXCL10;IDO1;IFNG;STAT1,HLA-DRA,Rose
CYT_Rooney,2,2,0,GZMA;PRF1,,Rose
CD8_effector,8,7,1,CD8A;CXCL9;CXCL10;GZMA;GZMB;IFNG;PRF1,CD8B,Rose
Exhaustion,5,5,0,PDCD1;CTLA4;LAG3;HAVCR2;TIGIT,,Rose
TLS,8,7,1,CCL19;CXCL13;CXCR5;CD79A;MS4A1;MZB1;SDC1,CCL21,Rose
Proliferation,7,7,0,MKI67;PCNA;MCM2;MCM4;MCM6;TOP2A;TYMS,,Rose
Purity_inverse_immune_stromal,8,8,0,PTPRC;CD3D;CD3E;CD8A;COL1A1;COL1A2;DCN;VIM,,Rose
