term,BRIDGE_OSDR_FT_dynamic,BRIDGE_OSDR_last1_dynamic,BRIDGE_OSDR_original_dynamic,BulkFormer_127M,BulkFormer_147M,BulkFormer_37M,BulkFormer_50M,BulkFormer_93M,ESM2_PCA512_prior,ESM3,Geneformer,Txn_Jatin_OSDR_dynamic,scGPT
cellular protein metabolic process (GO:0044267),0.7249917119506466,0.7299695864623723,0.7291721319745738,0.7172679706530983,0.7076430229038442,0.7183797704330445,0.725046004679745,0.7063094877745267,0.7671946994921466,0.7740264544926033,0.7156879561430061,0.7109721761775036,0.714414719575652
cellular protein modification process (GO:0006464),0.5983103737697288,0.6009075334847671,0.5984403087741375,0.59295277478739,0.6233265771359516,0.5965433845640296,0.6055250284810462,0.5903540746992172,0.8688736528870624,0.8712938509119961,0.6121683859798137,0.5633641549916198,0.5955511124348252
cellular response to cytokine stimulus (GO:0071345),0.7059607454176914,0.6992838496161855,0.699255003899719,0.7033692906283596,0.7366687857173763,0.7001294728889096,0.7087945042253427,0.7169252241367643,0.8164054465150492,0.8050630889102645,0.6825402425480974,0.6834381209456513,0.6994309627701651
cytokine-mediated signaling pathway (GO:0019221),0.7303785905708242,0.7278715671685421,0.7259444560758666,0.7097375742590809,0.7369495593399495,0.7282815375480481,0.7342435402846408,0.7206342400895963,0.8367947789834128,0.8098171903995055,0.7383019430951101,0.7331352078020599,0.725483619332222
negative regulation of apoptotic process (GO:0043066),0.5795591650151148,0.5803067731394954,0.5800517886933507,0.6309796890483299,0.6919827088794952,0.6753771653098856,0.65765408037831,0.6589484057298396,0.674142421258608,0.6522745161371247,0.5838672458073579,0.6250931937772035,0.6219174516764296
negative regulation of cell population proliferation (GO:0008285),0.5734015615708208,0.5823523177119427,0.5762190399178178,0.5944061541791155,0.6096631304892219,0.6035656764727463,0.5989840623719146,0.5892703832971267,0.6593311923067325,0.6488852258046824,0.5555519320010347,0.5917566769962677,0.5993713297613321
negative regulation of cellular macromolecule biosynthetic process (GO:2000113),0.6582357063027777,0.6631405344842751,0.6623598155233406,0.648499146708888,0.6804892132426863,0.6172483543171774,0.6314696979791892,0.6344822291786564,0.7955897816312715,0.7970796966379158,0.6668273746351063,0.6239346102184736,0.6577593531950195
negative regulation of cellular process (GO:0048523),0.5365281861469829,0.538840247327208,0.5345419134735653,0.5865266048144603,0.5822195991373066,0.5908611562839434,0.5924890786034487,0.5890907440016486,0.6136549593648553,0.6269857625661525,0.5508519131402951,0.545833137792215,0.5568145569650386
negative regulation of nucleic acid-templated transcription (GO:1903507),0.6751655723259714,0.6822044772543622,0.6809375596405527,0.63426727901018,0.6678079076774395,0.6117118818193261,0.629336857963105,0.6425706651723536,0.82527094576212,0.8349487548067747,0.6701430764170595,0.6367636548948905,0.6911593920419707
negative regulation of programmed cell death (GO:0043069),0.5786955042054744,0.5779667101835493,0.5787850766550965,0.6387452097300589,0.687566266249077,0.6721672293684592,0.6597463566885113,0.6676282532581979,0.6671263840919329,0.6110286437844983,0.6013187746967887,0.6074544874959016,0.5949414078825193
