library,variant,model,mean_AUROC,mean_AUPRC,terms,AUROC_rank
GO-BP,osdr_common,BulkFormer_147M,0.672569253194921,0.07780125791805056,40,1.0
GO-BP,osdr_common,BRIDGE_OSDR_last1_dynamic,0.6622448503723188,0.08760382100146996,40,2.0
GO-BP,osdr_common,scGPT,0.6617991811596744,0.09032347373028693,40,3.0
GO-BP,osdr_common,BRIDGE_OSDR_original_dynamic,0.6604661205980021,0.08718945995379426,40,4.0
GO-BP,osdr_common,BRIDGE_OSDR_FT_dynamic,0.6588972331028661,0.0854427200978883,40,5.0
GO-BP,osdr_common,BulkFormer_50M,0.6563786617969296,0.07378479251057966,40,6.0
GO-BP,osdr_common,Geneformer,0.6558814154833023,0.09546455561700287,40,7.0
GO-BP,osdr_common,BulkFormer_93M,0.6534422337140835,0.06971084498459527,40,8.0
GO-BP,osdr_common,BulkFormer_127M,0.6511888003982662,0.06901496685821085,40,9.0
GO-BP,osdr_common,BulkFormer_37M,0.6494703689946228,0.07156488296786093,40,10.0
GO-BP,osdr_common,Txn_Jatin_OSDR_dynamic,0.6425493581831654,0.07995372741484232,40,11.0
GO-BP,osdr_esm3_common,ESM2_PCA512_prior,0.7803211798417444,0.2307721948831937,40,1.0
GO-BP,osdr_esm3_common,ESM3,0.7799130537016978,0.24152370178778826,40,2.0
GO-BP,osdr_esm3_common,BulkFormer_147M,0.6725959124331199,0.07780500802979463,40,3.0
GO-BP,osdr_esm3_common,BRIDGE_OSDR_last1_dynamic,0.6622448576320529,0.08760382890718058,40,4.0
GO-BP,osdr_esm3_common,scGPT,0.6617992148791172,0.09032348779329973,40,5.0
GO-BP,osdr_esm3_common,BRIDGE_OSDR_original_dynamic,0.6604661316272058,0.0871894650607381,40,6.0
GO-BP,osdr_esm3_common,BRIDGE_OSDR_FT_dynamic,0.6588972229966009,0.08544268726237855,40,7.0
GO-BP,osdr_esm3_common,BulkFormer_50M,0.6563786389294094,0.0737847741289934,40,8.0
GO-BP,osdr_esm3_common,Geneformer,0.6558814478898657,0.09546454996120007,40,9.0
GO-BP,osdr_esm3_common,BulkFormer_93M,0.6534425712694727,0.06971122207255707,40,10.0
GO-BP,osdr_esm3_common,BulkFormer_127M,0.6511718102260022,0.06901194518085094,40,11.0
GO-BP,osdr_esm3_common,BulkFormer_37M,0.6494703497050832,0.07156489937286242,40,12.0
GO-BP,osdr_esm3_common,Txn_Jatin_OSDR_dynamic,0.6425492850937199,0.07995370564181195,40,13.0
GO-BP,osdr_full,ESM3,0.7816560870658995,0.24422445873755083,40,1.0
GO-BP,osdr_full,ESM2_PCA512_prior,0.7807730020682475,0.23111114527939786,40,2.0
GO-BP,osdr_full,BulkFormer_147M,0.6734069076646095,0.07819173456318483,40,3.0
GO-BP,osdr_full,BRIDGE_OSDR_last1_dynamic,0.6630764915543942,0.08673231216496599,40,4.0
GO-BP,osdr_full,BRIDGE_OSDR_original_dynamic,0.6615634686260019,0.08644693277269873,40,5.0
GO-BP,osdr_full,scGPT,0.6611995123319876,0.090378324204168,40,6.0
GO-BP,osdr_full,BRIDGE_OSDR_FT_dynamic,0.6595979711297628,0.0849660280203788,40,7.0
GO-BP,osdr_full,Geneformer,0.6573129149764501,0.09533521576224092,40,8.0
GO-BP,osdr_full,BulkFormer_50M,0.6566712390843088,0.07363372328020482,40,9.0
GO-BP,osdr_full,BulkFormer_93M,0.6550121324329727,0.0699240612008687,40,10.0
GO-BP,osdr_full,BulkFormer_127M,0.6516318327585794,0.06876138615125942,40,11.0
GO-BP,osdr_full,BulkFormer_37M,0.6502067428081927,0.07157980565498742,40,12.0
GO-BP,osdr_full,Txn_Jatin_OSDR_dynamic,0.6428870739870918,0.07944547902924358,40,13.0
