term,BRIDGE_OSDR_FT_dynamic,BRIDGE_OSDR_last2_dynamic,BRIDGE_OSDR_original_dynamic,BulkFormer_127M,BulkFormer_147M,BulkFormer_37M,BulkFormer_50M,BulkFormer_93M,ESM2_PCA512_prior,ESM3,Geneformer,Txn_Jatin_OSDR_dynamic,scGPT
cellular protein metabolic process (GO:0044267),0.0876391404805558,0.0957705183967619,0.091365343216698,0.0786835406871941,0.0780111762089778,0.0737001928488207,0.0821691331777648,0.0697988802870036,0.16973212151635358,0.21831732187844516,0.209918295749413,0.0862351327638174,0.132021226770335
cellular protein modification process (GO:0006464),0.0973509453438247,0.0978336359559943,0.0988327397352407,0.0900523378316022,0.0968642533142349,0.0923072145561465,0.0913196186930998,0.0881698816542204,0.4233938279176613,0.483087909893991,0.0968564799593642,0.0789719428923524,0.0900006450687111
cellular response to cytokine stimulus (GO:0071345),0.0673509069123517,0.0694216942890359,0.0658534349305574,0.0603788831255225,0.0776469052889478,0.0709409445029732,0.0745726417631998,0.0651598796263038,0.26571743518642144,0.2285851786473154,0.0835004024155039,0.0679168926128817,0.0871734416398929
cytokine-mediated signaling pathway (GO:0019221),0.1130479736148025,0.1137531989199349,0.1131140315161279,0.0728958294393057,0.0968719731355019,0.0957887637568742,0.099006737538098,0.0845941069949781,0.3451212124358352,0.27091401028291684,0.1403998780770153,0.1168284829275554,0.1384578760309422
negative regulation of apoptotic process (GO:0043066),0.0476324180792328,0.048383660138229,0.0474202632407223,0.0484119448726759,0.063776093668527,0.0654997225772307,0.0624821691678394,0.0566030229463447,0.06297777659545176,0.06821303842154136,0.0513024418418812,0.0482359596580122,0.0517994268804717
negative regulation of cell population proliferation (GO:0008285),0.0325084373111109,0.032231715881068,0.0317444400122286,0.0340780230541514,0.033089212479549,0.0375079299286242,0.0314193759986587,0.0321927535262338,0.04777740442874114,0.04971697094295658,0.0385741742388253,0.0309010727043898,0.030989558446919
negative regulation of cellular macromolecule biosynthetic process (GO:2000113),0.0655132128505435,0.0709812506685825,0.0668759834713397,0.0600074781721751,0.0654872165583244,0.0504366018924953,0.0565978795308582,0.0580608174393302,0.1426183643368802,0.15981383838723245,0.0697401488971407,0.0569615915495606,0.0686198918039473
negative regulation of cellular process (GO:0048523),0.0393032037338565,0.0393276719945513,0.0387979133816582,0.0479003758016122,0.0510722833623958,0.0535927299544232,0.0532591568438987,0.0516161249075809,0.053982923266629596,0.06178066868022078,0.0461933131764598,0.0466805529458378,0.0404518164636975
negative regulation of nucleic acid-templated transcription (GO:1903507),0.0615482343317443,0.0650445997300826,0.0638073854897959,0.0496734343319803,0.0669362934781832,0.0415728017504325,0.051516885990044,0.0487779962441233,0.17914479368101494,0.18050086536998594,0.0653061531907132,0.0518893236293341,0.068622961723931
negative regulation of programmed cell death (GO:0043069),0.0319350694457326,0.0329859213510701,0.0323926015949915,0.0538815073532408,0.0542692899989983,0.0558923979334343,0.0560037466502351,0.0518863404559271,0.06015280873190296,0.05527941014856703,0.0443734527011849,0.036060947482057,0.0387331779247452
negative regulation of transcription by RNA polymerase II (GO:0000122),0.0930263670516625,0.095850132289314,0.0933997685213189,0.066378809336802,0.0755016171885204,0.0675746377306711,0.0725926823800699,0.070405531380201,0.23552586044631846,0.2154986656023761,0.1041267696915634,0.0795408421479184,0.0880918160887632
"negative regulation of transcription, DNA-templated (GO:0045892)",0.1311090146247665,0.1375970026830698,0.1378029853566599,0.098256062459917,0.1143256432885549,0.0810194208871425,0.0902376652752677,0.0892596937835788,0.2875708146055942,0.29409832487353715,0.1385602349017216,0.1106076875736899,0.1363491552853259
nervous system development (GO:0007399),0.0656090609260431,0.0658927353398123,0.0639188188515832,0.0504045133737086,0.055837888206063,0.0587625131103357,0.0552047754822715,0.052377311234641,0.08753135282600709,0.10572475209328001,0.0641882560314803,0.0582341844498506,0.0564522383168075
neutrophil activation involved in immune response (GO:0002283),0.1402682685670138,0.1373390458137058,0.1362625520332102,0.1164919891369032,0.1393933095959912,0.1287640932936345,0.1330594227623233,0.1316211285829682,0.09082709738746024,0.0980950284611534,0.1688152180406965,0.1446574523885064,0.1827915965230821
neutrophil degranulation (GO:0043312),0.1337079358074293,0.1344613680224295,0.1375223955925318,0.1094865015925447,0.1380270748563915,0.1294389078005756,0.1312965296868583,0.1279993167594907,0.08746124083479451,0.10112365728563534,0.1571284194004262,0.1460430503795853,0.1919953116845006
neutrophil mediated immunity (GO:0002446),0.1433210220988441,0.1410012936228704,0.1457337532061758,0.1183294438588487,0.1400049245073875,0.1289541141581105,0.1339318570721142,0.1313636878059439,0.1120253875057027,0.09222904403386387,0.1736426507233117,0.1530606884366564,0.1944959127505485
organelle assembly (GO:0070925),0.0580580838263796,0.0560281592757719,0.0538024402665734,0.0403675598142814,0.0469750916108362,0.0367428351804664,0.0429094659880031,0.039681882707408,0.11632971777441611,0.13400220872899254,0.0463168969684248,0.0416329220977892,0.0484829330783588
organelle organization (GO:0006996),0.0359314245277296,0.036267541028415,0.0349090265527478,0.0386779328498023,0.041560279513219,0.0403101115059314,0.0391866862989298,0.0396547876615595,0.08102462617118202,0.08970123688422511,0.0350928309414181,0.0340169429505199,0.037233586961928
phosphorylation (GO:0016310),0.0476052315077317,0.0468224424919354,0.0489492631795359,0.0481112094713232,0.0617840278600633,0.0591570059984265,0.055548591020665,0.05104915526467,0.5772205963567424,0.6325338841247122,0.0450590451493238,0.0376544430255073,0.0474990222598724
positive regulation of cell population proliferation (GO:0008284),0.0518817839044031,0.0538682757610273,0.054101366350569,0.0517359788534813,0.0498089347917276,0.0535501241051295,0.0503539288667466,0.0466558336325154,0.12347357066109876,0.14146245450171588,0.0493121531857509,0.0507480419639895,0.0494521181662286
positive regulation of cellular process (GO:0048522),0.0616564975482769,0.0661391074271097,0.0647557642688551,0.0593968707474456,0.0591425886060282,0.0634115504303979,0.0611253252029,0.0581820815416839,0.09683280780958986,0.10474399157305438,0.0505223381640008,0.0614648693085111,0.0516004443026662
positive regulation of gene expression (GO:0010628),0.0468830079684522,0.0478181189249636,0.0492729430834561,0.0464038202186225,0.0505996845972598,0.0458215444018675,0.0449607494695529,0.0450971647218212,0.09349012445001809,0.09917516061812041,0.0441669827841367,0.0375821244533869,0.0438832692564739
positive regulation of intracellular signal transduction (GO:1902533),0.0569465667995564,0.0591605097994406,0.0620613570322671,0.0496323718691739,0.0562463029761323,0.0556349592345355,0.0564634050630852,0.0512375536784884,0.10571784647825,0.11916323776821938,0.0496481841270266,0.0468292452239198,0.0556657778274899
positive regulation of macromolecule metabolic process (GO:0010604),0.038191500663551,0.0392510246455168,0.040187149214583,0.0328115760647257,0.035663380901188,0.0363090302110391,0.034800374261858,0.033889301241027,0.07650403501505375,0.10532544435917189,0.0328098998398451,0.0321960939371574,0.0353474713285711
positive regulation of nucleic acid-templated transcription (GO:1903508),0.07607781269525,0.0764411755480306,0.0763345751425897,0.0514024606412674,0.0645836624495587,0.0544646275107839,0.0559985415229667,0.051567645071861,0.17669085156632575,0.20591173873943605,0.0871701656474821,0.0591685844078727,0.0759419429602339
positive regulation of protein phosphorylation (GO:0001934),0.0363776164520854,0.0388430055690044,0.0382302304205591,0.0346390721209116,0.0396050845100615,0.0405418269320594,0.0404424984257714,0.0357760393409548,0.19079159672116197,0.21048658869359493,0.0420574451968954,0.0362702390718127,0.0393200093314487
positive regulation of transcription by RNA polymerase II (GO:0045944),0.1378270949421654,0.141351674512023,0.1437755459753013,0.0968071458935633,0.1114283665963814,0.1016146269192537,0.0978074246048063,0.0926966763283773,0.3348186517369337,0.3543542432906933,0.146125393472284,0.121176992100649,0.1383372251692857
"positive regulation of transcription, DNA-templated (GO:0045893)",0.1779941711831227,0.1796663519602613,0.1814797964146486,0.1151095549346479,0.1247850950026438,0.1194779157160809,0.1197610314936095,0.1140840200893996,0.3915911221193595,0.40413775035297245,0.1848103919100195,0.1388742245534945,0.1835967839050932
protein modification by small protein conjugation (GO:0032446),0.0399732117495817,0.0393691124385237,0.0403580228888064,0.0458640819468336,0.0482571542730878,0.04172161070306,0.0436595112584063,0.0418189213530853,0.3525341487915645,0.3727778575381815,0.0501616277994204,0.0369574649031091,0.0483547785714302
protein phosphorylation (GO:0006468),0.0590013378661221,0.058379305038497,0.0592021805686741,0.053101668788532,0.065808781335398,0.0636895242891668,0.0640912237659821,0.0569932438814888,0.6880435931958238,0.7480737173443723,0.0578650048582676,0.0484255575637596,0.0514408835800092
protein ubiquitination (GO:0016567),0.0590964701922237,0.0620822408151564,0.0615265715407464,0.0596706450646045,0.0570491017404705,0.0548642392952051,0.0678777974547676,0.0633156953163595,0.531395530959758,0.5622293570027257,0.0704880884043304,0.0549440472420647,0.0653571608954247
regulation of apoptotic process (GO:0042981),0.0645047097399181,0.0660515006726053,0.0661076035084118,0.087090629788141,0.0872310942733021,0.0872563419194841,0.085869831126668,0.0841313739071823,0.12386412181833827,0.10647840059197959,0.0632341988073243,0.0647926561262542,0.0710151726452112
regulation of cell migration (GO:0030334),0.057020293400996,0.0548943362342955,0.0564514746823312,0.0459011072048935,0.050642418628991,0.0559489608162377,0.0552376554318291,0.0499007527753922,0.1627334654676038,0.18654285597268028,0.0584952263842397,0.0561674784937744,0.0507742468846909
regulation of cell population proliferation (GO:0042127),0.0707432295603904,0.0734361846935876,0.0725946623962107,0.0678857551602811,0.078214979259314,0.0735054638724316,0.0693944717814805,0.0694978959568489,0.11711916980026432,0.11945214914356639,0.0608103556200419,0.0721663951681098,0.0665632500705316
regulation of cellular macromolecule biosynthetic process (GO:2000112),0.0460770079398548,0.0452639532986535,0.045379053604079,0.0391457733530302,0.0363702970915077,0.0319867930512733,0.0334135777141129,0.0331482417144573,0.10495264387338607,0.10718102641193844,0.0445913513228424,0.0467587603182882,0.0424028887589972
regulation of gene expression (GO:0010468),0.1011623373412269,0.1047422463947934,0.1037017506543136,0.0919246343691737,0.0936239388787654,0.0844068015505817,0.0885791726600769,0.0843584677043771,0.16869087779945166,0.20855004718130285,0.1017132499493966,0.0899813189453587,0.1054232208871324
regulation of intracellular signal transduction (GO:1902531),0.0419961188024749,0.0436360807746866,0.0421610850693451,0.0435501409674939,0.0429501381905547,0.0382380561661741,0.044574516079656,0.0448603683965034,0.2653683835412034,0.26954285033079073,0.0453387389535856,0.0464629149263079,0.041999913211406
regulation of transcription by RNA polymerase II (GO:0006357),0.3185326546651649,0.3314564413854288,0.3284818557380224,0.1780575736594453,0.2144483704502777,0.1741106039838547,0.1834987730498551,0.1776980269882569,0.7093897021804699,0.7170320040089393,0.3640717924406531,0.3069930820888307,0.3009524876570427
"regulation of transcription, DNA-templated (GO:0006355)",0.3204305094569548,0.3270559800993565,0.3236717175573994,0.172914884680096,0.2130620737373608,0.1696436027797941,0.1823075268181191,0.1779671498693802,0.7038047783055945,0.7209529945090802,0.3845189767430155,0.3019746304129178,0.3168651697298987
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169),0.0438012369020249,0.0445890734998579,0.0455374646470828,0.0449423231604214,0.0507133801167152,0.0490310829443375,0.052816573835743,0.0438136952627805,0.3005034268795544,0.36618846482854894,0.0464020027832103,0.0417543273443527,0.0505771573246738
