term,BRIDGE_OSDR_FT_dynamic,BRIDGE_OSDR_last3_dynamic,BRIDGE_OSDR_original_dynamic,BulkFormer_127M,BulkFormer_147M,BulkFormer_37M,BulkFormer_50M,BulkFormer_93M,ESM2_PCA512_prior,ESM3,Geneformer,Txn_Jatin_OSDR_dynamic,scGPT
cellular protein metabolic process (GO:0044267),0.09285263191600815,0.10686317061513854,0.09641667368922914,0.08083520349295907,0.07780636643844391,0.07391443323710034,0.0822536835640211,0.07203511045871659,0.1757114934421543,0.2145307423624402,0.21090586548211848,0.09243420206538777,0.13615607647790948
cellular protein modification process (GO:0006464),0.09782135185259518,0.09989007319007355,0.0989313898881907,0.08745427136572487,0.09703663604530369,0.09103720098650603,0.09135463652111965,0.08812203004417486,0.42735774546409383,0.4760825118740776,0.09460422847900507,0.07958050394198679,0.09049232413243777
cellular response to cytokine stimulus (GO:0071345),0.07160884928022206,0.07251693551313279,0.06898006550023462,0.06034345209923638,0.07682861422763641,0.07158681935854663,0.0722690774547824,0.06464763244422682,0.2443136715817003,0.22593897327501972,0.08797040020591437,0.07091658768217968,0.0871416343304646
cytokine-mediated signaling pathway (GO:0019221),0.11616291805870886,0.11808440325059863,0.11615436570550774,0.07373468199309113,0.09962527991285644,0.0971858880535866,0.09977775468338076,0.08485933877522399,0.3436456103209734,0.2812139506921069,0.15008115316788417,0.12233153593053916,0.13502659802464306
negative regulation of apoptotic process (GO:0043066),0.04392279374326971,0.046818772839451656,0.04443174944097733,0.05427113807734889,0.06819382565333139,0.06406553315035698,0.061917070382650305,0.05694860874416667,0.06477981659359336,0.07161649388489133,0.047938488289424354,0.049294392276196454,0.05118425509219359
negative regulation of cell population proliferation (GO:0008285),0.031299301716162575,0.03145657117640934,0.03178646613435669,0.03739393086122621,0.032702937504232706,0.03787669627046296,0.03414549605308524,0.032566706981170424,0.0559542891912625,0.04666263894859747,0.0395181165452501,0.0333344769887347,0.03602019339402496
negative regulation of cellular macromolecule biosynthetic process (GO:2000113),0.06731005983140144,0.07306706527473372,0.06927763819891618,0.05958043957117043,0.06793761280602237,0.050857947391148975,0.05646080765709135,0.053065645354416324,0.13903789888888063,0.1570166925539421,0.07067581504138576,0.05353672212935834,0.0700950178221808
negative regulation of cellular process (GO:0048523),0.039070137702010045,0.03859414666941404,0.038300452132038275,0.045192498763518565,0.04646966263604973,0.04969459864039065,0.05058014460326693,0.04648104386366213,0.053729874790218804,0.061744502519967534,0.04634021961736093,0.045164261694258766,0.0399861568677984
negative regulation of nucleic acid-templated transcription (GO:1903507),0.06260641908649991,0.06793013331437628,0.06493903872417417,0.049049289277914104,0.057289585269509974,0.041495998243719315,0.052326553408075696,0.04843968322465116,0.17510591863645397,0.17564099578998396,0.0668075471645338,0.05393815666117428,0.07171219143325878
negative regulation of programmed cell death (GO:0043069),0.03212629814357375,0.032557592280548726,0.03264540710012066,0.0544483892439362,0.0546220418439359,0.05558485100599215,0.056390309647369866,0.05193540822722266,0.06021235705377931,0.059296311990626634,0.042468159071869696,0.03674529199476444,0.03902535522332402
