term,BRIDGE_OSDR_FT_dynamic,BRIDGE_OSDR_last3_dynamic,BRIDGE_OSDR_original_dynamic,BulkFormer_127M,BulkFormer_147M,BulkFormer_37M,BulkFormer_50M,BulkFormer_93M,ESM2_PCA512_prior,ESM3,Geneformer,Txn_Jatin_OSDR_dynamic,scGPT
cellular protein metabolic process (GO:0044267),0.7230309594287364,0.7321794145257225,0.7266421096942028,0.7115990647555148,0.7084035821628392,0.7193192432882398,0.7253752678086777,0.7053073590084413,0.767733873458122,0.770284649216186,0.7169998302778553,0.7123146121177775,0.7138146200954252
cellular protein modification process (GO:0006464),0.5996975848830413,0.6017544597188941,0.6000643705719805,0.6022145557998672,0.6254915706778967,0.5989543721680235,0.6055557580015106,0.5940580836232806,0.8693904699917978,0.8700547589683987,0.6150935430078145,0.5603516152086325,0.5968415251644562
cellular response to cytokine stimulus (GO:0071345),0.7020067996709765,0.6935175067725476,0.6972348521331727,0.7144855565188604,0.7375366637103178,0.6989891943782864,0.7092217051379575,0.718412075190917,0.8192235763850827,0.8042713153317147,0.6825613127284039,0.68437171682282,0.7001156979872101
cytokine-mediated signaling pathway (GO:0019221),0.7251520543536462,0.723248259794707,0.7216727118151679,0.7095783535942892,0.7374569816388973,0.7271056313436861,0.7336866577104374,0.7213967934938448,0.8385509108820685,0.8090597690020848,0.7362921451519191,0.7442206173029381,0.7304457186806161
negative regulation of apoptotic process (GO:0043066),0.589075886980996,0.593753798114243,0.5914201586882614,0.6244648373074119,0.6896870080649956,0.6764695066801448,0.6583596481070576,0.6566911767007063,0.6713283457839508,0.6504978812564743,0.5925988787527807,0.6288861719671027,0.6173451784816136
negative regulation of cell population proliferation (GO:0008285),0.5786468228448935,0.5841166130760985,0.581189281886388,0.5838965303654472,0.6047770152687516,0.5954646006823254,0.5874027882923184,0.6037142000373608,0.6539784290784675,0.654991348035119,0.5560520594089726,0.5810974123411422,0.587700812607732
negative regulation of cellular macromolecule biosynthetic process (GO:2000113),0.6599171668154244,0.6663921846794381,0.6630132468531853,0.6462201084030421,0.6792734898418179,0.6158336086429236,0.631323023578194,0.6323292343182173,0.7984540079404345,0.7924493792488647,0.6668577396329828,0.6296740679085537,0.6536887456553032
negative regulation of cellular process (GO:0048523),0.5338270078122889,0.535762340172465,0.534343997513043,0.5955564737289061,0.6121954399710776,0.6031589490715772,0.5987975503962869,0.6073025826165513,0.6106769261249575,0.6269581716534487,0.5634186704241343,0.5547466750466304,0.555080180336838
negative regulation of nucleic acid-templated transcription (GO:1903507),0.6760938782687902,0.6882808568365315,0.6839807501087942,0.6369730473207802,0.6876675728161635,0.613685288930387,0.6302255566578483,0.6453818796036932,0.8278478057889822,0.8362544091710757,0.6775612833584957,0.6365395820519116,0.6920508654317739
negative regulation of programmed cell death (GO:0043069),0.5810140612949812,0.5806485302401367,0.5804145616865619,0.6406000929802315,0.6871263013348281,0.6726438534449892,0.659218846543179,0.6671678197569846,0.6670552395794616,0.6083732403371669,0.5957625642188713,0.6034457664955597,0.5932070874028892
negative regulation of transcription by RNA polymerase II (GO:0000122),0.7070301184707309,0.7133849402736658,0.7088843689089204,0.622218539387913,0.677037374630182,0.6356352582280657,0.6384546213432524,0.6600571299672228,0.8334642274027425,0.8317231674830282,0.701756961935202,0.6727779987136622,0.6986176295509162
"negative regulation of transcription, DNA-templated (GO:0045892)",0.7008798596154645,0.7077967235786347,0.7054705602475042,0.6453901689268442,0.681986324108045,0.6101614055313564,0.625953201378052,0.6445748665098575,0.8296560825409799,0.8342026492612653,0.7072332620905721,0.666453497622628,0.7128345047034458
