model,term,auroc,auprc,n_pos,variant,is_fallback,control,library
BulkFormer_127M,regulation of transcription by RNA polymerase II (GO:0006357),0.6371303257997258,0.1802238686284776,1491,osdr_common,False,real,GO-BP
BulkFormer_127M,"regulation of transcription, DNA-templated (GO:0006355)",0.628935834942195,0.169957774973024,1468,osdr_common,False,real,GO-BP
BulkFormer_127M,"positive regulation of transcription, DNA-templated (GO:0045893)",0.6185594482377251,0.1119459937993248,989,osdr_common,False,real,GO-BP
BulkFormer_127M,cellular protein modification process (GO:0006464),0.5929525935670212,0.087454249230121,881,osdr_common,False,real,GO-BP
BulkFormer_127M,regulation of gene expression (GO:0010468),0.6089467941595581,0.0864995863726678,793,osdr_common,False,real,GO-BP
BulkFormer_127M,positive regulation of transcription by RNA polymerase II (GO:0045944),0.6362208970487606,0.0945827394492706,771,osdr_common,False,real,GO-BP
BulkFormer_127M,"negative regulation of transcription, DNA-templated (GO:0045892)",0.6470909715722284,0.1010771039231626,717,osdr_common,False,real,GO-BP
BulkFormer_127M,regulation of cell population proliferation (GO:0042127),0.6069133860343714,0.0681601717153841,623,osdr_common,False,real,GO-BP
BulkFormer_127M,regulation of apoptotic process (GO:0042981),0.6418951143669281,0.0826560101716026,606,osdr_common,False,real,GO-BP
BulkFormer_127M,positive regulation of cellular process (GO:0048522),0.6269712992400744,0.0595814072506672,512,osdr_common,False,real,GO-BP
BulkFormer_127M,negative regulation of transcription by RNA polymerase II (GO:0000122),0.6254695849201428,0.0663010797810498,504,osdr_common,False,real,GO-BP
BulkFormer_127M,negative regulation of cellular process (GO:0048523),0.5865277950647463,0.0451930032503762,454,osdr_common,False,real,GO-BP
BulkFormer_127M,protein phosphorylation (GO:0006468),0.6425669032245092,0.0535352159280391,449,osdr_common,False,real,GO-BP
BulkFormer_127M,positive regulation of intracellular signal transduction (GO:1902533),0.614971461941529,0.0501265702003927,446,osdr_common,False,real,GO-BP
BulkFormer_127M,negative regulation of cellular macromolecule biosynthetic process (GO:2000113),0.6484987969635813,0.0595798398992636,441,osdr_common,False,real,GO-BP
BulkFormer_127M,positive regulation of nucleic acid-templated transcription (GO:1903508),0.6303352386367815,0.0522861654622474,436,osdr_common,False,real,GO-BP
BulkFormer_127M,cytokine-mediated signaling pathway (GO:0019221),0.7097377530512219,0.0737346995563892,431,osdr_common,False,real,GO-BP
BulkFormer_127M,protein ubiquitination (GO:0016567),0.663535662956282,0.0573574207768921,420,osdr_common,False,real,GO-BP
BulkFormer_127M,positive regulation of gene expression (GO:0010628),0.6103835409952477,0.0427180611307697,397,osdr_common,False,real,GO-BP
BulkFormer_127M,negative regulation of apoptotic process (GO:0043066),0.6309775331460181,0.0542697316401979,392,osdr_common,False,real,GO-BP
BulkFormer_127M,positive regulation of cell population proliferation (GO:0008284),0.6661157443728416,0.0534577065052847,391,osdr_common,False,real,GO-BP
BulkFormer_127M,regulation of intracellular signal transduction (GO:1902531),0.6258234638254703,0.0433310246800012,382,osdr_common,False,real,GO-BP
BulkFormer_127M,nervous system development (GO:0007399),0.679409028734385,0.0555405290571649,381,osdr_common,False,real,GO-BP
BulkFormer_127M,negative regulation of nucleic acid-templated transcription (GO:1903507),0.6342611880601136,0.0490489790854753,378,osdr_common,False,real,GO-BP
BulkFormer_127M,neutrophil mediated immunity (GO:0002446),0.8064630847244302,0.119502140598962,362,osdr_common,False,real,GO-BP
BulkFormer_127M,transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169),0.6335562436000082,0.0422088111418752,361,osdr_common,False,real,GO-BP
BulkFormer_127M,neutrophil activation involved in immune response (GO:0002283),0.8042578316869071,0.1177755180668592,359,osdr_common,False,real,GO-BP
BulkFormer_127M,phosphorylation (GO:0016310),0.6523461546694064,0.0493319478589069,358,osdr_common,False,real,GO-BP
BulkFormer_127M,neutrophil degranulation (GO:0043312),0.8019413271718656,0.1155339468563569,356,osdr_common,False,real,GO-BP
BulkFormer_127M,cellular response to cytokine stimulus (GO:0071345),0.7033706219691196,0.0603436390146136,345,osdr_common,False,real,GO-BP
BulkFormer_127M,organelle organization (GO:0006996),0.6291455929591782,0.0396175675801396,343,osdr_common,False,real,GO-BP
BulkFormer_127M,regulation of cell migration (GO:0030334),0.6758604376636665,0.0446996484076729,343,osdr_common,False,real,GO-BP
BulkFormer_127M,organelle assembly (GO:0070925),0.6328849012065046,0.0431573033587867,336,osdr_common,False,real,GO-BP
BulkFormer_127M,regulation of cellular macromolecule biosynthetic process (GO:2000112),0.6167713558356074,0.0390551906770395,324,osdr_common,False,real,GO-BP
BulkFormer_127M,negative regulation of programmed cell death (GO:0043069),0.6387452097300589,0.0544483892439362,319,osdr_common,False,real,GO-BP
BulkFormer_127M,cellular protein metabolic process (GO:0044267),0.717267850536441,0.0808351828111635,318,osdr_common,False,real,GO-BP
BulkFormer_127M,positive regulation of protein phosphorylation (GO:0001934),0.6407415679495064,0.037045907459986,316,osdr_common,False,real,GO-BP
BulkFormer_127M,protein modification by small protein conjugation (GO:0032446),0.6593228660898407,0.0454127503293124,315,osdr_common,False,real,GO-BP
BulkFormer_127M,positive regulation of macromolecule metabolic process (GO:0010604),0.6262421845212829,0.0356176166966565,311,osdr_common,False,real,GO-BP
BulkFormer_127M,negative regulation of cell population proliferation (GO:0008285),0.5944044247553668,0.0373941817589205,309,osdr_common,False,real,GO-BP
BulkFormer_147M,regulation of transcription by RNA polymerase II (GO:0006357),0.6760964657909134,0.2152522361463323,1491,osdr_common,False,real,GO-BP
BulkFormer_147M,"regulation of transcription, DNA-templated (GO:0006355)",0.6723149980145962,0.2116955490411855,1468,osdr_common,False,real,GO-BP
BulkFormer_147M,"positive regulation of transcription, DNA-templated (GO:0045893)",0.6552057331508173,0.1294276182619551,989,osdr_common,False,real,GO-BP
BulkFormer_147M,cellular protein modification process (GO:0006464),0.6233281175090861,0.0970382220936099,881,osdr_common,False,real,GO-BP
BulkFormer_147M,regulation of gene expression (GO:0010468),0.612324346154096,0.0862535925236897,793,osdr_common,False,real,GO-BP
BulkFormer_147M,positive regulation of transcription by RNA polymerase II (GO:0045944),0.6777823998393945,0.112223881993184,771,osdr_common,False,real,GO-BP
BulkFormer_147M,"negative regulation of transcription, DNA-templated (GO:0045892)",0.6809624255188256,0.1146477235131409,717,osdr_common,False,real,GO-BP
BulkFormer_147M,regulation of cell population proliferation (GO:0042127),0.6398114011767653,0.0779060495234308,623,osdr_common,False,real,GO-BP
BulkFormer_147M,regulation of apoptotic process (GO:0042981),0.6578807818291594,0.0869955954130081,606,osdr_common,False,real,GO-BP
BulkFormer_147M,positive regulation of cellular process (GO:0048522),0.6367419221560948,0.0612123189591211,512,osdr_common,False,real,GO-BP
BulkFormer_147M,negative regulation of transcription by RNA polymerase II (GO:0000122),0.6792070749564549,0.0800984899076174,504,osdr_common,False,real,GO-BP
BulkFormer_147M,negative regulation of cellular process (GO:0048523),0.5822211294591026,0.0464697456873739,454,osdr_common,False,real,GO-BP
BulkFormer_147M,protein phosphorylation (GO:0006468),0.6804716124573801,0.0642094829606671,449,osdr_common,False,real,GO-BP
BulkFormer_147M,positive regulation of intracellular signal transduction (GO:1902533),0.6426360634708008,0.0558301883227182,446,osdr_common,False,real,GO-BP
BulkFormer_147M,negative regulation of cellular macromolecule biosynthetic process (GO:2000113),0.6804895629879931,0.0679376425582408,441,osdr_common,False,real,GO-BP
BulkFormer_147M,positive regulation of nucleic acid-templated transcription (GO:1903508),0.6823889563123963,0.0644638252558392,436,osdr_common,False,real,GO-BP
BulkFormer_147M,cytokine-mediated signaling pathway (GO:0019221),0.73694964873602,0.0996252799128564,431,osdr_common,False,real,GO-BP
BulkFormer_147M,protein ubiquitination (GO:0016567),0.6681530203704518,0.0584599120839247,420,osdr_common,False,real,GO-BP
BulkFormer_147M,positive regulation of gene expression (GO:0010628),0.6233508674214242,0.0486001504899469,397,osdr_common,False,real,GO-BP
BulkFormer_147M,negative regulation of apoptotic process (GO:0043066),0.6919829048706145,0.0681936986693443,392,osdr_common,False,real,GO-BP
BulkFormer_147M,positive regulation of cell population proliferation (GO:0008284),0.6531052153518702,0.0514126641664516,391,osdr_common,False,real,GO-BP
BulkFormer_147M,regulation of intracellular signal transduction (GO:1902531),0.6184600191481716,0.0421968672962953,382,osdr_common,False,real,GO-BP
BulkFormer_147M,nervous system development (GO:0007399),0.6888308090988895,0.0580891784692387,381,osdr_common,False,real,GO-BP
BulkFormer_147M,negative regulation of nucleic acid-templated transcription (GO:1903507),0.6678079076774397,0.0572897499877975,378,osdr_common,False,real,GO-BP
BulkFormer_147M,neutrophil mediated immunity (GO:0002446),0.8176585952130286,0.1341613323152519,362,osdr_common,False,real,GO-BP
BulkFormer_147M,transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169),0.6567922875043498,0.0475101675632022,361,osdr_common,False,real,GO-BP
BulkFormer_147M,neutrophil activation involved in immune response (GO:0002283),0.8170504105908072,0.1400662288054146,359,osdr_common,False,real,GO-BP
BulkFormer_147M,phosphorylation (GO:0016310),0.6870722832252402,0.0621625196179956,358,osdr_common,False,real,GO-BP
BulkFormer_147M,neutrophil degranulation (GO:0043312),0.8172842338511124,0.1360333176054537,356,osdr_common,False,real,GO-BP
BulkFormer_147M,cellular response to cytokine stimulus (GO:0071345),0.7366707827285163,0.0768224337901499,345,osdr_common,False,real,GO-BP
BulkFormer_147M,organelle organization (GO:0006996),0.6307190220683976,0.03845355194211,343,osdr_common,False,real,GO-BP
BulkFormer_147M,regulation of cell migration (GO:0030334),0.7068695544479887,0.0536779042739075,343,osdr_common,False,real,GO-BP
BulkFormer_147M,organelle assembly (GO:0070925),0.6453554398350528,0.0440706327962884,336,osdr_common,False,real,GO-BP
BulkFormer_147M,regulation of cellular macromolecule biosynthetic process (GO:2000112),0.6007320693260263,0.0352481252251106,324,osdr_common,False,real,GO-BP
BulkFormer_147M,negative regulation of programmed cell death (GO:0043069),0.6875655477534917,0.0546219747668758,319,osdr_common,False,real,GO-BP
BulkFormer_147M,cellular protein metabolic process (GO:0044267),0.7076425424372151,0.0778063200918671,318,osdr_common,False,real,GO-BP
BulkFormer_147M,positive regulation of protein phosphorylation (GO:0001934),0.6234302907950356,0.0364642074326523,316,osdr_common,False,real,GO-BP
BulkFormer_147M,protein modification by small protein conjugation (GO:0032446),0.6722964773373389,0.0481057100186148,315,osdr_common,False,real,GO-BP
BulkFormer_147M,positive regulation of macromolecule metabolic process (GO:0010604),0.6574648179168692,0.0386133359846578,311,osdr_common,False,real,GO-BP
BulkFormer_147M,negative regulation of cell population proliferation (GO:0008285),0.6096623893076153,0.0327028912555006,309,osdr_common,False,real,GO-BP
BulkFormer_37M,regulation of transcription by RNA polymerase II (GO:0006357),0.6176982456401018,0.1752613163253978,1491,osdr_common,False,real,GO-BP
BulkFormer_37M,"regulation of transcription, DNA-templated (GO:0006355)",0.6177195582818725,0.1695850665252566,1468,osdr_common,False,real,GO-BP
BulkFormer_37M,"positive regulation of transcription, DNA-templated (GO:0045893)",0.6117420459908824,0.1199109362241273,989,osdr_common,False,real,GO-BP
BulkFormer_37M,cellular protein modification process (GO:0006464),0.5965435657843983,0.0910372728160729,881,osdr_common,False,real,GO-BP
BulkFormer_37M,regulation of gene expression (GO:0010468),0.5953927023964645,0.0846373746591234,793,osdr_common,False,real,GO-BP
BulkFormer_37M,positive regulation of transcription by RNA polymerase II (GO:0045944),0.619797627599435,0.101731397428789,771,osdr_common,False,real,GO-BP
BulkFormer_37M,"negative regulation of transcription, DNA-templated (GO:0045892)",0.6099616822868467,0.0815552883920625,717,osdr_common,False,real,GO-BP
BulkFormer_37M,regulation of cell population proliferation (GO:0042127),0.6123342525569503,0.07338681543588,623,osdr_common,False,real,GO-BP
BulkFormer_37M,regulation of apoptotic process (GO:0042981),0.6441856496226095,0.0873711332296733,606,osdr_common,False,real,GO-BP
BulkFormer_37M,positive regulation of cellular process (GO:0048522),0.6211640237282878,0.0623789001389726,512,osdr_common,False,real,GO-BP
