term,BRIDGE,BulkFormer_127M,BulkFormer_147M,BulkFormer_37M,BulkFormer_50M,BulkFormer_93M,ESM2_PCA512_prior,ESM3,Geneformer,Txn_Jatin,Txn_Jatin_contextual,scGPT
GO:0000086,0.3,0.3,0.2,0.2,0.2,0.1,0.5,0.4,0.3,0.5,0.5,0.3
GO:0000381,0.4,0.3,0.2,0.2,0.2,0.2,0.5,0.4,0.3,0.5,0.5,0.3
GO:0000724,0.3,0.4,0.4,0.2,0.3,0.3,0.7,0.8,0.4,0.7,0.7,0.4
GO:0001578,0.7,0.2,0.2,0.1,0.3,0.3,0.6,0.5,0.9,0.6,0.6,0.9
GO:0001649,0.3,0.0,0.1,0.2,0.4,0.1,0.4,0.5,0.4,0.5,0.5,0.4
GO:0001654,0.7,0.6,0.6,0.5,0.5,0.5,0.8,0.8,0.6,0.8,0.8,0.8
GO:0001666,0.6,0.5,0.4,0.6,0.1,0.5,0.5,0.5,0.4,0.6,0.3,0.6
GO:0001837,0.4,0.1,0.5,0.4,0.2,0.3,0.5,0.6,0.4,0.5,0.6,0.6
GO:0001938,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.1
GO:0006325,0.7,0.8,0.8,0.7,0.8,0.7,1.0,1.0,0.5,0.9,0.9,0.7
GO:0006400,0.6,0.4,0.5,0.3,0.5,0.4,0.6,0.7,0.6,0.6,0.7,0.6
GO:0006402,0.6,0.5,0.6,0.4,0.5,0.6,0.9,0.6,0.3,1.0,0.9,0.5
GO:0006487,0.5,0.5,0.3,0.2,0.4,0.3,0.7,0.6,0.2,0.7,0.7,0.6
GO:0006493,0.5,0.4,0.0,0.1,0.0,0.3,1.0,1.0,0.3,1.0,1.0,0.4
GO:0006631,0.7,0.5,0.2,0.3,0.3,0.5,0.9,0.7,0.8,0.9,0.8,0.6
GO:0006693,0.2,0.1,0.3,0.3,0.2,0.2,0.4,0.4,0.2,0.4,0.4,0.2
GO:0006813,0.6,0.3,0.3,0.1,0.3,0.2,1.0,1.0,0.5,1.0,1.0,0.4
GO:0006879,0.4,0.1,0.1,0.1,0.2,0.2,0.1,0.3,0.1,0.1,0.2,0.3
GO:0006888,0.5,0.4,0.5,0.4,0.5,0.4,0.5,0.7,0.7,0.7,0.6,0.6
GO:0007189,0.5,0.0,0.4,0.3,0.3,0.2,1.0,1.0,0.8,1.0,1.0,0.6
GO:0007283,0.7,0.6,0.7,0.4,0.7,0.8,0.8,0.6,0.9,0.6,0.5,0.8
GO:0007399,1.0,0.7,0.9,0.9,1.0,0.9,1.0,1.0,0.9,1.0,1.0,0.8
GO:0007601,0.7,0.4,0.3,0.2,0.4,0.4,0.7,0.4,0.9,0.7,0.6,0.9
GO:0007605,0.0,0.3,0.2,0.1,0.2,0.1,0.6,0.2,0.2,0.6,0.6,0.1
