gene_symbol,discovery_variance,discovery_detection_rate,panel_score,excluded_signature_gene
SFTPB,12.36846,0.36935086277732126,7.516837770193276,False
AGR2,7.535697,0.7255546425636812,6.418868660430951,False
KRT19,6.7413387,0.9026294165981923,6.404730956445146,False
KRT17,6.7462935,0.8401807723911258,6.183745445655412,False
TFF1,7.933985,0.5373870172555464,5.816141620757477,False
SLPI,6.028814,0.9170090386195563,5.7732276357836865,False
AZGP1,5.880063,0.9202958093672966,5.640864993962651,False
SLC34A2,6.5515404,0.7329498767460969,5.608936971948879,False
KRT14,6.920994,0.6076417419884963,5.395010081209735,False
PMEL,5.6329603,0.8952341824157765,5.329727687232975,False
CXCL17,6.3970027,0.6676253081347576,5.226884813597205,False
CRABP2,5.254133,0.9732949876746096,5.183502639645543,False
AGR3,6.3152933,0.6668036154478225,5.156944993269492,False
S100A14,5.344303,0.9009860312243221,5.0728277091894345,False
GATA3,5.2758555,0.9120788824979458,5.038590875421954,False
SFN,5.1180134,0.9141331142152835,4.893348397127871,False
SPDEF,5.7814684,0.6754313886606409,4.7514785743142705,False
LTF,5.0375013,0.8804437140509449,4.7267863513567985,False
TFF3,4.9257493,0.9124897288414133,4.7052889321353355,False
KRT7,4.999262,0.8562037797863599,4.625880991229255,False
SFTPC,7.6693764,0.35373870172555466,4.5614334183096785,False
PIGR,5.1828556,0.7612982744453575,4.522166332135732,False
TACSTD2,4.64211,0.9474116680361545,4.518401089881796,False
APOD,4.510632,0.9872637633525062,4.481815752804014,False
RAB25,4.980736,0.7871815940838126,4.4190708955351745,False
SCGB3A1,5.1429734,0.6996713229252259,4.30190996819502,False
FOXA1,5.0232153,0.7074774034511093,4.225110571276032,False
KRT16,5.43772,0.5969597370583402,4.201354686259824,False
KRT15,4.7636895,0.7206244864420707,4.043877166796991,False
NAPSA,5.639987,0.5086277732128184,4.022334071546787,False
PDZK1IP1,4.222106,0.8788003286770748,3.9579858364274623,False
CXCL14,3.9607065,0.9622021364009861,3.8851323368555173,False
GPX2,4.803234,0.6470829909613804,3.8637920622811452,False
LCN2,4.439278,0.743631881676253,3.8281712329635766,False
EPCAM,4.0350084,0.8915365653245686,3.809903945065006,False
SFRP2,3.7990034,0.9626129827444536,3.7273101788051473,False
SFRP1,4.144616,0.7982744453574363,3.703057245814918,True
S100B,3.9325025,0.8788003286770748,3.68649894224669,False
S100A8,3.704587,0.981101068200493,3.669413637009137,False
FABP4,3.9795227,0.8471651602300739,3.662815391194996,False
VTCN1,4.379993,0.6676253081347576,3.578819609830793,False
EFHD1,3.5707483,0.9823336072308957,3.5390666592117603,False
MSLN,4.7339883,0.5542317173377157,3.5242999746146837,False
PKP1,4.1150227,0.7103533278553821,3.4682423792790718,True
JCHAIN,3.50222,0.9790468364831553,3.465334382085554,False
ELAPOR1,3.9781961,0.7555464256368118,3.457934556929213,False
EHF,3.765377,0.7888249794576828,3.3442504797328776,False
MAL2,3.5280159,0.8923582580115037,3.332730157085618,False
CLDN3,3.5352998,0.8800328677074774,3.316467091608715,False
CP,3.6504343,0.8196384552177486,3.3048799951140206,True
CRYAB,3.2803662,0.9938373048479868,3.270242612720205,False
SLC44A4,3.497498,0.842645850451931,3.2105543216737966,False
PRR15L,3.554527,0.8130649137222679,3.205121024624827,False
SOX10,5.1803637,0.3689400164338537,3.146575299431058,False
MMP7,3.3073297,0.8882497945768283,3.117059144025131,False
STC2,3.1408217,0.9585045193097781,3.0749663291645337,True
MLPH,3.2321913,0.9042728019720625,3.0735960864451055,False
ANGPTL4,3.0825531,0.9917830731306492,3.0698624680024724,True
AQP3,3.0824978,0.9835661462612982,3.0570642500487173,False
LAMC2,3.2609653,0.8681183237469187,3.0383349221283766,True
GPRC5A,3.1270158,0.9285127362366475,3.0131726189374,False
COMP,3.2535808,0.8500410846343468,2.9997257841055722,True
BPIFB1,3.9196029,0.5850451930977815,2.998035525817248,False
TSPAN1,3.0699131,0.942481511914544,2.980317334701599,False
SCNN1A,3.1697865,0.8726376335250616,2.961058409266558,False
SFTA2,4.935599,0.3504519309778143,2.921824208229166,False
DSP,3.0009236,0.9478225143796221,2.921584515667834,False
ESR1,3.6151187,0.6524239934264585,2.9200314484063083,False
KRT8,2.9694746,0.9663105998356615,2.9190261111616245,False
GFRA1,3.5613818,0.6709120788824979,2.9171001691175773,False
GPX3,2.882094,1.0,2.882093906402588,True
NECTIN4,3.1925604,0.8023829087921117,2.859762465921813,False
SERPINB5,3.8625205,0.5443714050944947,2.8498266582932645,False
PRSS8,3.0297036,0.8837304847986853,2.8481316743641396,False
PDK4,2.8690197,0.9691865242399342,2.8244716560924865,False
LYPD3,2.969588,0.8898931799506984,2.8013356283403628,False
SCUBE2,3.1646764,0.7822514379622021,2.7989974144223804,False
MGP,2.7870152,0.9995891536565324,2.7864426233430066,True
CLIC6,3.063615,0.8233360723089564,2.779859016394355,False
TRIM29,3.4792306,0.637633525061627,2.7782338030314118,False
MMP11,2.7983546,0.9839769926047658,2.775845065445778,False
AREG,2.910349,0.8903040262941659,2.746086568674639,True
AP1M2,2.9125767,0.8804437140509449,2.7329278467056346,False
MMP12,3.3801172,0.6503697617091208,2.72591259718044,False
LAMB3,2.7135184,0.990139687756779,2.700107170280422,True
PKP3,3.003696,0.8060805258833197,2.696777932217873,False
PGC,4.536226,0.3533278553820871,2.6963955553738845,False
CCL19,2.8372984,0.9022185702547247,2.695013177574632,False
CYP4B1,3.2622774,0.6705012325390304,2.671287752941121,False
NPY1R,3.439137,0.6031224322103533,2.6708667104362585,False
PPP1R1B,3.285939,0.6589975349219392,2.667481334099443,False
SOX2,3.8548748,0.47699260476581756,2.6623558695154492,False
MAOB,2.7072866,0.9622021364009861,2.6556289322921143,False
COL11A1,3.0804148,0.7423993426458505,2.6541654204181544,True
TRPS1,2.7010384,0.9650780608052588,2.6534565077598535,False
PROM2,2.9338334,0.8105998356614627,2.6414275202671087,False
EDNRB,2.6775699,0.971240755957272,2.6387865446177745,False
COL17A1,3.3473904,0.6199671322925226,2.635667982797367,False
BHMT2,3.157104,0.6926869350862778,2.6275887198254066,False
SPP1,2.6263516,0.9991783073130649,2.6252723462272396,True
CLDN1,2.6771328,0.9564502875924404,2.618189780522244,False
CILP,3.0167227,0.752670501232539,2.617205570379344,False
MARCO,2.9024036,0.8085456039441249,2.6098170443648385,True
FGG,4.131969,0.39605587510271156,2.600370807965117,False
EEF1A2,3.2120562,0.652013147082991,2.5936496208327147,False
