signature,gene_symbol
Apoptosis,CASP3
Apoptosis,CASP9
Apoptosis,DFFA
Apoptosis,CASP7
Apoptosis,CFLAR
Apoptosis,BIRC3
Apoptosis,CASP8
Apoptosis,JUN
Apoptosis,BCL2L11
Apoptosis,MCL1
Apoptosis,IL1B
Apoptosis,SPTAN1
Apoptosis,DIABLO
Apoptosis,BAX
Apoptosis,IL1A
Apoptosis,BID
Apoptosis,CDKN1A
Apoptosis,GADD45A
Apoptosis,DDIT3
Apoptosis,CDKN1B
Apoptosis,TNF
Apoptosis,GSN
Apoptosis,TNFSF10
Apoptosis,CASP6
Apoptosis,SQSTM1
Apoptosis,EGR3
Apoptosis,CD44
Apoptosis,IL18
Apoptosis,IGFBP6
Apoptosis,PRF1
Apoptosis,DAP
Apoptosis,CCND1
Apoptosis,BTG3
Apoptosis,F2R
Apoptosis,SATB1
Apoptosis,BNIP3L
Apoptosis,TNFRSF12A
Apoptosis,CREBBP
Apoptosis,RHOB
Apoptosis,GPX3
Apoptosis,PDGFRB
Apoptosis,TSPO
Apoptosis,CCND2
Apoptosis,TIMP1
Apoptosis,CTNNB1
Apoptosis,IRF1
Apoptosis,HSPB1
Apoptosis,ADD1
Apoptosis,TIMP2
Apoptosis,BTG2
Apoptosis,TIMP3
Apoptosis,LEF1
Apoptosis,GPX1
Apoptosis,BCL10
Apoptosis,IGF2R
Apoptosis,CDC25B
Apoptosis,AIFM3
Apoptosis,CD38
Apoptosis,PPP3R1
Apoptosis,HGF
Apoptosis,CLU
Apoptosis,ATF3
Apoptosis,LGALS3
Apoptosis,LUM
Apoptosis,LMNA
Apoptosis,GADD45B
Apoptosis,CDK2
Apoptosis,RETSAT
Apoptosis,SMAD7
Apoptosis,SOD1
Apoptosis,PTK2
Apoptosis,ENO2
Apoptosis,HMOX1
Apoptosis,IER3
Apoptosis,CD2
Apoptosis,GCH1
Apoptosis,MMP2
Apoptosis,VDAC2
Apoptosis,TAP1
Apoptosis,PLAT
Apoptosis,IFNGR1
Apoptosis,APP
Apoptosis,BRCA1
Apoptosis,ROCK1
Apoptosis,PSEN1
Apoptosis,DCN
Apoptosis,PSEN2
Apoptosis,SOD2
Apoptosis,BMF
Apoptosis,EREG
Apoptosis,KRT18
Apoptosis,TGFB2
Apoptosis,RELA
Apoptosis,WEE1
Apoptosis,RARA
Apoptosis,CD14
Apoptosis,CD69
Apoptosis,DNAJC3
Apoptosis,CASP2
Apoptosis,CTH
Apoptosis,PLCB2
Apoptosis,BMP2
Apoptosis,HMGB2
Apoptosis,PLPPR4
Apoptosis,TGFBR3
Apoptosis,EBP
Apoptosis,TXNIP
Apoptosis,RHOT2
Apoptosis,CYLD
Apoptosis,GSR
Apoptosis,BGN
Apoptosis,BCL2L1
Apoptosis,GNA15
Apoptosis,MGMT
Apoptosis,F2
Apoptosis,SC5D
Apoptosis,RNASEL
Apoptosis,EMP1
Apoptosis,CAV1
Apoptosis,DNM1L
Apoptosis,ANXA1
Apoptosis,TOP2A
Apoptosis,SLC20A1
Apoptosis,MADD
Apoptosis,PPP2R5B
Apoptosis,BCAP31
Apoptosis,ERBB3
Apoptosis,NEDD9
Apoptosis,SAT1
Apoptosis,PDCD4
Apoptosis,BCL2L2
Apoptosis,FEZ1
Apoptosis,ERBB2
Apoptosis,DNAJA1
Apoptosis,DAP3
Apoptosis,DPYD
Apoptosis,NEFH
Apoptosis,PAK1
Apoptosis,GPX4
Apoptosis,ETF1
Apoptosis,CCNA1
Apoptosis,AVPR1A
DNA Repair,POLR2H
DNA Repair,POLR2A
DNA Repair,POLR2G
DNA Repair,POLR2E
DNA Repair,POLR2F
DNA Repair,POLR2C
DNA Repair,POLR2K
DNA Repair,GTF2H3
DNA Repair,POLR2D
DNA Repair,ERCC3
DNA Repair,DDB2
DNA Repair,POLR1C
DNA Repair,XPC
DNA Repair,PCNA
DNA Repair,POLR2I
DNA Repair,POLR3C
DNA Repair,GTF2B
DNA Repair,POLR1D
DNA Repair,NELFE
DNA Repair,GTF2F1
DNA Repair,LIG1
DNA Repair,ERCC1
DNA Repair,ERCC4
DNA Repair,POLD4
DNA Repair,NELFB
DNA Repair,RFC2
DNA Repair,ELL
DNA Repair,TAF10
DNA Repair,RRM2B
DNA Repair,RPA3
DNA Repair,SNAPC5
DNA Repair,SSRP1
DNA Repair,RFC3
DNA Repair,RPA2
DNA Repair,ELOA
DNA Repair,TAF12
DNA Repair,NELFCD
DNA Repair,TAF13
DNA Repair,TAF6
DNA Repair,GTF2A2
DNA Repair,VPS37D
DNA Repair,NME1
DNA Repair,RNMT
DNA Repair,ERCC2
DNA Repair,POLE4
DNA Repair,VPS37B
DNA Repair,SNAPC4
DNA Repair,AAAS
DNA Repair,RFC4
DNA Repair,ITPA
DNA Repair,BRF2
DNA Repair,RFC5
DNA Repair,SAC3D1
DNA Repair,CLP1
DNA Repair,NME4
DNA Repair,PRIM1
DNA Repair,VPS28
DNA Repair,TSG101
DNA Repair,USP11
DNA Repair,TAF1C
DNA Repair,TARBP2
DNA Repair,POLH
DNA Repair,CETN2
DNA Repair,POLD1
DNA Repair,CANT1
DNA Repair,PDE4B
DNA Repair,DGCR8
DNA Repair,RAD51
DNA Repair,SURF1
DNA Repair,ADA
DNA Repair,NME3
DNA Repair,GTF3C5
DNA Repair,NT5C
DNA Repair,AK1
DNA Repair,GTF2H1
DNA Repair,HCLS1
DNA Repair,APRT
DNA Repair,ERCC8
DNA Repair,IMPDH2
DNA Repair,POLB
DNA Repair,SDCBP
DNA Repair,SF3A3
DNA Repair,DAD1
DNA Repair,UPF3B
DNA Repair,GUK1
DNA Repair,SEC61A1
DNA Repair,POLA2
DNA Repair,FEN1
DNA Repair,NUDT9
DNA Repair,PDE6G
DNA Repair,TYMS
DNA Repair,BCAP31
DNA Repair,DDB1
DNA Repair,NFX1
DNA Repair,RAD52
DNA Repair,ADCY6
DNA Repair,ARL6IP1
DNA Repair,DGUOK
DNA Repair,POLL
DNA Repair,SMAD5
DNA Repair,MPG
DNA Repair,DUT
DNA Repair,POLA1
DNA Repair,AGO4
DNA Repair,RALA
DNA Repair,BCAM
DNA Repair,TK2
DNA Repair,CSTF3
DNA Repair,GTF2H5
DNA Repair,GPX4
DNA Repair,MPC2
DNA Repair,CDA
DNA Repair,MRPL40
DNA Repair,NPR2
DNA Repair,REV3L
DNA Repair,EDF1
DNA Repair,GSDME
DNA Repair,TMED2
DNA Repair,STX3
DNA Repair,RAE1
DNA Repair,UMPS
DNA Repair,EIF1B
DNA Repair,AK3
DNA Repair,NUDT21
DNA Repair,RBX1
DNA Repair,SRSF6
DNA Repair,GMPR2
DNA Repair,DCTN4
DNA Repair,COX17
DNA Repair,CMPK2
DNA Repair,CCNO
E2F Targets,AURKA
E2F Targets,BRCA2
E2F Targets,CCP110
E2F Targets,CENPE
E2F Targets,CKS2
E2F Targets,DCLRE1B
E2F Targets,DNMT1
E2F Targets,DONSON
E2F Targets,EED
E2F Targets,GINS1
E2F Targets,GINS4
E2F Targets,LIG1
E2F Targets,MAD2L1
E2F Targets,MCM2
E2F Targets,MCM4
E2F Targets,MCM5
E2F Targets,MCM7
E2F Targets,MELK
E2F Targets,MMS22L
E2F Targets,NAA38
E2F Targets,NASP
E2F Targets,NUDT21
E2F Targets,NUP205
E2F Targets,ORC6
E2F Targets,PCNA
E2F Targets,PLK4
E2F Targets,POLE
E2F Targets,PRIM2
E2F Targets,RAD51AP1
E2F Targets,RFC2
E2F Targets,RPA2
E2F Targets,RPA3
E2F Targets,SUV39H1
E2F Targets,UBE2T
E2F Targets,WDR90
E2F Targets,CDK1
E2F Targets,MCM3
E2F Targets,TOP2A
E2F Targets,MCM6
E2F Targets,BIRC5
E2F Targets,CCNB2
E2F Targets,RRM2
E2F Targets,HMGB2
E2F Targets,BUB1B
E2F Targets,RFC3
E2F Targets,EZH2
E2F Targets,CHEK1
E2F Targets,SMC4
E2F Targets,CDC20
E2F Targets,PLK1
E2F Targets,KIF2C
E2F Targets,DLGAP5
E2F Targets,AURKB
E2F Targets,CDC25A
E2F Targets,TRIP13
E2F Targets,H2AX
E2F Targets,HMMR
E2F Targets,E2F8
E2F Targets,BRCA1
E2F Targets,MYBL2
E2F Targets,POLD1
E2F Targets,RACGAP1
E2F Targets,MSH2
E2F Targets,CDKN3
E2F Targets,ATAD2
E2F Targets,RPA1
E2F Targets,STMN1
E2F Targets,TIPIN
E2F Targets,TK1
E2F Targets,CDCA8
E2F Targets,ESPL1
E2F Targets,NCAPD2
E2F Targets,RANBP1
E2F Targets,LMNB1
E2F Targets,KIF22
E2F Targets,UNG
E2F Targets,SMC1A
E2F Targets,CCNE1
E2F Targets,CDCA3
E2F Targets,ASF1B
E2F Targets,POLA2
E2F Targets,TIMELESS
E2F Targets,HELLS
E2F Targets,PRKDC
E2F Targets,USP1
E2F Targets,SPAG5
E2F Targets,DUT
E2F Targets,KIF18B
E2F Targets,CDC25B
E2F Targets,SRSF1
E2F Targets,GINS3
E2F Targets,NOLC1
E2F Targets,SLBP
E2F Targets,CHEK2
E2F Targets,SPC25
E2F Targets,BARD1
E2F Targets,DCTPP1
E2F Targets,SMC3
E2F Targets,RNASEH2A
E2F Targets,DEK
E2F Targets,CENPM
E2F Targets,RAD51C
E2F Targets,CBX5
E2F Targets,RFC1
E2F Targets,POLD2
E2F Targets,DSCC1
E2F Targets,ILF3
E2F Targets,DCK
E2F Targets,CDKN2C
E2F Targets,MYC
E2F Targets,TCF19
E2F Targets,RAD1
E2F Targets,LBR
E2F Targets,NBN
E2F Targets,UBR7
E2F Targets,POLE4
E2F Targets,TUBG1
E2F Targets,CTCF
E2F Targets,CNOT9
E2F Targets,SMC6
E2F Targets,ZW10
E2F Targets,PA2G4
E2F Targets,SSRP1
E2F Targets,NAP1L1
E2F Targets,ANP32E
E2F Targets,HMGB3
E2F Targets,IPO7
E2F Targets,RAD21
E2F Targets,CDK4
E2F Targets,CDKN1A
E2F Targets,BRMS1L
E2F Targets,RAD50
E2F Targets,TRA2B
E2F Targets,CSE1L
E2F Targets,PAICS
E2F Targets,STAG1
E2F Targets,LUC7L3
E2F Targets,PPM1D
E2F Targets,NME1
E2F Targets,SRSF2
E2F Targets,XPO1
E2F Targets,HNRNPD
E2F Targets,PMS2
E2F Targets,ASF1A
E2F Targets,EXOSC8
E2F Targets,MLH1
E2F Targets,NUP107
E2F Targets,ORC2
E2F Targets,TFRC
E2F Targets,PSIP1
E2F Targets,DDX39A
E2F Targets,SNRPB
E2F Targets,CDKN1B
E2F Targets,MTHFD2
E2F Targets,WEE1
E2F Targets,PRDX4
E2F Targets,PHF5A
E2F Targets,TBRG4
E2F Targets,SHMT1
E2F Targets,PRPS1
E2F Targets,DIAPH3
E2F Targets,NUP153
E2F Targets,PSMC3IP
E2F Targets,XRCC6
E2F Targets,PNN
E2F Targets,HUS1
E2F Targets,RBBP7
E2F Targets,PDS5B
E2F Targets,NOP56
E2F Targets,MXD3
E2F Targets,PPP1R8
E2F Targets,GSPT1
E2F Targets,CDKN2A
E2F Targets,AK2
E2F Targets,CIT
E2F Targets,ING3
E2F Targets,JPT1
E2F Targets,POP7
E2F Targets,SYNCRIP
E2F Targets,EIF2S1
E2F Targets,LYAR
E2F Targets,PAN2
E2F Targets,SPC24
Epithelial Mesenchymal Transition,COL3A1
Epithelial Mesenchymal Transition,COL5A2
Epithelial Mesenchymal Transition,COL5A1
Epithelial Mesenchymal Transition,FBN1
Epithelial Mesenchymal Transition,COL1A1
Epithelial Mesenchymal Transition,FN1
Epithelial Mesenchymal Transition,COL6A3
Epithelial Mesenchymal Transition,SERPINE1
Epithelial Mesenchymal Transition,COL1A2
Epithelial Mesenchymal Transition,COL4A1
Epithelial Mesenchymal Transition,COL4A2
Epithelial Mesenchymal Transition,VCAN
Epithelial Mesenchymal Transition,IGFBP3
Epithelial Mesenchymal Transition,TGFBI
Epithelial Mesenchymal Transition,SPARC
Epithelial Mesenchymal Transition,LUM
Epithelial Mesenchymal Transition,LAMC1
Epithelial Mesenchymal Transition,LOX
Epithelial Mesenchymal Transition,LAMC2
Epithelial Mesenchymal Transition,CCN2
Epithelial Mesenchymal Transition,TAGLN
Epithelial Mesenchymal Transition,LOXL2
Epithelial Mesenchymal Transition,COL6A2
Epithelial Mesenchymal Transition,ITGAV
Epithelial Mesenchymal Transition,THBS2
Epithelial Mesenchymal Transition,COL16A1
Epithelial Mesenchymal Transition,NNMT
Epithelial Mesenchymal Transition,TPM1
Epithelial Mesenchymal Transition,CDH2
Epithelial Mesenchymal Transition,MMP2
Epithelial Mesenchymal Transition,COL11A1
Epithelial Mesenchymal Transition,THBS1
Epithelial Mesenchymal Transition,FAP
Epithelial Mesenchymal Transition,BGN
Epithelial Mesenchymal Transition,SERPINH1
Epithelial Mesenchymal Transition,FSTL1
Epithelial Mesenchymal Transition,POSTN
Epithelial Mesenchymal Transition,THY1
Epithelial Mesenchymal Transition,SPP1
Epithelial Mesenchymal Transition,TNC
Epithelial Mesenchymal Transition,TFPI2
Epithelial Mesenchymal Transition,NID2
Epithelial Mesenchymal Transition,ITGB5
Epithelial Mesenchymal Transition,MMP3
Epithelial Mesenchymal Transition,VIM
Epithelial Mesenchymal Transition,LOXL1
Epithelial Mesenchymal Transition,FBLN5
Epithelial Mesenchymal Transition,COL12A1
Epithelial Mesenchymal Transition,ELN
Epithelial Mesenchymal Transition,CDH11
Epithelial Mesenchymal Transition,COMP
Epithelial Mesenchymal Transition,SPOCK1
Epithelial Mesenchymal Transition,BMP1
Epithelial Mesenchymal Transition,LAMA3
Epithelial Mesenchymal Transition,TIMP1
Epithelial Mesenchymal Transition,QSOX1
Epithelial Mesenchymal Transition,TIMP3
Epithelial Mesenchymal Transition,VCAM1
Epithelial Mesenchymal Transition,CCN1
Epithelial Mesenchymal Transition,EDIL3
Epithelial Mesenchymal Transition,CALD1
Epithelial Mesenchymal Transition,MAGEE1
Epithelial Mesenchymal Transition,FBLN1
Epithelial Mesenchymal Transition,SGCB
Epithelial Mesenchymal Transition,ECM1
Epithelial Mesenchymal Transition,LAMA2
Epithelial Mesenchymal Transition,FSTL3
Epithelial Mesenchymal Transition,TPM2
Epithelial Mesenchymal Transition,INHBA
Epithelial Mesenchymal Transition,DAB2
Epithelial Mesenchymal Transition,EMP3
Epithelial Mesenchymal Transition,BASP1
Epithelial Mesenchymal Transition,ITGA5
Epithelial Mesenchymal Transition,MGP
Epithelial Mesenchymal Transition,VEGFA
Epithelial Mesenchymal Transition,WNT5A
Epithelial Mesenchymal Transition,SDC1
Epithelial Mesenchymal Transition,PLOD2
Epithelial Mesenchymal Transition,PCOLCE
Epithelial Mesenchymal Transition,GREM1
Epithelial Mesenchymal Transition,ITGB1
Epithelial Mesenchymal Transition,COL5A3
Epithelial Mesenchymal Transition,RHOB
Epithelial Mesenchymal Transition,HTRA1
Epithelial Mesenchymal Transition,FGF2
Epithelial Mesenchymal Transition,SNTB1
Epithelial Mesenchymal Transition,GADD45A
Epithelial Mesenchymal Transition,MEST
Epithelial Mesenchymal Transition,LRRC15
Epithelial Mesenchymal Transition,TNFRSF11B
Epithelial Mesenchymal Transition,ACTA2
Epithelial Mesenchymal Transition,EFEMP2
Epithelial Mesenchymal Transition,MATN2
Epithelial Mesenchymal Transition,PCOLCE2
Epithelial Mesenchymal Transition,SERPINE2
Epithelial Mesenchymal Transition,GPC1
Epithelial Mesenchymal Transition,ABI3BP
Epithelial Mesenchymal Transition,FUCA1
Epithelial Mesenchymal Transition,SLIT3
Epithelial Mesenchymal Transition,LAMA1
Epithelial Mesenchymal Transition,PMEPA1
Epithelial Mesenchymal Transition,COL8A2
Epithelial Mesenchymal Transition,FBN2
Epithelial Mesenchymal Transition,IGFBP2
Epithelial Mesenchymal Transition,PFN2
Epithelial Mesenchymal Transition,SDC4
Epithelial Mesenchymal Transition,CD44
Epithelial Mesenchymal Transition,GADD45B
Epithelial Mesenchymal Transition,GLIPR1
Epithelial Mesenchymal Transition,ANPEP
Epithelial Mesenchymal Transition,P3H1
Epithelial Mesenchymal Transition,VEGFC
Epithelial Mesenchymal Transition,MMP14
Epithelial Mesenchymal Transition,SGCD
Epithelial Mesenchymal Transition,PLOD1
Epithelial Mesenchymal Transition,MATN3
Epithelial Mesenchymal Transition,MYL9
Epithelial Mesenchymal Transition,CALU
Epithelial Mesenchymal Transition,PRRX1
Epithelial Mesenchymal Transition,TNFRSF12A
Epithelial Mesenchymal Transition,FMOD
Epithelial Mesenchymal Transition,ID2
Epithelial Mesenchymal Transition,GEM
Epithelial Mesenchymal Transition,PLAUR
Epithelial Mesenchymal Transition,MYLK
Epithelial Mesenchymal Transition,TGFB1
Epithelial Mesenchymal Transition,SFRP1
Epithelial Mesenchymal Transition,PLOD3
Epithelial Mesenchymal Transition,APLP1
Epithelial Mesenchymal Transition,FBLN2
Epithelial Mesenchymal Transition,MSX1
Epithelial Mesenchymal Transition,PTX3
Epithelial Mesenchymal Transition,FZD8
Epithelial Mesenchymal Transition,JUN
Epithelial Mesenchymal Transition,FERMT2
Epithelial Mesenchymal Transition,DKK1
Epithelial Mesenchymal Transition,SNAI2
Epithelial Mesenchymal Transition,DST
Epithelial Mesenchymal Transition,TPM4
Epithelial Mesenchymal Transition,DCN
Epithelial Mesenchymal Transition,GJA1
Epithelial Mesenchymal Transition,PMP22
Epithelial Mesenchymal Transition,IGFBP4
Epithelial Mesenchymal Transition,COPA
Epithelial Mesenchymal Transition,LRP1
Epithelial Mesenchymal Transition,ITGA2
Epithelial Mesenchymal Transition,FLNA
Epithelial Mesenchymal Transition,MFAP5
Epithelial Mesenchymal Transition,PTHLH
Epithelial Mesenchymal Transition,TGFBR3
Epithelial Mesenchymal Transition,SFRP4
Epithelial Mesenchymal Transition,LGALS1
Epithelial Mesenchymal Transition,RGS4
Epithelial Mesenchymal Transition,CDH6
Epithelial Mesenchymal Transition,SAT1
Epithelial Mesenchymal Transition,NT5E
Epithelial Mesenchymal Transition,DPYSL3
Epithelial Mesenchymal Transition,PPIB
Epithelial Mesenchymal Transition,TGM2
Epithelial Mesenchymal Transition,SGCG
Epithelial Mesenchymal Transition,ITGB3
Epithelial Mesenchymal Transition,PDLIM4
Epithelial Mesenchymal Transition,CTHRC1
Epithelial Mesenchymal Transition,ECM2
Epithelial Mesenchymal Transition,CRLF1
Epithelial Mesenchymal Transition,AREG
Epithelial Mesenchymal Transition,IL15
Epithelial Mesenchymal Transition,MCM7
Epithelial Mesenchymal Transition,GAS1
Epithelial Mesenchymal Transition,CADM1
Epithelial Mesenchymal Transition,OXTR
Epithelial Mesenchymal Transition,SCG2
Epithelial Mesenchymal Transition,TNFAIP3
Epithelial Mesenchymal Transition,CAPG
Epithelial Mesenchymal Transition,CAP2
Epithelial Mesenchymal Transition,FOXC2
Epithelial Mesenchymal Transition,NTM
Epithelial Mesenchymal Transition,ENO2
Epithelial Mesenchymal Transition,BDNF
Epithelial Mesenchymal Transition,ADAM12
Epithelial Mesenchymal Transition,CXCL12
Epithelial Mesenchymal Transition,PDGFRB
Epithelial Mesenchymal Transition,SLIT2
Epithelial Mesenchymal Transition,NOTCH2
Epithelial Mesenchymal Transition,COLGALT1
Epithelial Mesenchymal Transition,GPX7
Epithelial Mesenchymal Transition,WIPF1
G2-M Checkpoint,AURKA
G2-M Checkpoint,CCNA2
G2-M Checkpoint,TOP2A
G2-M Checkpoint,CCNB2
G2-M Checkpoint,CENPA
G2-M Checkpoint,BIRC5
G2-M Checkpoint,CDC20
G2-M Checkpoint,PLK1
G2-M Checkpoint,TTK
G2-M Checkpoint,PRC1
G2-M Checkpoint,NDC80
G2-M Checkpoint,KIF11
G2-M Checkpoint,NUSAP1
G2-M Checkpoint,CKS2
G2-M Checkpoint,KIF2C
G2-M Checkpoint,AURKB
G2-M Checkpoint,TPX2
G2-M Checkpoint,SMC4
G2-M Checkpoint,BUB1
G2-M Checkpoint,CENPF
G2-M Checkpoint,RACGAP1
G2-M Checkpoint,CENPE
G2-M Checkpoint,KIF23
G2-M Checkpoint,UBE2C
G2-M Checkpoint,MCM6
G2-M Checkpoint,MCM3
G2-M Checkpoint,CDK1
G2-M Checkpoint,ESPL1
G2-M Checkpoint,MAD2L1
G2-M Checkpoint,NEK2
G2-M Checkpoint,KIF22
G2-M Checkpoint,HMMR
G2-M Checkpoint,CDKN3
G2-M Checkpoint,CDC25A
G2-M Checkpoint,H2AX
G2-M Checkpoint,CDC25B
G2-M Checkpoint,PLK4
G2-M Checkpoint,CDC6
G2-M Checkpoint,CCNF
G2-M Checkpoint,MCM5
G2-M Checkpoint,LMNB1
G2-M Checkpoint,E2F3
G2-M Checkpoint,KIF15
G2-M Checkpoint,CHEK1
G2-M Checkpoint,NSD2
G2-M Checkpoint,HMGB3
G2-M Checkpoint,DBF4
G2-M Checkpoint,MCM2
G2-M Checkpoint,CDKN2C
G2-M Checkpoint,CDKN1B
G2-M Checkpoint,FANCC
G2-M Checkpoint,NASP
G2-M Checkpoint,STAG1
G2-M Checkpoint,GINS2
G2-M Checkpoint,FBXO5
