token_id,gene_symbol
1,A1BG
2,A1CF
3,A2M
4,A3GALT2
5,A4GALT
6,A4GNT
7,AAAS
8,AACS
9,AADAC
10,AADACL2
11,AADACL3
12,AADAT
13,AAGAB
14,AAK1
15,AAMDC
16,AAMP
17,AANAT
18,AAR2
19,AARD
20,AARS1
21,AARS2
22,AASDH
23,AASDHPPT
24,AASS
25,AATF
26,AATK
27,ABAT
28,ABCA1
29,ABCA12
30,ABCA13
31,ABCA2
32,ABCA3
33,ABCA4
34,ABCA5
35,ABCA6
36,ABCA7
37,ABCA9
38,ABCB10
39,ABCB11
40,ABCB4
41,ABCB5
42,ABCB6
43,ABCB7
44,ABCB8
45,ABCB9
46,ABCC1
47,ABCC10
48,ABCC12
49,ABCC2
50,ABCC3
51,ABCC4
52,ABCC5
53,ABCC6
54,ABCC8
55,ABCC9
56,ABCD1
57,ABCD2
58,ABCD3
59,ABCD4
60,ABCE1
61,ABCF1
62,ABCF3
63,ABCG1
64,ABCG4
65,ABCG5
66,ABCG8
67,ABHD1
68,ABHD10
69,ABHD11
70,ABHD12
71,ABHD12B
72,ABHD13
73,ABHD14A
74,ABHD14B
75,ABHD15
76,ABHD16A
77,ABHD16B
78,ABHD17A
79,ABHD17B
80,ABHD17C
81,ABHD18
82,ABHD2
83,ABHD3
84,ABHD4
85,ABHD5
86,ABHD6
87,ABHD8
88,ABI1
89,ABI2
90,ABI3
91,ABI3BP
92,ABITRAM
93,ABL1
94,ABL2
95,ABLIM1
96,ABLIM2
97,ABLIM3
98,ABO
99,ABR
100,ABRA
101,ABRACL
102,ABRAXAS1
103,ABRAXAS2
104,ABT1
105,ABTB1
106,ABTB2
107,ACAA2
108,ACACA
109,ACACB
110,ACAD10
111,ACAD11
112,ACAD8
113,ACAD9
114,ACADL
115,ACADM
116,ACADS
117,ACADSB
118,ACADVL
119,ACAN
120,ACAP1
121,ACAP2
122,ACAP3
123,ACAT1
124,ACBD3
125,ACBD4
126,ACBD5
127,ACBD6
128,ACBD7
129,ACCS
130,ACCSL
131,ACD
132,ACE
133,ACE2
134,ACER1
135,ACER2
136,ACER3
137,ACHE
138,ACIN1
139,ACKR1
140,ACKR2
141,ACKR3
142,ACKR4
143,ACLY
144,ACMSD
145,ACO1
146,ACO2
147,ACOD1
148,ACOT11
149,ACOT12
150,ACOT13
151,ACOT2
152,ACOT4
153,ACOT6
154,ACOT7
155,ACOT8
156,ACOX1
157,ACOX2
158,ACOX3
159,ACOXL
160,ACP1
161,ACP2
162,ACP3
163,ACP4
164,ACP5
165,ACP6
166,ACP7
167,ACR
168,ACRBP
169,ACRV1
170,ACSBG1
171,ACSBG2
172,ACSF2
173,ACSF3
174,ACSL1
175,ACSL3
176,ACSL4
177,ACSL5
178,ACSL6
179,ACSM1
180,ACSM3
181,ACSM4
182,ACSM5
183,ACSS1
184,ACSS2
185,ACSS3
186,ACTA1
187,ACTA2
188,ACTB
189,ACTBL2
190,ACTC1
191,ACTG1
192,ACTG2
193,ACTL10
194,ACTL6A
195,ACTL6B
196,ACTL7A
197,ACTL7B
198,ACTL9
199,ACTN1
200,ACTN2
201,ACTN3
202,ACTN4
203,ACTR10
204,ACTR1A
205,ACTR1B
206,ACTR2
207,ACTR3
208,ACTR3B
209,ACTR5
210,ACTR6
211,ACTR8
212,ACTRT1
213,ACTRT2
214,ACTRT3
215,ACVR1
216,ACVR1B
217,ACVR1C
218,ACVR2A
219,ACVR2B
220,ACVRL1
221,ACY1
222,ACY3
223,ACYP1
224,ACYP2
225,ADA
226,ADAD1
227,ADAD2
228,ADAM10
229,ADAM11
230,ADAM12
231,ADAM15
232,ADAM17
233,ADAM18
234,ADAM19
235,ADAM1A
236,ADAM1B
237,ADAM2
238,ADAM21
239,ADAM22
240,ADAM23
241,ADAM28
242,ADAM29
243,ADAM30
244,ADAM32
245,ADAM33
246,ADAM5
247,ADAM7
248,ADAM8
249,ADAM9
250,ADAMDEC1
251,ADAMTS1
252,ADAMTS10
253,ADAMTS12
254,ADAMTS13
255,ADAMTS14
256,ADAMTS15
257,ADAMTS16
258,ADAMTS17
259,ADAMTS18
260,ADAMTS19
261,ADAMTS2
262,ADAMTS20
263,ADAMTS3
264,ADAMTS4
265,ADAMTS5
266,ADAMTS6
267,ADAMTS7
268,ADAMTS8
269,ADAMTS9
270,ADAMTSL1
271,ADAMTSL2
272,ADAMTSL3
273,ADAMTSL4
274,ADAMTSL5
275,ADAP1
276,ADAP2
277,ADAR
278,ADARB1
279,ADARB2
280,ADAT1
281,ADAT2
282,ADAT3
283,ADCK1
284,ADCK2
285,ADCK5
286,ADCY1
287,ADCY10
288,ADCY2
289,ADCY3
290,ADCY4
291,ADCY5
292,ADCY6
293,ADCY7
294,ADCY8
295,ADCY9
296,ADCYAP1
297,ADCYAP1R1
298,ADD1
299,ADD2
300,ADD3
301,ADGB
302,ADGRA1
303,ADGRA2
304,ADGRA3
305,ADGRB1
306,ADGRB2
307,ADGRB3
308,ADGRD1
309,ADGRE1
310,ADGRF1
311,ADGRF3
312,ADGRF4
313,ADGRF5
314,ADGRG1
315,ADGRG2
316,ADGRG3
317,ADGRG4
318,ADGRG5
319,ADGRG6
320,ADGRG7
321,ADGRL1
322,ADGRL2
323,ADGRL3
324,ADGRL4
325,ADGRV1
326,ADH4
327,ADH5
328,ADH7
329,ADHFE1
330,ADI1
331,ADIG
332,ADIPOQ
333,ADIPOR1
334,ADIPOR2
335,ADK
336,ADM
337,ADM2
338,ADNP
339,ADNP2
340,ADO
341,ADORA1
342,ADORA2A
343,ADORA2B
344,ADORA3
345,ADPGK
346,ADPRH
347,ADPRHL1
348,ADPRM
349,ADPRS
350,ADRA1A
351,ADRA1B
352,ADRA1D
353,ADRA2A
354,ADRA2B
355,ADRA2C
356,ADRB1
357,ADRB2
358,ADRB3
359,ADSL
360,ADSS1
361,ADSS2
362,ADTRP
363,AEBP1
364,AEBP2
365,AEN
366,AFAP1
367,AFAP1L1
368,AFAP1L2
369,AFDN
370,AFF1
371,AFF2
372,AFF3
373,AFF4
374,AFG1L
375,AFG3L2
376,AFM
377,AFMID
378,AFP
379,AFTPH
380,AGA
381,AGAP1
382,AGAP2
383,AGAP3
384,AGBL1
385,AGBL2
386,AGBL3
387,AGBL4
388,AGBL5
389,AGER
390,AGFG1
391,AGFG2
392,AGGF1
393,AGK
394,AGL
395,AGMAT
396,AGMO
397,AGO1
398,AGO2
399,AGO3
400,AGO4
401,AGPAT1
402,AGPAT2
403,AGPAT3
404,AGPAT4
405,AGPAT5
406,AGPS
407,AGR2
408,AGR3
409,AGRN
410,AGRP
411,AGT
412,AGTPBP1
413,AGTR2
414,AGTRAP
415,AGXT
416,AGXT2
417,AHCTF1
418,AHCYL1
419,AHCYL2
420,AHDC1
421,AHI1
422,AHNAK
423,AHNAK2
424,AHR
425,AHRR
426,AHSA1
427,AHSG
428,AHSP
429,AICDA
430,AIDA
431,AIF1
432,AIF1L
433,AIFM1
434,AIFM2
435,AIFM3
436,AIG1
437,AIM2
438,AIMP1
439,AIMP2
440,AIP
441,AIPL1
442,AIRE
443,AIRN
444,AJAP1
445,AJM1
446,AJUBA
447,AK1
448,AK2
449,AK3
450,AK5
451,AK6
452,AK7
453,AK8
454,AK9
455,AKAIN1
456,AKAP1
457,AKAP10
458,AKAP11
459,AKAP12
460,AKAP13
461,AKAP14
462,AKAP17A
463,AKAP3
464,AKAP4
465,AKAP5
466,AKAP6
467,AKAP7
468,AKAP8
469,AKAP8L
470,AKAP9
471,AKIP1
472,AKIRIN1
473,AKIRIN2
474,AKNA
475,AKNAD1
476,AKR1A1
477,AKR1B1
478,AKR1D1
479,AKT1
480,AKT1S1
481,AKT2
482,AKT3
483,AKTIP
484,ALAD
485,ALAS1
486,ALAS2
487,ALB
488,ALCAM
489,ALDH16A1
490,ALDH18A1
491,ALDH1A2
492,ALDH1A3
493,ALDH1B1
494,ALDH1L1
495,ALDH1L2
496,ALDH2
497,ALDH3A1
498,ALDH3A2
499,ALDH3B1
500,ALDH4A1
501,ALDH5A1
502,ALDH6A1
503,ALDH7A1
504,ALDH8A1
505,ALDH9A1
506,ALDOA
507,ALDOB
508,ALDOC
509,ALG11
510,ALG12
511,ALG13
512,ALG14
513,ALG2
514,ALG3
515,ALG5
516,ALG6
517,ALG8
518,ALG9
519,ALK
520,ALKAL1
521,ALKAL2
522,ALKBH1
523,ALKBH2
524,ALKBH3
525,ALKBH4
526,ALKBH5
527,ALKBH6
528,ALKBH7
