panel_size,project,tumor_samples,normal_samples,top_k,top_k_overlap,top_k_overlap_fraction,effect_spearman,direction_concordance
1000,TCGA-BRCA,1118,113,20,0,0.0,-0.05230517004796826,0.48355045263855156
1000,TCGA-BRCA,1118,113,50,0,0.0,-0.05230517004796826,0.48355045263855156
1000,TCGA-BRCA,1118,113,100,6,0.06,-0.05230517004796826,0.48355045263855156
1000,TCGA-KIRC,542,72,20,0,0.0,-0.02368392969799896,0.48178405829101345
1000,TCGA-KIRC,542,72,50,2,0.04,-0.02368392969799896,0.48178405829101345
1000,TCGA-KIRC,542,72,100,9,0.09,-0.02368392969799896,0.48178405829101345
1000,TCGA-LUAD,542,59,20,0,0.0,-0.029068800168894997,0.49010083167733864
1000,TCGA-LUAD,542,59,50,1,0.02,-0.029068800168894997,0.49010083167733864
1000,TCGA-LUAD,542,59,100,6,0.06,-0.029068800168894997,0.49010083167733864
1000,TCGA-LUSC,511,51,20,0,0.0,-0.03332059118656999,0.49208802531831897
1000,TCGA-LUSC,511,51,50,0,0.0,-0.03332059118656999,0.49208802531831897
1000,TCGA-LUSC,511,51,100,0,0.0,-0.03332059118656999,0.49208802531831897
