inferred_absolute_epoch,logged_resume_epoch,train_recon_loss,train_total_loss,val_recon_loss,gene_prior_loss,context_prior_loss,sample_contrastive_loss
11,1,0.0861571527867362,0.0872199988415408,0.0869046822190284,0.0088208817631903,0.0287152228644588,0.0024971725464111
12,2,0.0844023167654319,0.0854592963564983,0.0852763950824737,0.0091696195506554,0.0283108144621847,0.0024262786090849
13,3,0.0827853205848313,0.0838356368298059,0.0836352035403251,0.0094290453418806,0.0279372733307604,0.0023617156721763
14,4,0.0812913487018768,0.0823346508015636,0.0823616907000541,0.0096121656856665,0.0275999281920111,0.0023060956914247
15,5,0.0799487803672696,0.0809853984735853,0.0812641382217407,0.0097337882492374,0.027315258674255,0.0022484566574068
16,6,0.0787771072333357,0.0798079160117419,0.0802093297243118,0.0098130935513033,0.027086566580616,0.0021949900797993
17,7,0.0777884276159906,0.0788142309286051,0.079309768974781,0.0098603942254961,0.0269009514048974,0.002156688161319
18,8,0.0770150211434478,0.0780367177239105,0.078657329082489,0.0098872484821884,0.0267579048973012,0.0021214461982915
19,9,0.0764864750891825,0.077505087762756,0.0783181488513946,0.0099040291697465,0.0266518517921857,0.0020976547555095
20,10,0.0761440911669026,0.0771605118645241,0.0780588462948799,0.0099163171705161,0.0265718849088185,0.0020937819937447
