model,dataset,pcc_global,spearman_global,mse,mae,auroc_macro,auprc_macro
BRIDGE,OSDR,0.9026440079828505,0.8877631191655034,0.6660857995351156,0.4351569314797719,0.9549796814982069,0.9514838457943579
Txn_Jatin,OSDR,0.8022591098562478,0.7924279388976179,1.30789315700531,0.75077223777771,0.8619743713245187,0.8796070855280683
BulkFormer_127M,OSDR,0.7633705781589174,0.7510536613962943,1.5999946594238281,0.9474890430768331,0.8314937485334298,0.8493540874414238
BulkFormer_50M,OSDR,0.7592551275842953,0.7487028371648049,1.53776748975118,0.9285080631573995,0.8397234349378074,0.8570971169440983
BulkFormer_37M,OSDR,0.7589714146450991,0.7492087314440538,1.5376325050989788,0.9090259869893392,0.8362025489882926,0.8525823553412096
BulkFormer_147M,OSDR,0.7576465543227892,0.7447679324418965,1.630170742670695,0.9610811471939087,0.8272679273741813,0.8470090794715959
BulkFormer_93M,OSDR,0.7526642093111748,0.7408054496131755,1.691274086634318,0.987249751885732,0.8339895241820764,0.8551848209783829
BRIDGE,TCGA,0.9155490001664309,0.9139462409832121,0.41124186913172406,0.4090123971303304,0.9120506509870472,0.849001869743076
Txn_Jatin,TCGA,0.9087490835006634,0.9115427954738807,0.44441606601079303,0.39498719573020935,0.928426538163424,0.8696254219101135
BulkFormer_147M,TCGA,0.8931310476172483,0.8916811093814201,0.5138456126054128,0.4888293345769246,0.8885437323480653,0.8233354883161635
BulkFormer_127M,TCGA,0.8907466363252787,0.8897247656018324,0.5268241365750631,0.5025132099787394,0.8867206564503043,0.8200923802459851
BulkFormer_93M,TCGA,0.8781858418094796,0.8780623119456398,0.5842783053716024,0.5425487160682678,0.8676561643391034,0.8039247314301372
BulkFormer_50M,TCGA,0.8741792092926678,0.8751171060540677,0.6048250993092855,0.5510533650716146,0.851406579162388,0.7916040592248765
BulkFormer_37M,TCGA,0.8731237743092363,0.8742949966543353,0.6083428859710693,0.5364235440889994,0.8455931380459748,0.7859435956804576
