index,model,panel,gene_symbol,mean,std
9060,BRIDGE,2_cancer,PECAM1,0.015187384651208535,0.009070796442142199
13024,BRIDGE,2_cancer,TMEM100,0.010027604136724566,0.008850045175755205
2401,BRIDGE,2_cancer,CLEC3B,0.009872459837333066,0.005062381911533953
4082,BRIDGE,2_cancer,FABP4,0.0092047025535769,0.00730987266590575
14036,BRIDGE,2_cancer,VEPH1,0.0091481193193647,0.00460695828005724
12394,BRIDGE,2_cancer,STX11,0.0089829649389091,0.0009514374607966304
5040,BRIDGE,2_cancer,GPM6A,0.0089130027679856,0.0021822569379022307
10859,BRIDGE,2_cancer,RS1,0.008812528275729233,0.001731579210437102
11300,BRIDGE,2_cancer,SFTPC,0.008616372719421334,0.003768366109556407
586,BRIDGE,2_cancer,ANKRD1,0.0081616397898239,0.004889950681743273
11334,BRIDGE,2_cancer,SH2D3C,0.008025182755991534,0.0032618577237716693
256,BRIDGE,2_cancer,ADAMTS8,0.007630857354335833,0.004365118806692225
4380,BRIDGE,2_cancer,FGR,0.007589654254559032,0.0018803300141832218
12755,BRIDGE,2_cancer,TEK,0.0074017054314367,0.006451916915512576
4758,BRIDGE,2_cancer,GDF10,0.007126908851597401,0.004347480918846745
10262,BRIDGE,2_cancer,RAMP3,0.006776115713001934,0.005561236140388618
394,BRIDGE,2_cancer,AGRP,0.006565900262083334,0.005933984913978689
1670,BRIDGE,2_cancer,CAV1,0.006565581051830267,0.0032431870660284572
749,BRIDGE,2_cancer,AQP4,0.006181354941818001,0.0030902576655869192
3965,BRIDGE,2_cancer,ESAM,0.006045045193661,0.0028959486686562894
2379,BRIDGE,2_cancer,CLDN18,0.0059565912583744995,0.002327945260773746
12060,BRIDGE,2_cancer,SPAAR,0.005761226677261067,3.0051174937089843e-05
10993,BRIDGE,2_cancer,SAPCD2,0.005673405668124566,0.004449228513723957
5126,BRIDGE,2_cancer,GPT2,0.005665633427069266,0.004248650914113987
342,BRIDGE,2_cancer,ADRB1,0.005616841219717133,0.0016969999765439258
343,BRIDGE,2_cancer,ADRB2,0.005513573563017533,0.0017525660973077733
10956,BRIDGE,2_cancer,S1PR1,0.005470179359602233,0.004713668389225505
3668,BRIDGE,2_cancer,EFNA3,0.005404908914882899,0.004699903974712161
4831,BRIDGE,2_cancer,GIMAP8,0.0053044817711678,0.003277675874779737
6676,BRIDGE,2_cancer,LIMS2,0.005282403176785767,0.004293712247873797
9338,BRIDGE,2_cancer,PLA2G4D,0.005129487484697967,0.004442329756454142
1504,BRIDGE,2_cancer,C8B,0.005040266146657533,0.008729997049680253
3806,BRIDGE,2_cancer,EMCN,0.005034674213824901,0.0033078380922497686
10248,BRIDGE,2_cancer,RAI2,0.004930357546797034,0.0016887759926230744
3657,BRIDGE,2_cancer,EFCC1,0.0049302730149817335,0.0043442699829862865
10624,BRIDGE,2_cancer,RNASE12,0.004884855743909434,0.008460818336095802
6830,BRIDGE,2_cancer,LRRC36,0.004854229576150067,0.006062025673617514
1674,BRIDGE,2_cancer,CAVIN2,0.004796595472675334,0.004928865770169183
13905,BRIDGE,2_cancer,UPK3B,0.0046542221227088,0.005470799021162364
7343,BRIDGE,2_cancer,MFAP4,0.004645062208609434,0.0017414219753350527
836,BRIDGE,2_cancer,ARHGEF39,0.004540640821101933,0.004540188885232884
10435,BRIDGE,2_cancer,RECQL4,0.004509164780955866,0.004631073162984499
4640,BRIDGE,2_cancer,GABRQ,0.004474591044982666,0.007317862742364175
6096,BRIDGE,2_cancer,JAM2,0.004468239519038833,0.003470608715959609
6768,BRIDGE,2_cancer,LPL,0.0044498902134098,0.0054950693829572735
373,BRIDGE,2_cancer,AGER,0.004426820700426,0.0018324681174983674
4096,BRIDGE,2_cancer,FAM107A,0.004314189431858433,0.004698775783836166
6640,BRIDGE,2_cancer,LGI3,0.0042680698151037,0.004433241902746054
10501,BRIDGE,2_cancer,RGCC,0.0041902084695332005,0.001741321322553172
664,BRIDGE,2_cancer,AOC3,0.004179371733179767,0.003213819454325865
10873,BRIDGE,2_cancer,RSPO1,0.004143024315755034,0.004376778801509362
2002,BRIDGE,2_cancer,CDH5,0.004137365104425633,0.0031408245827428765
9032,BRIDGE,2_cancer,PDLIM2,0.004113585877980267,0.004642472658789006
6115,BRIDGE,2_cancer,JPH4,0.0041125622699522335,0.003567290473637501
1460,BRIDGE,2_cancer,BTNL9,0.0041030899080541335,0.004934828089629435
3303,BRIDGE,2_cancer,DMRT1,0.004053619315246701,0.0035121767100501486
9613,BRIDGE,2_cancer,PPAT,0.004038503971282634,0.001419663820187462
5631,BRIDGE,2_cancer,HSPA12B,0.004027372399938,0.004304048346559434
10578,BRIDGE,2_cancer,RILPL2,0.004000001415655033,0.0017711194341386103
800,BRIDGE,2_cancer,ARHGAP31,0.003882281567915333,0.0032531781863161546
2680,BRIDGE,2_cancer,CPB2,0.0038808719702722334,0.0045624220284790455
8769,BRIDGE,2_cancer,PAICS,0.0038716754155778666,0.004216644930892504
823,BRIDGE,2_cancer,ARHGEF15,0.0038622823516701005,0.004326787433797024
10406,BRIDGE,2_cancer,RCC1,0.003844325928195567,0.0019933469096692228
13933,BRIDGE,2_cancer,USHBP1,0.0038224602289101666,0.006369154166104762
11301,BRIDGE,2_cancer,SFTPD,0.003775045453185433,0.004252681418900624
2395,BRIDGE,2_cancer,CLEC14A,0.003756085362072567,0.0015453302498414452
9921,BRIDGE,2_cancer,PSAT1,0.0036625838399662256,0.0031786752869644923
471,BRIDGE,2_cancer,ALDH2,0.0036338127152147,0.00596461326183833
494,BRIDGE,2_cancer,ALKAL2,0.0036312652233911336,0.005862908052802585
12495,BRIDGE,2_cancer,SYNDIG1L,0.0035871006203613,0.00621304052632761
4426,BRIDGE,2_cancer,FLAD1,0.0035054485875363997,0.0005325481716382011
12705,BRIDGE,2_cancer,TCF21,0.0034500074679262665,0.002992124956204469
5900,BRIDGE,2_cancer,INMT,0.0034112604381922925,0.003573489895240745
3822,BRIDGE,2_cancer,EMP2,0.003410353768033067,0.00036963565481985133
11013,BRIDGE,2_cancer,SBDS,0.003407229307585167,0.005901494273775235
9351,BRIDGE,2_cancer,PLAC9,0.003384142216612967,0.0033866002368966716
1672,BRIDGE,2_cancer,CAV3,0.0033065415986224668,0.005727098046154129
7859,BRIDGE,2_cancer,MYO3B,0.0032746324752404667,0.005671829823231523
6423,BRIDGE,2_cancer,KLK4,0.00325611646088273,0.005638766002362561
569,BRIDGE,2_cancer,ANGPTL7,0.0032471633102605997,0.0056242518338449005
1926,BRIDGE,2_cancer,CD5L,0.0032305945576780667,0.0031950570853121613
12752,BRIDGE,2_cancer,TEDC2,0.0032174325092332334,0.0003809010988109875
7350,BRIDGE,2_cancer,MFNG,0.0032146940715215666,0.0034741833377899905
14580,BRIDGE,2_cancer,ZYG11A,0.0032011592260394327,0.00520760244056039
13543,BRIDGE,2_cancer,TRPV2,0.003180104832282066,0.003141580019367124
10725,BRIDGE,2_cancer,ROBO4,0.003170811911566333,0.00047131654705830924
13291,BRIDGE,2_cancer,TNNC1,0.0031545491403977663,0.0029978738921078857
5529,BRIDGE,2_cancer,HOXA13,0.0031440366606158335,0.00544563123704581
11721,BRIDGE,2_cancer,SLC46A2,0.0031318775597388333,0.0054245710565524905
12588,BRIDGE,2_cancer,TAL1,0.003117983427131267,0.0030970469903727005
14223,BRIDGE,2_cancer,WIF1,0.0031117577039305832,0.005374011538675626
782,BRIDGE,2_cancer,ARHGAP10,0.003104673314702733,0.005377451921968412
974,BRIDGE,2_cancer,ASNS,0.003059607327698157,0.005297197282309411
11763,BRIDGE,2_cancer,SLC6A4,0.003046588368464867,0.0001745365406393675
5129,BRIDGE,2_cancer,GPX3,0.0030405365645588336,0.0028644715288415378
14047,BRIDGE,2_cancer,VIP,0.0030180065892395336,0.0052273407501405265
12148,BRIDGE,2_cancer,SPOCK2,0.0030167541119984665,0.0029574151216879008
14266,BRIDGE,2_cancer,WWC2,0.002979372417914,0.0002680389358807467
13793,BRIDGE,2_cancer,UBE2T,0.0029773086858881667,0.0029246416135187765
3938,BRIDGE,2_cancer,ERFE,0.0029730169897630335,0.005149416478035055
7868,BRIDGE,2_cancer,MYOC,0.0029315000872306668,0.0029377844177107247
4853,BRIDGE,2_cancer,GJB2,0.0029095344162436997,0.0028575571073756172
7487,BRIDGE,2_cancer,MMRN2,0.0028890949777390005,0.0026755232272283784
4402,BRIDGE,2_cancer,FILIP1,0.0028581347272503437,0.0030944647160244337
110,BRIDGE,2_cancer,ACADL,0.0028574869307660335,0.0029031890934432185
10889,BRIDGE,2_cancer,RTKN2,0.002846975156189245,0.0049197840308422055
7304,BRIDGE,2_cancer,MEOX2,0.0028461906640559003,0.004763140863207985
