index,model,panel,gene_symbol,mean,std
9060,BulkFormer_37M,2_cancer,PECAM1,0.0136301281634396,0.004416166270374481
12755,BulkFormer_37M,2_cancer,TEK,0.011528172230438933,0.007227368764982205
2401,BulkFormer_37M,2_cancer,CLEC3B,0.010024554476506,0.005464227730300313
12394,BulkFormer_37M,2_cancer,STX11,0.009559864566668066,0.0008435928013055655
11300,BulkFormer_37M,2_cancer,SFTPC,0.009139330095698233,0.0034201133947010277
11334,BulkFormer_37M,2_cancer,SH2D3C,0.008813187079699,0.005125077829067389
10859,BulkFormer_37M,2_cancer,RS1,0.008708432714276201,0.0019490636951928373
4380,BulkFormer_37M,2_cancer,FGR,0.0085711412873989,0.00021197314020750813
8726,BulkFormer_37M,2_cancer,P2RY12,0.008134074670434865,0.003564895829975609
10262,BulkFormer_37M,2_cancer,RAMP3,0.007561827147799301,0.006914947883417282
4758,BulkFormer_37M,2_cancer,GDF10,0.007028863646593,0.004657082224363036
778,BulkFormer_37M,2_cancer,ARG1,0.0065434940199600436,0.011317583387321277
3822,BulkFormer_37M,2_cancer,EMP2,0.006489601684119366,0.0031609304584163957
4831,BulkFormer_37M,2_cancer,GIMAP8,0.0064832552486568,0.005044419125598347
10956,BulkFormer_37M,2_cancer,S1PR1,0.006399545532887667,0.005375738570982763
749,BulkFormer_37M,2_cancer,AQP4,0.006390537536512299,0.0030118038688154423
4082,BulkFormer_37M,2_cancer,FABP4,0.006390450906937733,0.005885864773850908
2002,BulkFormer_37M,2_cancer,CDH5,0.006373391603682233,0.0025446406803724996
5126,BulkFormer_37M,2_cancer,GPT2,0.006104324826699867,0.004579597721797068
14036,BulkFormer_37M,2_cancer,VEPH1,0.006039346819592833,0.0026441752309387155
5572,BulkFormer_37M,2_cancer,HPGDS,0.0059398682443327,0.007719506565250543
110,BulkFormer_37M,2_cancer,ACADL,0.005904834781102367,0.002632202377424503
343,BulkFormer_37M,2_cancer,ADRB2,0.005778891713078366,0.0020642628034151607
12060,BulkFormer_37M,2_cancer,SPAAR,0.005777435854463533,0.0026881226254337255
10501,BulkFormer_37M,2_cancer,RGCC,0.0056163134441322,0.002116975285733704
10435,BulkFormer_37M,2_cancer,RECQL4,0.0055994830746752995,0.0036881878000147904
5040,BulkFormer_37M,2_cancer,GPM6A,0.0053332309906047,0.004955987586860693
1670,BulkFormer_37M,2_cancer,CAV1,0.005329916666164766,0.001600681697017565
5631,BulkFormer_37M,2_cancer,HSPA12B,0.005303368855458668,0.0046987389485201895
3668,BulkFormer_37M,2_cancer,EFNA3,0.005300136676281497,0.009163874690070899
4096,BulkFormer_37M,2_cancer,FAM107A,0.0052031680769780006,0.003458735192990707
664,BulkFormer_37M,2_cancer,AOC3,0.005098342382113133,0.0032907745485290752
256,BulkFormer_37M,2_cancer,ADAMTS8,0.0050919504876255,0.006295617185349606
1674,BulkFormer_37M,2_cancer,CAVIN2,0.0049246211582722335,0.004886263780296926
3965,BulkFormer_37M,2_cancer,ESAM,0.0049113940481493,0.001761786441753917
12453,BulkFormer_37M,2_cancer,SUSD2,0.004862053465348733,0.003586297516813865
976,BulkFormer_37M,2_cancer,ASPA,0.004807800072893733,0.00600030369958371
1981,BulkFormer_37M,2_cancer,CDCA8,0.0047972266577605335,0.0031173674593280567
7343,BulkFormer_37M,2_cancer,MFAP4,0.004656468905898733,0.001740695799691013
6640,BulkFormer_37M,2_cancer,LGI3,0.004649524560130566,0.004951503422940373
8645,BulkFormer_37M,2_cancer,ORC6,0.004616586716951933,0.0016388872998921583
836,BulkFormer_37M,2_cancer,ARHGEF39,0.0045920475621255,0.0045522126551662
373,BulkFormer_37M,2_cancer,AGER,0.0045115803206105,0.001811116225252244
5129,BulkFormer_37M,2_cancer,GPX3,0.004339819365970367,0.003802187584272164
9351,BulkFormer_37M,2_cancer,PLAC9,0.004327298382045266,0.004871027641234898
4830,BulkFormer_37M,2_cancer,GIMAP7,0.0043180041909111,0.007479002645953367
6676,BulkFormer_37M,2_cancer,LIMS2,0.004317236185442533,0.003738891190983248
3806,BulkFormer_37M,2_cancer,EMCN,0.004295551510710733,0.004308957794723651
