index,model,panel,gene_symbol,mean,std
5040,Txn_Jatin,2_cancer,GPM6A,0.0116533462436483,0.003249563614151897
2401,Txn_Jatin,2_cancer,CLEC3B,0.010116689714799865,0.00540876413824416
12755,Txn_Jatin,2_cancer,TEK,0.009765734510767966,0.008055626378720612
11334,Txn_Jatin,2_cancer,SH2D3C,0.008881783320632733,0.00504951558937815
10859,Txn_Jatin,2_cancer,RS1,0.0087270867963966,0.0018939502692745397
4082,Txn_Jatin,2_cancer,FABP4,0.008696664810829566,0.006568996776017561
4758,Txn_Jatin,2_cancer,GDF10,0.008035378434282267,0.0019354813085477283
12394,Txn_Jatin,2_cancer,STX11,0.007979315288653633,0.0008689412077722331
14036,Txn_Jatin,2_cancer,VEPH1,0.007950291657866834,0.00585747917301971
10956,Txn_Jatin,2_cancer,S1PR1,0.007601792241346034,0.003410723403424711
13024,Txn_Jatin,2_cancer,TMEM100,0.0072879517824839994,0.006363282729658341
12060,Txn_Jatin,2_cancer,SPAAR,0.006691322255565867,0.0016071528920089265
749,Txn_Jatin,2_cancer,AQP4,0.006586541126799433,0.0026798018466100246
1670,Txn_Jatin,2_cancer,CAV1,0.006564710505158434,0.0033185317600334724
256,Txn_Jatin,2_cancer,ADAMTS8,0.006511202977565966,0.00482966400168405
6676,Txn_Jatin,2_cancer,LIMS2,0.006421182422376166,0.002477725706030809
9351,Txn_Jatin,2_cancer,PLAC9,0.006238340925815467,0.0031714393607697225
3806,Txn_Jatin,2_cancer,EMCN,0.006018739447764934,0.005177622626837579
3965,Txn_Jatin,2_cancer,ESAM,0.005855183283060734,0.0029836369413651083
8769,Txn_Jatin,2_cancer,PAICS,0.0057174204735269555,0.007235188700636359
5126,Txn_Jatin,2_cancer,GPT2,0.0056877227254837,0.004532070884660097
5676,Txn_Jatin,2_cancer,HYAL1,0.0056360739584614,0.006669672334876265
4055,Txn_Jatin,2_cancer,EZH2,0.005580081123616101,0.002895901093768027
6128,Txn_Jatin,2_cancer,KANK3,0.005533287180531467,0.004972864529700213
6096,Txn_Jatin,2_cancer,JAM2,0.005522681615284067,0.004726191560348593
6479,Txn_Jatin,2_cancer,KRT27,0.005480149243509601,0.009491896922818776
10435,Txn_Jatin,2_cancer,RECQL4,0.005438938722674868,0.0036265966992507555
4831,Txn_Jatin,2_cancer,GIMAP8,0.005355072597812867,0.0033608305028825424
11300,Txn_Jatin,2_cancer,SFTPC,0.0053367912881176665,0.004904497539668272
343,Txn_Jatin,2_cancer,ADRB2,0.0053117897668098005,0.001982362896927772
664,Txn_Jatin,2_cancer,AOC3,0.0052905596159393,0.0016562994099920709
2002,Txn_Jatin,2_cancer,CDH5,0.005269394190616933,0.004357284754869478
3657,Txn_Jatin,2_cancer,EFCC1,0.0052693389464501,0.004435665470473178
5631,Txn_Jatin,2_cancer,HSPA12B,0.005201602120155033,0.004860216480945609
4380,Txn_Jatin,2_cancer,FGR,0.0051529035274586995,0.0028309131309575387
342,Txn_Jatin,2_cancer,ADRB1,0.005099946278219767,0.001764900154822501
2054,Txn_Jatin,2_cancer,CDO1,0.0050723893830377335,0.008785636127194305
1674,Txn_Jatin,2_cancer,CAVIN2,0.004955171749975367,0.005345395945477077
13905,Txn_Jatin,2_cancer,UPK3B,0.004950070787838993,0.00469821697478079
10897,Txn_Jatin,2_cancer,RTN3,0.004942557964562751,0.005964019855371595
110,Txn_Jatin,2_cancer,ACADL,0.0048379294466773,0.0032937488238944587
