model,dataset,mask_seed,supported,status,pcc_global,spearman_global,mse,mae,auroc_macro,auprc_macro,reason
ESM2_PCA512_prior,TCGA,20260723,False,not_applicable,,,,,,,No validated bulk-expression decoder.
ESM2_PCA512_prior,TCGA,20260724,False,not_applicable,,,,,,,No validated bulk-expression decoder.
ESM2_PCA512_prior,TCGA,20260725,False,not_applicable,,,,,,,No validated bulk-expression decoder.
ESM2_PCA512_prior,OSDR,20260723,False,not_applicable,,,,,,,No validated bulk-expression decoder.
ESM2_PCA512_prior,OSDR,20260724,False,not_applicable,,,,,,,No validated bulk-expression decoder.
ESM2_PCA512_prior,OSDR,20260725,False,not_applicable,,,,,,,No validated bulk-expression decoder.
Geneformer,TCGA,20260723,False,not_applicable,,,,,,,No validated bulk-expression decoder.
Geneformer,TCGA,20260724,False,not_applicable,,,,,,,No validated bulk-expression decoder.
Geneformer,TCGA,20260725,False,not_applicable,,,,,,,No validated bulk-expression decoder.
Geneformer,OSDR,20260723,False,not_applicable,,,,,,,No validated bulk-expression decoder.
Geneformer,OSDR,20260724,False,not_applicable,,,,,,,No validated bulk-expression decoder.
Geneformer,OSDR,20260725,False,not_applicable,,,,,,,No validated bulk-expression decoder.
scGPT,TCGA,20260723,False,not_applicable,,,,,,,No validated bulk-expression decoder.
scGPT,TCGA,20260724,False,not_applicable,,,,,,,No validated bulk-expression decoder.
scGPT,TCGA,20260725,False,not_applicable,,,,,,,No validated bulk-expression decoder.
scGPT,OSDR,20260723,False,not_applicable,,,,,,,No validated bulk-expression decoder.
scGPT,OSDR,20260724,False,not_applicable,,,,,,,No validated bulk-expression decoder.
scGPT,OSDR,20260725,False,not_applicable,,,,,,,No validated bulk-expression decoder.
Txn_Jatin_contextual,TCGA,20260723,False,not_applicable,,,,,,,No validated bulk-expression decoder.
Txn_Jatin_contextual,TCGA,20260724,False,not_applicable,,,,,,,No validated bulk-expression decoder.
Txn_Jatin_contextual,TCGA,20260725,False,not_applicable,,,,,,,No validated bulk-expression decoder.
Txn_Jatin_contextual,OSDR,20260723,False,not_applicable,,,,,,,No validated bulk-expression decoder.
Txn_Jatin_contextual,OSDR,20260724,False,not_applicable,,,,,,,No validated bulk-expression decoder.
Txn_Jatin_contextual,OSDR,20260725,False,not_applicable,,,,,,,No validated bulk-expression decoder.
